Islam	इस्लाम
Not every day needs a milestone to be worth gratitude; an ordinary, uneventful day is itself a gift in pregnancy. A calm day is a good day, and worth a quiet thank-you.	हर दिन में कोई बड़ी बात हो तभी शुक्र बनता है — ऐसा नहीं है; गर्भावस्था में तो एक आम, बिना हलचल वाला दिन ख़ुद एक तोहफ़ा है। शांत दिन अच्छा दिन होता है, और एक धीमे शुक्रिया का हक़दार भी।
Prayer in your own language	अपनी ही ज़बान में दुआ
Heartfelt words count in any language and any form; sincerity matters far more than eloquence. Speak however feels natural, and trust that it is enough.	दिल से निकले लफ़्ज़ किसी भी ज़बान में, किसी भी तरह कहे जाएँ, गिने जाते हैं — सच्चाई की क़ीमत सजावट से कहीं ज़्यादा है। जैसे आपको सहज लगे वैसे कहिए, और भरोसा रखिए कि इतना काफ़ी है।
Gratitude for nourishment	खाने का शुक्र
Each meal that nourishes you and your baby is a small mercy worth noticing. Before you eat, a moment of thanks can turn the food into care for two.	हर वह थाली जो आपको और आपके बच्चे को पोसती है, एक छोटी रहमत है — उसे देख लेना बनता है। खाने से पहले एक पल का शुक्र उस खाने को दो जनों की देखभाल बना देता है।
Patience, asked for gently	सब्र, नरमी से माँगा हुआ
On the long days, some ask simply for patience, for the strength to keep waiting well. It is an honest, human thing to request, and a gentle one to grant yourself.	लंबे दिनों में कुछ लोग बस सब्र माँग लेते हैं — इतनी हिम्मत कि इंतज़ार ढंग से कट जाए। यह माँगना बहुत सच्ची और इंसानी बात है, और ख़ुद को देने लायक़ भी।
Held through uncertainty	अनजानी बातों के बीच भी थामे हुए
A comforting belief is that you are watched over even in the unknowns you cannot control. Resting in that sense of being held can ease a restless mind.	एक तसल्ली देने वाला यक़ीन यह है कि जो आपके बस में नहीं, उन अनजानी बातों में भी कोई आपका ख़याल रख रहा है। थामे जाने के इस एहसास में टिक जाना बेचैन मन को हल्का कर देता है।
A whispered hope for your baby	बच्चे के लिए धीरे से कही गई दुआ
Many like to send a small, sincere hope toward their baby, for health, for peace, for a good life. Whispered with a hand on your bump, it is a tender daily habit.	बहुत-सी माएँ अपने बच्चे की तरफ़ एक छोटी, सच्ची दुआ भेजना पसंद करती हैं — सेहत की, सुकून की, एक अच्छी ज़िंदगी की। पेट पर हाथ रखकर धीरे से कही गई यह बात रोज़ की एक कोमल आदत बन जाती है।
Thankful after the scan	स्कैन के बाद का शुक्र
A reassuring scan is a natural moment to pause and be grateful, to breathe out and say thank you. Letting relief turn into gratitude makes the good news land more fully.	तसल्ली देने वाला स्कैन ठहरकर शुक्र करने का सहज मौक़ा है — एक लंबी साँस छोड़िए और शुक्रिया कह दीजिए। राहत को शुक्र में बदल जाने देना अच्छी ख़बर को मन में पूरी तरह बैठा देता है।
The Prophet's gentleness (reflections)	पैग़ंबर की नरमी (कुछ विचार)
Gentleness with children	बच्चों के साथ नरमी
The example most often highlighted is one of remarkable gentleness, tenderness toward children and care for mothers. Reflecting on that softness is a lovely model for the parent you are becoming.	जिस मिसाल की सबसे ज़्यादा बात होती है, वह गहरी नरमी की है — बच्चों के लिए कोमलता और माँओं का ख़याल। उस नरमी पर थोड़ा ठहरकर सोचना उस माँ के लिए एक प्यारा नमूना है जो आप बन रही हैं।
Mercy first	पहले रहम
Mercy and compassion are placed above harshness in this tradition. As you imagine raising your child, leading with mercy, patience over perfection, is a gentle north star.	इस परंपरा में रहम और करुणा को सख़्ती से ऊपर रखा गया है। जब आप अपने बच्चे को पालने की कल्पना करती हैं, तो पहले रहम — सबकुछ ठीक-ठाक करने से ज़्यादा सब्र — एक नरम ध्रुवतारा बन जाता है।
Honour to mothers	माँओं का मान
Mothers are held in especially high regard, their care for their children deeply honoured. Let that be a reminder that the love and effort you are pouring out right now matters enormously.	माँओं को ख़ास ऊँचा दर्जा दिया गया है, और बच्चों के लिए की गई उनकी देखभाल की गहरी क़द्र है। इसे एक याद दिलावा मानिए कि इस वक़्त आप जो प्यार और मेहनत उँडेल रही हैं, उसकी क़ीमत बहुत बड़ी है।
Kindness as worship	नेकी भी इबादत है
Everyday kindness, to family, neighbours and strangers, is treated as a form of devotion. The quiet care you give and receive in these months is part of that same thread.	रोज़मर्रा की नेकी — घरवालों के लिए, पड़ोसियों के लिए, अनजानों के लिए — इबादत की ही एक शक्ल मानी जाती है। इन महीनों में आप जो चुपचाप देखभाल देती और लेती हैं, वह उसी धागे का हिस्सा है।
A calm household	शांत घर
Calm, kindness and good manners at home are valued highly. Building a gentle, warm atmosphere now is a gift your baby will be born into.	घर में शांति, नरमी और अच्छे तौर-तरीक़ों की बड़ी क़द्र है। अभी से एक नरम, गर्मजोशी भरा माहौल बना लेना वह तोहफ़ा है जिसमें आपका बच्चा जन्म लेगा।
Leading with tenderness	कोमलता के साथ आगे
The example most reflected on is one of deep tenderness, meeting others, especially children, with softness. Imagining that gentleness is a lovely way to picture the parent you are becoming.	जिस मिसाल पर सबसे ज़्यादा सोचा जाता है, वह गहरी कोमलता की है — दूसरों से, ख़ासकर बच्चों से, नरमी के साथ मिलना। उस नरमी की कल्पना करना उस माँ को देखने का प्यारा तरीक़ा है जो आप बन रही हैं।
Patience over anger	ग़ुस्से पर सब्र
Responding to difficulty with patience rather than anger is a quality often admired. In the harder moments of these months, choosing the calmer response is its own quiet strength.	मुश्किल का जवाब ग़ुस्से से नहीं, सब्र से देना — इस ख़ूबी की अक्सर तारीफ़ होती है। इन महीनों के कठिन पलों में शांत जवाब चुन लेना ख़ुद एक चुपचाप निभाई गई ताक़त है।
A smile as kindness	एक मुस्कान भी नेकी है
Even a warm smile is remembered as a small act of kindness worth giving freely. The gentle warmth you offer others ripples further than you know.	एक गर्मजोशी भरी मुस्कान को भी छोटी-सी नेकी माना गया है, जिसे खुले दिल से बाँटना चाहिए। आप दूसरों को जो नरम अपनापन देती हैं, वह आपकी सोच से कहीं दूर तक फैलता है।
Mothers especially honoured	माँओं का ख़ास दर्जा
Mothers are spoken of with particular tenderness and high regard. Let that settle in: the care you are pouring out, unseen, is held as deeply precious.	माँओं का ज़िक्र ख़ास कोमलता और ऊँचे मान के साथ किया जाता है। इस बात को मन में बैठ जाने दीजिए — आप जो देखभाल बिना किसी की नज़र में आए उँडेल रही हैं, उसे बहुत क़ीमती माना गया है।
Gentle words	नरम बोल
Kind, gentle speech is valued over harshness, even when correcting. A soft home, built on gentle words, is a calm place for a baby to arrive into.	टोकते वक़्त भी सख़्त लहजे से ज़्यादा नरम, मीठे बोल की क़द्र है। नरम बोल से बना हुआ घर बच्चे के आने के लिए एक शांत जगह होता है।
Forgiving easily	आसानी से माफ़ कर देना
Letting go of small wrongs rather than holding them is treated as a strength. Releasing old irritations makes room for a lighter, calmer heart now.	छोटी-मोटी बातें पकड़कर रखने के बजाय छोड़ देना ताक़त मानी जाती है। पुरानी खीझ को जाने देने से अभी एक हल्के, शांत दिल के लिए जगह बन जाती है।
Care for the vulnerable	कमज़ोरों का ख़याल
Special care for the weak, the young and the tired runs through these reflections. In pregnancy, letting yourself be one of the gently-cared-for is entirely fitting.	कमज़ोरों, बच्चों और थके हुए लोगों का ख़ास ख़याल इन विचारों में जगह-जगह मिलता है। गर्भावस्था में ख़ुद को भी उन्हीं में गिन लेना, जिनका नरमी से ख़याल रखा जाता है, बिल्कुल ठीक है।
Generosity of spirit	दिल की दरियादिली
Giving freely, in small ways, without keeping score, is much admired. The open-handed love you are already growing for your baby is this same generous spirit.	बिना हिसाब रखे, छोटी-छोटी बातों में खुले हाथ से देना बहुत सराहा गया है। अपने बच्चे के लिए आप जो खुले दिल का प्यार अभी से पाल रही हैं, वह इसी दरियादिली का रूप है।
Calm in difficulty	मुश्किल में भी शांत
Staying steady and gentle even under strain is a quality often highlighted. You are carrying so much and still being tender, which is exactly this kind of grace.	बोझ के बीच भी टिके रहना और नरम बने रहना — इस ख़ूबी की अक्सर बात होती है। आप इतना कुछ उठाए हुए हैं और फिर भी कोमल हैं; यही तो वह ख़ूबसूरती है।
Good character over grand deeds	बड़े कामों से बढ़कर अच्छा किरदार
It is everyday good character, honesty, kindness, patience, that is most treasured, not grand gestures. The small, decent choices you make now are quietly shaping your child's world.	सबसे ज़्यादा क़ीमत रोज़मर्रा के अच्छे किरदार की है — सच्चाई, नेकी, सब्र — न कि बड़े-बड़े कामों की। अभी आप जो छोटे-छोटे भले फ़ैसले लेती हैं, वही चुपचाप आपके बच्चे की दुनिया गढ़ रहे हैं।
Welcoming children close	बच्चों को पास बुलाना
Children were welcomed warmly and kept close, never seen as a nuisance. It is a sweet model for the patient, present parent you are becoming.	बच्चों का गर्मजोशी से स्वागत होता था और उन्हें पास रखा जाता था, कभी झंझट नहीं समझा गया। यह उस सब्र वाली, हाज़िर माँ के लिए एक प्यारा नमूना है जो आप बन रही हैं।
Humility	विनम्रता
Humbleness, never thinking yourself above others, is gently admired. There is rest in it too, the freedom of not having to prove anything.	विनम्रता — ख़ुद को कभी दूसरों से ऊपर न समझना — को नरमी से सराहा गया है। इसमें एक आराम भी है: कुछ साबित करते रहने से छुट्टी।
Keeping promises	वादा निभाना
Keeping one's word, even in small things, is treated as a mark of good character. The quiet promises you are already making to your baby are part of that.	छोटी-छोटी बातों में भी अपनी बात पर टिके रहना अच्छे किरदार की निशानी माना गया है। अपने बच्चे से आप जो चुपचाप वादे अभी से कर रही हैं, वे भी इसी में आते हैं।
Comfort for the grieving	ग़म में साथ
Sitting with those in pain and offering simple comfort is remembered as a kindness. Knowing how to be present for sorrow is a gift you can carry into family life.	दुख में डूबे किसी के पास बैठ जाना और सीधा-सादा दिलासा दे देना एक नेकी के तौर पर याद किया जाता है। ग़म के वक़्त साथ खड़े होना आना वह तोहफ़ा है जिसे आप अपने परिवार में भी ले जा सकती हैं।
Mercy as the first response	पहला जवाब रहम
Leading with mercy rather than judgement is a recurring theme. As you imagine raising your child, mercy first is a gentle north star to keep.	फ़ैसला सुनाने से पहले रहम — यह बात बार-बार लौटकर आती है। बच्चे को पालने की कल्पना करते हुए पहले रहम को एक नरम ध्रुवतारा बनाकर रखिए।
Beautiful names & their meaning	ख़ूबसूरत नाम और उनके मायने
Choosing a meaningful name	मायने वाला नाम चुनना
Choosing a baby's name with care and meaning is a cherished part of welcoming a child. It is a small act of hope, a wish in a single word for who they might become.	बच्चे का नाम सोच-समझकर और मायनों के साथ चुनना उसके स्वागत का एक प्यारा हिस्सा है। यह उम्मीद का छोटा-सा काम है — एक ही लफ़्ज़ में यह दुआ कि वह कैसा इंसान बने।
Names of mercy and peace	रहम और सुकून वाले नाम
Many beloved names carry meanings like mercy, peace, light and gratitude. Even if you choose a different name entirely, dwelling on qualities you wish for your child is a sweet thing to do.	बहुत-से प्यारे नामों के मायने रहम, सुकून, रौशनी और शुक्र जैसे होते हैं। आप चाहे बिल्कुल कोई और नाम चुनें, अपने बच्चे के लिए जो ख़ूबियाँ चाहती हैं उन पर थोड़ा ठहर जाना अपने आप में मीठा है।
A name as a quiet prayer	नाम, एक चुपचाप कही गई दुआ
For many, a name is a kind of quiet prayer said over a lifetime; every time it is spoken, a good wish goes with it. It is worth choosing something you will love to say a thousand times.	बहुतों के लिए नाम ज़िंदगी भर दोहराई जाने वाली एक चुपचाप दुआ है — जब भी वह पुकारा जाता है, एक नेक ख़्वाहिश उसके साथ चलती है। ऐसा नाम चुनना बनता है जिसे हज़ार बार कहकर भी आपका मन न भरे।
Light and hope	रौशनी और उम्मीद
Names connected to light and hope are widely loved. Your baby is, in a real sense, a new light coming into your family, a hopeful beginning.	रौशनी और उम्मीद से जुड़े नाम बहुत पसंद किए जाते हैं। सच पूछिए तो आपका बच्चा आपके परिवार में आती हुई एक नई रौशनी ही है — एक उम्मीद भरी शुरुआत।
A family conversation	घर भर की बात
Picking a name often becomes a warm family conversation, full of stories and meanings. Letting loved ones share in it is part of the joy.	नाम चुनना अक्सर घर भर की एक गर्मजोशी भरी बातचीत बन जाता है, क़िस्सों और मायनों से भरी हुई। अपनों को इसमें शामिल कर लेना भी उसी ख़ुशी का हिस्सा है।
A wish in one word	एक लफ़्ज़ में एक दुआ
A name is often chosen as a small wish for who a child might become. Turning meanings over in your mind is already a loving act of hope.	नाम अक्सर इसी छोटी दुआ के साथ चुना जाता है कि बच्चा कैसा इंसान बने। मन ही मन मायनों को पलटते रहना ख़ुद उम्मीद से भरा एक प्यार भरा काम है।
Names of peace	सुकून वाले नाम
Many cherished names carry meanings like peace and calm. Dwelling on the qualities you hope for your child is a sweet way to choose.	बहुत-से पसंदीदा नामों के मायने सुकून और शांति जैसे होते हैं। जो ख़ूबियाँ आप अपने बच्चे में देखना चाहती हैं, उन पर ठहरकर सोचना चुनने का एक मीठा तरीक़ा है।
A name you will love to say	वह नाम जिसे पुकारना अच्छा लगे
You will speak this name thousands of times, so choosing one you love the sound of matters. Say your favourites aloud and notice which ones feel like home.	यह नाम आप हज़ारों बार पुकारेंगी, इसलिए ऐसा चुनना मायने रखता है जिसकी आवाज़ आपको भाए। अपने पसंदीदा नाम ज़ोर से बोलकर देखिए और महसूस कीजिए कि कौन-सा अपने घर जैसा लगता है।
Meaning over fashion	चलन नहीं, मायने
Choosing for meaning rather than trend is a cherished approach. A name with a tender meaning ages beautifully.	चलन देखकर नहीं, मायने देखकर चुनना एक प्यारा तरीक़ा माना जाता है। कोमल मायनों वाला नाम उम्र के साथ और ख़ूबसूरत लगता है।
Names of gratitude	शुक्र वाले नाम
Some names carry the sense of a gift received or a prayer answered. If your baby feels like exactly that, such a name can hold the whole story.	कुछ नामों में यह एहसास बसा होता है कि कोई तोहफ़ा मिला है, या कोई दुआ क़बूल हुई है। अगर आपका बच्चा आपको ठीक वैसा ही लगता है, तो ऐसा नाम पूरी कहानी अपने अंदर समेट लेता है।
Light coming in	आती हुई रौशनी
Names linked to light are widely loved. Your baby truly is a new light arriving into your family.	रौशनी से जुड़े नाम बहुत पसंद किए जाते हैं। आपका बच्चा सचमुच आपके परिवार में आती हुई एक नई रौशनी है।
A name and a blessing	नाम और दुआ
For many, speaking a child's name is like sending a small good wish each time. Choose something you will be glad to bless again and again.	बहुतों के लिए बच्चे का नाम पुकारना हर बार एक छोटी नेक दुआ भेजने जैसा है। ऐसा नाम चुनिए जिसे बार-बार दुआ देते हुए आपको ख़ुशी हो।
Grandparents' hopes	दादा-दादी, नाना-नानी की उम्मीदें
Inviting grandparents into the naming carries their love forward to the new child. Their blessing, woven into a name, stretches back through generations.	नाम चुनने में दादा-दादी और नाना-नानी को शामिल करना उनके प्यार को नए बच्चे तक पहुँचा देता है। नाम में गुँथी हुई उनकी दुआ पीढ़ियों पीछे तक जाती है।
Writing it down	उसे लिखकर देखना
Seeing the name written, beside a tiny due date, can make the coming arrival feel suddenly real. It is a quiet, happy moment to let yourself have.	नाम को लिखा हुआ देखना, उसके बगल में छोटे-से अक्षरों में लिखी डिलीवरी की तारीख़ — और आने वाला दिन अचानक सच लगने लगता है। यह एक शांत, ख़ुशी भरा लम्हा है, इसे ख़ुद से मत छीनिए।
A name that can grow	वह नाम जो साथ-साथ बड़ा हो
It is kind to choose a name that suits both a small baby and the grown person they will become. Picturing them at every age can help you choose well.	ऐसा नाम चुनना अच्छा होता है जो नन्हे बच्चे पर भी जँचे और उस बड़े इंसान पर भी जो वह बनेगा। हर उम्र में उसे मन में देख लेना सही चुनाव में मदद करता है।
The meaning you give it	वह मायना जो वह ख़ुद भर देगा
In time, your child will fill their name with their own meaning, simply by being themselves. The name is a beginning; they make it theirs.	वक़्त के साथ आपका बच्चा अपने नाम में अपने ही मायने भर देगा — बस वैसा होकर, जैसा वह है। नाम तो शुरुआत है; उसे अपना वही बनाता है।
Saying it for the first time	पहली बार पुकारना
There is a particular sweetness in saying your baby's name out loud for the first time. It turns an idea into someone you are waiting for.	अपने बच्चे का नाम पहली बार ज़ोर से कहने में एक अलग ही मिठास है। उसी पल एक ख़याल किसी ऐसे इंसान में बदल जाता है जिसका आप इंतज़ार कर रही हैं।
A shortlist of hopes	उम्मीदों की एक छोटी-सी सूची
Even a shortlist of names is really a little list of hopes. However you narrow it, each option carries a wish for your child.	नामों की छोटी सूची असल में उम्मीदों की ही सूची होती है। आप उसे जैसे भी छाँटें, हर नाम में आपके बच्चे के लिए एक दुआ छिपी है।
No rush to decide	तय करने की कोई जल्दी नहीं
There is no need to settle on a name before you are ready; some meet their baby first and choose then. Trust that the right one will come.	मन तैयार होने से पहले नाम तय कर लेने की कोई ज़रूरत नहीं; कुछ माएँ पहले बच्चे से मिलती हैं, फिर नाम चुनती हैं। भरोसा रखिए, सही नाम अपने आप आ जाएगा।
A sound full of love	प्यार से भरी एक आवाज़
However it is chosen, a name becomes beautiful mostly through the love poured into saying it. Yours will be one of the warmest words your child ever hears.	नाम चाहे जैसे भी चुना जाए, ख़ूबसूरत वह ज़्यादातर उस प्यार से होता है जो उसे पुकारते हुए उसमें उँडेला जाता है। आपकी आवाज़ में वह नाम आपके बच्चे के सुने हुए सबसे गर्म लफ़्ज़ों में से एक होगा।
Family & kindness	परिवार और नेकी
Held by community	अपनों का सहारा
Family and community are encouraged to support an expectant mother, easing her load and treating her gently. Letting people help you is not weakness; it is how this is meant to work.	परिवार और आस-पास के लोगों से कहा गया है कि होने वाली माँ का साथ दें, उसका बोझ हल्का करें और उसके साथ नरमी से पेश आएँ। लोगों को मदद करने देना कमज़ोरी नहीं है — यह सब चलता ही ऐसे है।
Generosity at new life	नई ज़िंदगी पर दरियादिली
New life is often marked with generosity, sharing food, giving to those in need, spreading the joy outward. Kindness has a way of multiplying happiness.	नई ज़िंदगी के आने को अक्सर दरियादिली से मनाया जाता है — खाना बाँटना, ज़रूरतमंदों को देना, ख़ुशी को बाहर तक फैलाना। नेकी में ख़ुशी को बढ़ा देने की आदत होती है।
Good company	अच्छा साथ
Keeping calm, good-hearted company is valued, especially in tender times. Surround yourself with people who soothe rather than stress you.	शांत और नेकदिल लोगों का साथ रखना सराहा जाता है, ख़ासकर ऐसे नाज़ुक दिनों में। अपने इर्द-गिर्द ऐसे लोग रखिए जो मन को सुकून दें, तनाव नहीं।
Caring for yourself counts	अपना ख़याल भी गिना जाता है
Looking after your own body and heart, with rest, good food and a peaceful mind, is treated as part of caring for your child, not separate from it. Be as kind to yourself as you would be to someone you love.	अपने शरीर और अपने मन का ख़याल रखना — आराम, अच्छा खाना और शांत मन — बच्चे की देखभाल से अलग नहीं, उसी का हिस्सा माना जाता है। ख़ुद के साथ उतनी ही नरमी बरतिए जितनी आप किसी अपने के साथ बरततीं।
Welcoming with warmth	गर्मजोशी से स्वागत
When the baby arrives, traditions of welcome centre on warmth, gratitude and gentle blessing. The thread through it all is simple: this child is loved.	बच्चा जब आता है, तो स्वागत के सारे रिवाज गर्मजोशी, शुक्र और नरम दुआओं के इर्द-गिर्द घूमते हैं। इन सबके बीच से गुज़रता धागा एक ही है — इस बच्चे को बहुत चाहा गया है।
Let people carry some weight	थोड़ा बोझ दूसरों को उठाने दीजिए
Family is encouraged to ease an expectant mother's load, and accepting that help is wise, not weak. Letting others carry a little is how this is meant to work.	परिवार से कहा गया है कि होने वाली माँ का बोझ हल्का करे, और उस मदद को क़बूल कर लेना समझदारी है, कमज़ोरी नहीं। थोड़ा बोझ दूसरों को उठाने देना — यह सब चलता ही ऐसे है।
Joy shared widens	बाँटी हुई ख़ुशी बढ़ जाती है
Happy news is meant to be spread, and joy tends to grow when shared. Letting people celebrate with you doubles the gladness.	ख़ुशख़बरी फैलाने के लिए ही होती है, और ख़ुशी बाँटने से बढ़ती है। लोगों को अपने साथ जश्न मनाने देना ख़ुशी को दुगुना कर देता है।
The kindness of neighbours	पड़ोसियों की नेकी
Care for neighbours and those nearby is valued, a circle of looking out for one another. Leaning on that circle now is part of belonging to it.	पड़ोसियों और आस-पास वालों का ख़याल रखने की क़द्र है — एक ऐसा घेरा जिसमें सब एक-दूसरे को देखते रहते हैं। अभी उस घेरे का सहारा ले लेना भी उसी में शामिल होने का हिस्सा है।
A meal brought over	घर आया हुआ खाना
Sharing food, especially with a tired new family, is a simple, treasured kindness. If someone offers, let them; a warm meal is real care.	खाना बाँटना, ख़ासकर किसी थके हुए नए परिवार के साथ, एक सीधी-सादी और बेशक़ीमती नेकी है। कोई पूछे तो मना मत कीजिए — गरम खाना सचमुच की देखभाल है।
Visiting with gentleness	नरमी से मिलने आना
Visiting a new mother gently, briefly, helpfully, is a kindness worth knowing. You can ask for that kind of visit, and decline the draining kind.	नई माँ से नरमी से, थोड़ी देर के लिए और काम आने के इरादे से मिलने जाना एक ऐसी नेकी है जो सबको आनी चाहिए। आप ऐसी ही मुलाक़ात माँग सकती हैं, और जो थका दे उसे मना भी कर सकती हैं।
Kindness multiplies	नेकी बढ़ती जाती है
A small kindness given tends to ripple outward to others. The gentleness you receive now you will pass on, and so it grows.	एक छोटी-सी नेकी आगे दूसरों तक लहर बनकर पहुँच जाती है। अभी जो नरमी आपको मिल रही है, वही आप आगे बाँटेंगी — और यूँ ही वह बढ़ती जाती है।
Caring for yourself is caring for your baby	अपना ख़याल रखना बच्चे का ख़याल रखना है
Looking after your own rest, food and peace is treated as part of caring for your child, not apart from it. Be as gentle with yourself as with someone you love.	अपने आराम, अपने खाने और अपने सुकून का ध्यान रखना बच्चे की देखभाल से अलग नहीं, उसी का हिस्सा माना जाता है। ख़ुद के साथ उतनी ही नरमी बरतिए जितनी किसी अपने के साथ।
A warm home	गर्मजोशी भरा घर
A calm, kind atmosphere at home is valued highly. The gentle mood you build now is the world your baby will be born into.	घर का शांत और नेक माहौल बहुत क़ीमती माना जाता है। अभी आप जो नरम मिज़ाज बना रही हैं, वही वह दुनिया है जिसमें आपका बच्चा जन्म लेगा।
Raising a kind child	एक नेकदिल बच्चा पालना
Children learn kindness most by being surrounded by it. The warmth in your home today is already quietly teaching.	बच्चे नेकी सबसे ज़्यादा उसी माहौल में रहकर सीखते हैं जहाँ नेकी हो। आपके घर की आज की गर्माहट अभी से चुपचाप सिखा रही है।
Hospitality of the heart	दिल की मेहमाननवाज़ी
