Stories	कहानियाँ
In a quiet village lived a man who collected first words - the very first sound each child ever spoke. He kept them in a little book: a giggle, a 'ba', a name. People thought it odd, until they grew old and came to him, asking to hear their own first word again. "Why does it matter?" a traveller asked. "Because a first word is a door," the man said. "It is the moment a person decides the world is worth talking to." He waited all his life for the children who hadn't spoken yet, certain that every new voice was a story the world had never heard before.	एक शांत गाँव में एक आदमी रहता था जो पहले शब्द जमा करता था — हर बच्चे की सबसे पहली आवाज़। उन्हें वह एक छोटी-सी किताब में लिख लेता: कोई खिलखिलाहट, कोई 'बा', कोई नाम। लोगों को यह अजीब लगता, जब तक वे बूढ़े होकर ख़ुद उसके पास न आते, अपना पहला शब्द दोबारा सुनने की गुज़ारिश लेकर। "इससे फ़र्क़ क्या पड़ता है?" एक मुसाफ़िर ने पूछा। "क्योंकि पहला शब्द एक दरवाज़ा होता है," आदमी ने कहा। "वह वो पल है जब कोई तय करता है कि यह दुनिया बात करने लायक़ है।" वह ज़िंदगी भर उन बच्चों का इंतज़ार करता रहा जो अभी बोले ही नहीं थे — उसे यक़ीन था कि हर नई आवाज़ एक ऐसी कहानी है जो दुनिया ने पहले कभी सुनी नहीं।
I can't wait to hear your first word, little one, whatever it is. I'll keep it forever.	तुम्हारा पहला शब्द सुनने का बेसब्री से इंतज़ार है, नन्ही जान — जो भी हो। मैं उसे हमेशा के लिए सँभालकर रखूँगा।
The Keeper of Names	नामों का रखवाला
High on a hill lived a keeper who remembered every name that had ever passed through the town. When a child was born, the parents climbed to him and whispered the new name, and he would repeat it back slowly, as if tasting something precious. "A name is a promise," he told them. "It says: there will only ever be one of you, and we were waiting." Years later, when those children felt lost or small, they would climb the hill just to hear their own name spoken aloud - and somehow, hearing it, they remembered they belonged.	पहाड़ी के ऊपर एक रखवाला रहता था, जिसे उस क़स्बे से गुज़रा हर नाम याद था। जब कोई बच्चा जन्म लेता, माँ-बाप चढ़ाई करके उसके पास जाते और नया नाम धीरे से कहते, और वह उसे दोहराता — धीरे-धीरे, जैसे कोई क़ीमती चीज़ चख रहा हो। "नाम एक वादा होता है," वह उनसे कहता। "वह कहता है: तुम जैसा कोई दूसरा कभी नहीं होगा, और हम तुम्हारा इंतज़ार कर रहे थे।" बरसों बाद, जब वही बच्चे ख़ुद को खोया हुआ या छोटा महसूस करते, वे बस अपना नाम ज़ोर से सुनने के लिए वह पहाड़ी चढ़ जाते — और उसे सुनते ही, न जाने कैसे, उन्हें याद आ जाता कि वे किसी के हैं।
We chose your name carefully, and I'll say it like it matters - because it does. There will only ever be one you.	तुम्हारा नाम हमने बहुत सोचकर चुना है, और मैं उसे ऐसे पुकारूँगा जैसे उसके मायने हैं — क्योंकि हैं। तुम्हारे जैसा दूसरा कोई कभी नहीं होगा।
The Smallest Lantern	सबसे छोटी लालटेन
A great procession set out to cross a dark mountain, every traveller carrying a bright torch - all but a small child, who held only a tiny lantern barely brighter than a firefly. "You'll be no help with that," the others said. But high on the pass a fierce wind rose and blew out every great torch at once. Only the small lantern, cupped close to the child's chest and sheltered by two careful hands, kept burning. By its little light, the whole procession found the path and came down safely. It was not the biggest light that saved them - it was the one that was guarded most gently.	एक बड़ा क़ाफ़िला अँधेरे पहाड़ को पार करने निकला, हर मुसाफ़िर के हाथ में जलती मशाल — सिवाय एक छोटे बच्चे के, जिसके पास बस एक नन्ही लालटेन थी, जुगनू से ज़रा ही ज़्यादा रोशन। "इससे तुम किसी काम के नहीं," बाक़ी लोगों ने कहा। पर ऊपर दर्रे पर तेज़ हवा उठी और एक ही झोंके में सारी बड़ी मशालें बुझ गईं। बची तो बस वो नन्ही लालटेन, जो बच्चे ने सीने से लगाकर, दो सँभली हुई हथेलियों की आड़ में जलती रखी थी। उसी छोटी-सी रोशनी के सहारे पूरा क़ाफ़िला रास्ता पा गया और सही-सलामत नीचे उतर आया। उन्हें सबसे बड़ी रोशनी ने नहीं बचाया — बचाया उस रोशनी ने, जिसे सबसे नरमी से सँभाला गया था।
Your light doesn't have to be the brightest, little one. It only has to be yours, and kept burning. I'll help you guard it.	तुम्हारी रोशनी को सबसे तेज़ होने की ज़रूरत नहीं, नन्ही जान। बस इतना कि वो तुम्हारी हो, और जलती रहे। उसे सँभालने में मैं साथ रहूँगा।
The River That Found the Sea	वो नदी जिसे समंदर मिला
A young river tumbled down from the mountains, sure it would reach the sea by nightfall. But the land was long, and it met deserts that drank it, rocks that split it, and plains that slowed it to a crawl. Many times it nearly gave up. "Keep going," whispered the rain. "You don't have to arrive all at once." So the river wound and waited and pressed on, gathering smaller streams as friends along the way. When at last it reached the sea, it was no longer a thin mountain trickle but something wide and deep and unstoppable - made, in the end, of everywhere it had been.	एक जवान नदी पहाड़ों से उछलती-कूदती उतरी, इस भरोसे के साथ कि शाम तक समंदर पहुँच जाएगी। पर ज़मीन लंबी निकली — रेगिस्तान मिले जो उसे पी गए, चट्टानें मिलीं जिन्होंने उसे बाँट दिया, और मैदान मिले जिन्होंने उसकी चाल रेंगने जितनी कर दी। कई बार उसने लगभग हार मान ली। "चलती रहो," बारिश ने धीरे से कहा। "एक ही बार में पहुँचना ज़रूरी नहीं।" तो नदी मुड़ी, रुकी, और आगे बढ़ती रही, रास्ते में छोटी धाराओं को दोस्त बनाती हुई। आख़िर जब वह समंदर तक पहुँची, तो वह पहाड़ की पतली-सी धार नहीं रह गई थी — वह चौड़ी, गहरी और न रुकने वाली हो चुकी थी; बनी हुई, आख़िर में, उन सब जगहों से जहाँ-जहाँ से वो गुज़री थी।
Your road may be longer than you'd like, little one. Keep going. Every detour is making you wider and deeper than you know.	हो सकता है तुम्हारा रास्ता तुम्हारी चाह से लंबा निकले, नन्ही जान। चलते रहना। हर मोड़ तुम्हारे भीतर उससे कहीं ज़्यादा गहराई और चौड़ाई भर रहा है, जितनी तुम्हें ख़बर है।
The Carpenter and the Crooked Board	बढ़ई और टेढ़ा तख़्ता
A carpenter's apprentice threw a crooked board onto the fire pile. "It's bent and useless," he said. The old carpenter picked it up, turned it slowly in the light, and set it aside. Weeks later he built a curved doorway - the most beautiful in the town - and the crooked board fit its arch perfectly, as though it had been waiting all along. "There is no useless wood," the carpenter said. "Only wood whose purpose you haven't found yet." The apprentice never looked at a crooked thing the same way again.	बढ़ई के शागिर्द ने एक टेढ़ा तख़्ता जलावन के ढेर पर फेंक दिया। "यह मुड़ा हुआ है, किसी काम का नहीं," उसने कहा। बूढ़े बढ़ई ने उसे उठाया, रोशनी में धीरे-धीरे घुमाकर देखा, और अलग रख दिया। कुछ हफ़्तों बाद उसने एक गोल दरवाज़ा बनाया — पूरे क़स्बे में सबसे ख़ूबसूरत — और वही टेढ़ा तख़्ता उसकी मेहराब में ऐसे बैठा, जैसे कब से उसी का इंतज़ार कर रहा हो। "बेकार लकड़ी होती ही नहीं," बढ़ई ने कहा। "बस ऐसी लकड़ी होती है, जिसका काम तुम्हें अभी मिला नहीं।" उस दिन के बाद शागिर्द ने किसी टेढ़ी चीज़ को फिर उसी नज़र से नहीं देखा।
If the world ever calls some part of you crooked or wrong, come find me. I'll help you see the doorway you were shaped for.	अगर दुनिया कभी तुम्हारे किसी हिस्से को टेढ़ा या ग़लत कहे, तो मेरे पास आ जाना। मैं तुम्हें वो दरवाज़ा दिखाऊँगा, जिसके लिए यही आकार बना है।
The Night the Stars Went Out	जिस रात तारे बुझ गए
One strange night, the stars all dimmed at once, and the whole world held its breath in the dark. Children cried, and even grown-ups grew afraid. But in one small house, a father lit a single candle and told his frightened child, "The stars haven't gone - they're only resting. And until they wake, we'll be each other's light." All night long, candle by candle, house by house, the people kept small flames burning. And when dawn came and the stars returned, they shone - people said - a little brighter, as if grateful they had not been the only light after all.	एक अजीब रात, सारे तारे एक साथ मद्धम पड़ गए, और पूरी दुनिया ने अँधेरे में साँस रोक ली। बच्चे रोने लगे, बड़े भी डर गए। पर एक छोटे-से घर में एक पिता ने एक मोमबत्ती जलाई और अपने डरे हुए बच्चे से कहा, "तारे गए नहीं हैं — बस सुस्ता रहे हैं। और जब तक वे जागें, हम एक-दूसरे की रोशनी रहेंगे।" पूरी रात, एक-एक मोमबत्ती, एक-एक घर, लोग छोटी-छोटी लौ जलाए बैठे रहे। और जब सुबह हुई और तारे लौट आए, तो लोग कहते हैं वे ज़रा और चमक रहे थे — जैसे इस बात के शुक्रगुज़ार हों कि रोशनी अकेले उन्हीं की नहीं थी।
When your sky goes dark, I'll light a candle and sit with you until the stars come back. We'll be each other's light.	जब तुम्हारा आसमान अँधेरा हो जाए, मैं एक मोमबत्ती जलाकर तुम्हारे पास बैठ जाऊँगा, जब तक तारे लौट न आएँ। हम एक-दूसरे की रोशनी रहेंगे।
Learning to Fall	गिरना सीखना
Before a young acrobat was ever allowed to climb the high rope, her teacher spent a whole month teaching her just one thing: how to fall. "I came to learn to fly," she protested. "You will," said the teacher, "but first you must stop being afraid of the ground." So she fell, and rolled, and rose, a hundred times a day, until falling no longer frightened her at all. And when at last she climbed the rope and slipped, as everyone does, she landed soft and laughing - and climbed straight back up. The ones who fly highest, her teacher said, are simply the ones who've made friends with falling.	किसी जवान नटनी को ऊँची रस्सी पर चढ़ने की इजाज़त मिलने से पहले, उसकी उस्ताद ने पूरा एक महीना उसे बस एक ही चीज़ सिखाई: गिरना कैसे है। "मैं तो उड़ना सीखने आई थी," उसने शिकायत की। "सीखोगी," उस्ताद ने कहा, "पर पहले ज़मीन से डरना छोड़ना होगा।" तो वह गिरती रही, लुढ़कती रही, उठती रही — दिन में सौ बार — जब तक गिरने का डर पूरी तरह उतर न गया। और आख़िर जब वह रस्सी पर चढ़ी और फिसली, जैसे सब फिसलते हैं, तो वह नरमी से उतरी, हँसती हुई — और सीधे वापस ऊपर चढ़ गई। जो सबसे ऊँचा उड़ते हैं, उसकी उस्ताद कहती थी, वे बस वही हैं जिन्होंने गिरने से दोस्ती कर ली।
You're going to fall, little one - everyone does. I won't always catch you, but I'll teach you how to land, and how to climb back up.	तुम्हें गिरना भी पड़ेगा, नन्ही जान — सब गिरते हैं। मैं हर बार थाम नहीं पाऊँगा, पर उतरना कैसे है और दोबारा चढ़ना कैसे है, यह ज़रूर सिखाऊँगा।
The Empty Chair Kept Warm	वो ख़ाली कुर्सी, जो गरम रखी गई
In a small house by the road, a family always set one extra chair at the table, with a cushion and a warm bowl, though no one sat in it yet. "Who is it for?" a guest once asked. "For the one still on their way," the mother said. "So that when they arrive, they'll know they were expected - that there was always a place saved." Travellers passing through that house never forgot it: the feeling of walking in cold and tired, and finding a seat already warm, kept just for them.	सड़क किनारे एक छोटे-से घर में परिवार हमेशा मेज़ पर एक कुर्सी ज़्यादा लगाता था — गद्दी के साथ, और एक गरम कटोरा भी, जबकि उस पर अभी कोई बैठता नहीं था। "यह किसके लिए है?" एक मेहमान ने पूछा। "उसके लिए जो अभी रास्ते में है," माँ ने कहा। "ताकि जब वह पहुँचे, तो जान जाए कि उसका इंतज़ार था — कि जगह हमेशा से रखी हुई थी।" उस घर से गुज़रे मुसाफ़िर उसे कभी नहीं भूले: ठंड और थकान लिए अंदर आना, और अपने लिए पहले से गरम की हुई एक जगह पा जाना।
There's a chair at our table with your name on it, already warm. You were expected, little one. You always had a place.	हमारी मेज़ पर एक कुर्सी तुम्हारे नाम की है, अभी से गरम। तुम्हारा इंतज़ार था, नन्ही जान। तुम्हारी जगह हमेशा से थी।
The Clockmaker's Son	घड़ीसाज़ का बेटा
A famous clockmaker could build any machine to measure time, yet he was always too busy to spend it. His small son would tug his sleeve, and he would say, "Later - I'm making something important." One evening the boy left a gift on the workbench: a clock with no hands at all, and a note that read, "This one is for the time we spend together - it doesn't need counting." The clockmaker set down his tools, and from that day kept the handless clock above his bench, to remind him which hours were the ones that truly mattered.	एक मशहूर घड़ीसाज़ वक़्त नापने की कोई भी मशीन बना सकता था, पर उसे बिताने की फ़ुरसत उसके पास कभी नहीं थी। उसका छोटा बेटा उसकी आस्तीन खींचता, और वह कहता, "बाद में — अभी कुछ ज़रूरी बना रहा हूँ।" एक शाम बेटे ने काम की मेज़ पर एक तोहफ़ा रख दिया: बिना सुइयों वाली एक घड़ी, और एक परची जिस पर लिखा था, "यह उस वक़्त के लिए है जो हम साथ बिताते हैं — इसे गिनने की ज़रूरत नहीं।" घड़ीसाज़ ने अपने औज़ार रख दिए, और उस दिन से वो बिना सुइयों वाली घड़ी अपनी मेज़ के ऊपर टँगी रखी — ख़ुद को याद दिलाने के लिए कि असल में कौन-से घंटे मायने रखते थे।
I'll be busy sometimes, little one - but never too busy for you. Some hours don't need counting; they just need to be spent.	कभी-कभी मैं उलझा हुआ रहूँगा, नन्ही जान — पर तुम्हारे लिए इतना कभी नहीं। कुछ घंटे गिनने के लिए नहीं होते; वे बस साथ बिताने के लिए होते हैं।
The Boy Who Carried the Mountain	वो लड़का जिसने पहाड़ उठाया
A boy was told he must move a mountain of stones from one field to another before he could grow up. "That's impossible," he wept. An old woman passing by said, "Then don't move the mountain. Move one stone." So each morning the boy carried a single stone across the field, and each morning the mountain looked exactly the same. But years later he stood in the cleared field, looked back at the great pile he had built stone by stone, and understood: impossible things are only possible things, carried one at a time.	एक लड़के से कहा गया कि बड़ा होने से पहले उसे पत्थरों का एक पूरा पहाड़ एक खेत से दूसरे खेत तक ले जाना होगा। "यह तो नामुमकिन है," वह रो पड़ा। पास से गुज़रती एक बूढ़ी औरत ने कहा, "तो पहाड़ मत हटाओ। एक पत्थर हटाओ।" तो हर सुबह लड़का एक पत्थर उठाकर खेत पार कराता, और हर सुबह पहाड़ बिलकुल वैसा ही दिखता। पर बरसों बाद वह ख़ाली हो चुके खेत में खड़ा था; उसने पलटकर उस बड़े ढेर को देखा, जो उसने एक-एक पत्थर से बनाया था, और समझ गया: नामुमकिन चीज़ें बस मुमकिन चीज़ें होती हैं, जिन्हें एक-एक करके उठाया जाता है।
When something feels too big to face, little one, we won't move the mountain. We'll just move one stone, together, today.	जब कोई चीज़ सामने से बहुत बड़ी लगे, नन्ही जान, तो हम पहाड़ नहीं हटाएँगे। हम बस आज, साथ मिलकर, एक पत्थर हटाएँगे।
The Bridge Builder	पुल बनाने वाला
An old traveller crossed a deep, cold river at great difficulty, then sat down on the far bank and began to build a bridge. A younger man laughed. "You've already crossed. You'll never need this bridge again." The old man kept working. "This morning a child like you may come this way," he said, "and the river will be just as deep for them as it was for me. I build for the one who comes after." And so the bridge stood, long after the old man was gone, carrying strangers safely over water they never even feared.	एक बूढ़ा मुसाफ़िर बड़ी मुश्किल से एक गहरी, ठंडी नदी पार करके उस पार बैठा — और पुल बनाने लगा। एक जवान आदमी हँसा। "तुम तो पार कर आए। अब इस पुल की तुम्हें कभी ज़रूरत नहीं पड़ेगी।" बूढ़ा काम करता रहा। "आज ही तुम्हारी उम्र का कोई बच्चा इधर आ सकता है," उसने कहा, "और नदी उसके लिए उतनी ही गहरी होगी जितनी मेरे लिए थी। मैं उसके लिए बना रहा हूँ जो बाद में आएगा।" और वह पुल बूढ़े के जाने के बहुत बाद तक खड़ा रहा — अनजान लोगों को उस पानी के ऊपर से सही-सलामत पार कराता रहा, जिससे उन्हें कभी डर लगा ही नहीं।
I'm building bridges you'll never see me build, little one - so the rivers that were hard for me will be easy for you.	मैं कुछ ऐसे पुल बना रहा हूँ, नन्ही जान, जिनका बनना तुम्हें कभी दिखेगा नहीं — ताकि जो नदियाँ मेरे लिए मुश्किल थीं, वे तुम्हारे लिए आसान हो जाएँ।
The Gardener Who Talked to Seeds	वो माली जो बीजों से बात करता था
A gardener was famous for the richest garden in the land, and people begged to know his secret. "I talk to my seeds," he said simply. They laughed - until they noticed he visited each seed while it was still buried, unseen, with nothing yet to show. "Anyone can praise a flower," he told them. "I speak to them in the dark, before they've done a single thing, so they grow knowing they were loved first." And his garden, people swore, bloomed as though it had something to live up to.	एक माली पूरे इलाक़े के सबसे भरे-पूरे बग़ीचे के लिए मशहूर था, और लोग उसका राज़ जानने के लिए गिड़गिड़ाते। "मैं अपने बीजों से बात करता हूँ," उसने सीधा-सा कहा। लोग हँसे — जब तक उन्होंने ग़ौर नहीं किया कि वह हर बीज के पास तब जाता था, जब वह अभी मिट्टी में दबा था, किसी को दिखता नहीं था, और दिखाने को उसके पास कुछ था भी नहीं। "फूल की तारीफ़ तो कोई भी कर लेता है," उसने कहा। "मैं उनसे अँधेरे में बात करता हूँ, इससे पहले कि उन्होंने कुछ भी किया हो — ताकि वे यह जानते हुए उगें कि उन्हें प्यार पहले मिला था।" और उसका बग़ीचा, लोग क़सम खाते थे, ऐसे खिलता था जैसे उसे किसी भरोसे पर खरा उतरना हो।
I'm talking to you now, in the dark, before you've done a single thing - so you'll grow up knowing you were loved first.	मैं तुमसे अभी बात कर रहा हूँ, अँधेरे में, इससे पहले कि तुमने कुछ भी किया हो — ताकि बड़े होने पर यह पता हो कि प्यार तुम्हें सबसे पहले मिला था।
The Kite and the String	पतंग और डोर
A kite climbed high into the wind and felt the tug of the string below. "Let me go!" it cried. "I could touch the clouds if you'd only release me!" The child holding the string loosened her grip - and at once the kite tumbled, spun, and fell. She caught the string just in time and let it climb again. "The string isn't holding you down," she said gently. "It's what lets you rise." And the kite understood: it was not trapped by the hand that held it, but lifted - free precisely because it was not alone.	पतंग हवा में ऊँची चढ़ी और उसे नीचे से डोर का खिंचाव महसूस हुआ। "मुझे छोड़ दो!" वह चिल्लाई। "बस छोड़ दो, तो मैं बादल छू लूँ!" डोर थामे बच्ची ने पकड़ ढीली कर दी — और पतंग तुरंत लड़खड़ाई, घूमी, और गिरने लगी। बच्ची ने ऐन वक़्त पर डोर सँभाली और उसे फिर से ऊपर चढ़ने दिया। "डोर तुम्हें नीचे नहीं रोक रही," उसने नरमी से कहा। "यही तो तुम्हें ऊपर उठाती है।" और पतंग समझ गई: जो हाथ उसे थामे था, उसने उसे बाँधा नहीं था, उठाया था — वह आज़ाद इसीलिए थी, क्योंकि वह अकेली नहीं थी।
I'll hold your string, little one - not to keep you low, but to help you climb. And when you're ready, I'll let it run.	मैं तुम्हारी डोर थामे रहूँगा, नन्ही जान — नीचे रोकने के लिए नहीं, ऊपर चढ़ाने के लिए। और जब तुम तैयार हो जाओ, मैं उसे खुला छोड़ दूँगा।
The Old Dog and the New Pup	बूढ़ा कुत्ता और नया पिल्ला
An old farm dog watched a clumsy new pup trip over its own paws, bark at its own tail, and tumble into the water trough. The other animals snickered. But the old dog only walked beside the pup each day, slow and patient, showing it where the soft grass was, how to listen for the farmer's whistle, when to rest. He never scolded the stumbles. "I was clumsy once too," he said. "Someone walked slow for me." And in time the pup grew sure-footed and wise, and walked slow, one day, for a clumsy pup of its own.	खेत का एक बूढ़ा कुत्ता देखता रहा कि नया अनाड़ी पिल्ला अपने ही पंजों में उलझकर गिरता है, अपनी ही पूँछ पर भौंकता है, और पानी की नाँद में लुढ़क जाता है। बाक़ी जानवर हँसते थे। पर बूढ़ा कुत्ता बस हर दिन उसके साथ-साथ चलता — धीरे और सब्र से — उसे दिखाता कि नरम घास कहाँ है, किसान की सीटी कैसे पहचाननी है, कब सुस्ताना है। उसने लड़खड़ाहटों पर कभी नहीं डाँटा। "मैं भी कभी अनाड़ी था," उसने कहा। "किसी ने मेरे लिए भी धीरे चलना क़ुबूल किया था।" और वक़्त के साथ पिल्ला मज़बूत क़दमों वाला और समझदार हो गया — और एक दिन, किसी अपने अनाड़ी पिल्ले के लिए, ख़ुद धीरे चला।
You'll stumble, and I'll never laugh. I'll just walk slow beside you, the way someone once did for me.	तुमसे भी क़दम लड़खड़ाएँगे, और मैं कभी नहीं हँसूँगा। मैं बस तुम्हारे साथ धीरे चलूँगा, जैसे कभी किसी ने मेरे लिए चला था।
The Fisherman's Patience	मछुआरे का सब्र
A boy went fishing with his father and grew restless within minutes. "Nothing's biting! This is boring!" The father only smiled and kept his line in the still water. "Fishing isn't about the fish," he said. "It's about learning to be quiet enough to notice everything else." So the boy went quiet - and slowly began to see: the heron stalking the reeds, the dragonfly stitching the air, the morning light lying gold across the water. They caught nothing that day. It was, the boy would say long afterward, one of the best days of his life.	एक लड़का अपने पिता के साथ मछली पकड़ने गया और मिनटों में ऊबने लगा। "कुछ फँस ही नहीं रहा! कितनी बोरियत है!" पिता बस मुस्कुराए और अपनी डोर ठहरे हुए पानी में डाले रखी। "मछली पकड़ना मछली के बारे में है ही नहीं," उन्होंने कहा। "यह इतना चुप होना सीखने के बारे में है कि बाक़ी सब दिखने लगे।" तो लड़का चुप हो गया — और धीरे-धीरे उसे दिखने लगा: सरकंडों में दबे पाँव चलता बगुला, हवा में टाँके भरता एक नन्हा उड़ता कीड़ा, पानी पर सुनहरी फैली सुबह की रोशनी। उस दिन उन्होंने कुछ नहीं पकड़ा। और बरसों बाद तक वह लड़का कहता रहा कि वह उसकी ज़िंदगी के सबसे अच्छे दिनों में से एक था।
I'll teach you to fish, little one - and more than that, to sit still enough to notice the whole quiet world while you wait.	मैं तुम्हें मछली पकड़ना सिखाऊँगा, नन्ही जान — और उससे भी ज़्यादा, इतना ठहरकर बैठना कि इंतज़ार करते-करते यह पूरी चुपचाप दुनिया दिखने लगे।
The Boy and the Echo	लड़का और गूँज
A small boy, angry one morning, ran to the edge of a valley and shouted, "I hate you!" Back came the voice: "I hate you... hate you..." Frightened, he ran to his father. "There's a mean boy in the mountains!" The father walked him back and said, "Now call out something kind." The boy cupped his hands and shouted, "I'm sorry! I love you!" And the whole valley answered, warm and ringing: "I love you... love you..." "The mountain only gives back what you give it," his father said. "So does the world. So does a heart."	एक छोटा लड़का, एक सुबह ग़ुस्से में, घाटी के किनारे तक भागा और चिल्लाया, "मुझे तुमसे नफ़रत है!" आवाज़ लौटकर आई: "मुझे तुमसे नफ़रत है... नफ़रत है..." डरकर वह अपने पिता के पास भागा। "पहाड़ों में कोई बदतमीज़ लड़का है!" पिता उसे वापस ले गए और बोले, "अब कुछ अच्छा पुकारकर देखो।" लड़के ने हथेलियाँ मुँह पर रखकर पुकारा, "माफ़ करना! मुझे तुमसे प्यार है!" और पूरी घाटी गूँज उठी, गरम और भरी हुई: "मुझे तुमसे प्यार है... प्यार है..." "पहाड़ वही लौटाता है जो तुम उसे देते हो," पिता ने कहा। "दुनिया भी। और दिल भी।"
The world tends to echo what you give it, little one. Send out kindness, and listen for how it comes home to you.	दुनिया अक्सर वही लौटाती है जो उसे दिया जाए, नन्ही जान। नरमी भेजो, और सुनते रहो कि वो तुम तक कैसे लौटकर आती है।
The Watchmaker's Promise	घड़ीसाज़ का वादा
A watchmaker promised his daughter he would be home before the last bell each night, and for years he kept it - though it meant leaving fine work unfinished and rich customers waiting. "Why turn away gold," they asked, "for a child who's already asleep?" "Because a promise isn't kept only when it's seen," he said. "She'll grow up sure of one thing: that when her father gives his word, the world itself comes second." And she did grow up sure of it - so sure that she gave her own word carefully all her life, and kept it the same way.	एक घड़ीसाज़ ने अपनी बेटी से वादा किया था कि वह हर रात आख़िरी घंटी से पहले घर आ जाएगा, और बरसों तक उसने वह वादा निभाया — चाहे इसके लिए बढ़िया काम अधूरा छोड़ना पड़ा हो और अमीर ग्राहकों को इंतज़ार कराना पड़ा हो। "एक बच्ची के लिए, जो वैसे भी सो चुकी होगी, सोना क्यों ठुकराते हो?" लोगों ने पूछा। "क्योंकि वादा सिर्फ़ तब नहीं निभाया जाता जब कोई देख रहा हो," उसने कहा। "वह एक बात पर पक्का यक़ीन लेकर बड़ी होगी: कि जब उसके पिता ज़बान देते हैं, तो दुनिया दूसरे नंबर पर आ जाती है।" और सच में वह उसी यक़ीन के साथ बड़ी हुई — इतने यक़ीन के साथ कि उसने ज़िंदगी भर अपनी ज़बान सोच-समझकर दी, और उसी तरह निभाई भी।
When I give you my word, little one, I'll keep it - even the small ones, even when no one's watching. Especially then.	जब मैं तुम्हें ज़बान दूँ, नन्ही जान, तो निभाऊँगा — छोटे-छोटे वादे भी, तब भी जब कोई देख न रहा हो। ख़ासकर तब।
The Stonecutter's Hundredth Blow	पत्थर तोड़ने वाले की सौवीं चोट
