A moment to build the father you want to be.	एक पल, वैसा पिता बनने की ओर जैसा आप बनना चाहते हैं।	Wo pita banne ka ek pal, jo aap banna chahte hain.	lib/data/father\fatherDailyContent.json/0/intro
Nothing looks different yet, and there is very little you can do. Sitting with that discomfort instead of filling it with plans is itself a skill you will need often as a father.	अभी कुछ अलग नहीं दिखता, और करने को बहुत कम है। उस बेचैनी को योजनाओं से भरने के बजाय उसके साथ बैठे रहना — यह ख़ुद एक हुनर है जिसकी पिता बनने पर बार-बार ज़रूरत पड़ेगी।	Abhi kuch alag nahi dikhta, aur karne ko bahut kam hai. Us bechaini ko plans se bharne ke bajaye uske saath baithna, yeh khud ek hunar hai jo aapko pita banne par baar baar chahiye hoga.	lib/data/father\journey_week_05.json/father_insight/body
A heartbeat, and a person	एक धड़कन, और एक इंसान	Ek dhadkan, aur ek insaan	lib/data/father\journey_week_06.json/father_insight/title
There is a heartbeat this week. Many fathers describe this as the moment it stopped being news and started being a person. Let yourself react to it however you actually do.	इस हफ़्ते एक धड़कन है। बहुत से पिता कहते हैं कि यही वह पल था जब यह ख़बर नहीं रही, एक इंसान बन गई। आप सच में जैसा महसूस करते हैं, ख़ुद को वैसा ही महसूस करने दीजिए।	Is hafte ek dhadkan hai. Bahut se pita kehte hain ki yahi woh pal tha jab yeh khabar se badal kar ek insaan ban gaya. Aap jaisa sach mein mehsoos karte hain, waisa hi react karne dein khud ko.	lib/data/father\journey_week_06.json/father_insight/body
You are allowed to be scared	डरना आपका हक़ है	Darna aapka haq hai	lib/data/father\journey_week_07.json/father_insight/title
Money, space, whether you will be any good at this. Fathers rarely say these out loud because it feels selfish next to what she is carrying. Saying one of them to her this week is not a burden. It is the beginning of doing this together.	पैसा, जगह, यह कि आप इसमें अच्छे होंगे या नहीं। पिता ये बातें कम ही कहते हैं, क्योंकि वे जो उठा रही हैं उसके आगे यह स्वार्थी लगता है। इस हफ़्ते इनमें से एक बात उनसे कह देना बोझ नहीं है। यह इसे साथ मिलकर करने की शुरुआत है।	Paisa, jagah, kya aap ismein achhe honge. Pita yeh baatein kam hi kehte hain kyunki jo woh jhel rahi hai uske saamne yeh selfish lagta hai. Is hafte unmein se ek baat usse keh dena bojh nahi hai. Yeh saath mein karne ki shuruaat hai.	lib/data/father\journey_week_07.json/father_insight/body
Learn the vocabulary	शब्द सीख लीजिए	Shabd seekhiye	lib/data/father\journey_week_08.json/father_insight/title
You will sit in rooms where people use words you do not know and decisions get made fast. Ten minutes learning what a scan measures is not fussing. It is how you become useful in that room instead of a spare chair.	आप ऐसे कमरों में बैठेंगे जहाँ लोग ऐसे शब्द बोलेंगे जो आप नहीं जानते, और फ़ैसले तेज़ी से होंगे। दस मिनट यह समझना कि scan क्या नापता है, ज़रूरत से ज़्यादा फ़िक्र करना नहीं है। इसी से आप उस कमरे में एक ख़ाली कुर्सी नहीं, काम के इंसान बनते हैं।	Aap aise kamron mein baithenge jahan log aise shabd bolenge jo aap nahi jaante aur faisle tezi se honge. Das minute yeh samajhna ki scan kya naapta hai, fikr karna nahi hai. Yahi tareeka hai ki us kamre mein aap ek khaali kursi ke bajaye kaam ke bane.	lib/data/father\journey_week_08.json/father_insight/body
Notice what she stopped doing	देखिए उन्होंने क्या छोड़ा है	Dekhiye usne kya chhoda hai	lib/data/father\journey_week_09.json/father_insight/title
She has probably given up things quietly. Coffee, a medicine, a way of sleeping. Naming one of them out loud tells her the cost is being seen, which is different from being thanked.	उन्होंने शायद चुपचाप कुछ चीज़ें छोड़ दी हैं। कॉफ़ी, कोई दवा, सोने का एक तरीक़ा। उनमें से एक का ज़िक्र कर देना उन्हें बताता है कि उसकी क़ीमत दिख रही है — और यह शुक्रिया कहने से अलग बात है।	Usne shayad chupchaap kuch cheezein chhod di hain. Coffee, koi dawa, sone ka tareeka. Unmein se ek ka zikr kar dena use batata hai ki uski keemat dikh rahi hai, jo shukriya kehne se alag baat hai.	lib/data/father\journey_week_09.json/father_insight/body
Your job is not to fix	आपका काम ठीक करना नहीं है	Aapka kaam theek karna nahi hai	lib/data/father\journey_week_10.json/father_insight/title
When she says she feels awful, the instinct is to solve it. Usually there is nothing to solve. Saying that sounds really hard does more than a suggestion, and takes less from both of you.	जब वे कहती हैं कि बहुत बुरा लग रहा है, तो मन करता है कि उसे हल कर दें। अक्सर हल करने को कुछ होता ही नहीं। बस इतना कह देना — यह सच में मुश्किल लग रहा है — किसी सलाह से ज़्यादा काम करता है, और आप दोनों से कम माँगता है।	Jab woh kehti hai ki use bura lag raha hai, mann karta hai use theek kar dein. Aksar theek karne ko kuch hota hi nahi. Yeh kehna ki yeh sach mein mushkil lag raha hai, kisi salah se zyada kaam karta hai aur dono par kam bojh daalta hai.	lib/data/father\journey_week_10.json/father_insight/body
Who have you told?	आपने किसे बताया है?	Aapne kise bataya hai?	lib/data/father\journey_week_11.json/father_insight/title
Fathers often have nobody to talk to about this. She has doctors, family, other mothers. Pick one person this week and actually tell them what this feels like for you.	पिता के पास अक्सर इस बारे में बात करने वाला कोई नहीं होता। उनके पास डॉक्टर हैं, परिवार है, दूसरी माँएँ हैं। इस हफ़्ते एक इंसान चुनिए और उसे सच में बताइए कि आपको यह कैसा लग रहा है।	Pita ke paas aksar is baare mein baat karne wala koi nahi hota. Uske paas doctor hain, parivaar hai, doosri mothers hain. Is hafte ek insaan chuniye aur unhe sach mein bataiye ki aapko yeh kaisa lag raha hai.	lib/data/father\journey_week_11.json/father_insight/body
The first stretch is behind you	पहला दौर पीछे रह गया	Pehla daur peechhe reh gaya	lib/data/father\journey_week_12.json/father_insight/title
Twelve weeks. Many couples start telling people now. Before the news belongs to everyone, take an evening where it still belongs only to the two of you.	बारह हफ़्ते। बहुत से जोड़े अब लोगों को बताना शुरू करते हैं। ख़बर सबकी हो जाने से पहले, एक शाम ऐसी रखिए जब यह सिर्फ़ आप दोनों की हो।	Baarah hafte. Bahut se couples ab logon ko batana shuru karte hain. Khabar sab ki hone se pehle, ek shaam aisi rakhiye jab yeh sirf aap dono ki ho.	lib/data/father\journey_week_12.json/father_insight/body
Second trimester, second wind	दूसरी तिमाही, नई साँस	Doosra trimester, nayi saans	lib/data/father\journey_week_13.json/father_insight/title
She may feel noticeably better now. That relief is real, and it is also the moment couples quietly stop talking about the pregnancy. Keep asking.	अब उन्हें काफ़ी बेहतर लग सकता है। वह राहत सच्ची है, और यही वह पल भी है जब जोड़े चुपचाप गर्भावस्था की बात करना बंद कर देते हैं। पूछते रहिए।	Ab use kaafi behtar mehsoos ho sakta hai. Woh raahat asli hai, aur yahi woh pal bhi hai jab couples chupchaap pregnancy ki baat karna band kar dete hain. Poochte rahiye.	lib/data/father\journey_week_13.json/father_insight/body
Start showing up to appointments	अपॉइंटमेंट पर आना शुरू कीजिए	Appointments par aana shuru kijiye	lib/data/father\journey_week_14.json/father_insight/title
If you have been skipping them because work is hard to move, this is the trimester to change that. What you learn matters less than her not walking in alone.	अगर काम से निकलना मुश्किल था इसलिए आप इन्हें छोड़ते रहे हैं, तो यही तिमाही है इसे बदलने की। आप क्या सीखते हैं, यह कम मायने रखता है — मायने यह रखता है कि वे अकेली अंदर न जाएँ।	Agar aap kaam ki wajah se inhe chhod rahe the, toh yeh trimester badalne ka hai. Aap kya seekhte hain woh kam maayne rakhta hai. Maayne yeh rakhta hai ki woh akeli andar na jaaye.	lib/data/father\journey_week_14.json/father_insight/body
Money, honestly	पैसे की बात, सीधी	Paise ki baat, seedhi	lib/data/father\journey_week_15.json/father_insight/title
This is the calmest stretch of the pregnancy and the best time to look at the numbers properly. Together, once, without panic. Doing it now means not doing it at 3am in month eight.	गर्भावस्था का यही सबसे शांत दौर है और हिसाब ठीक से देखने का सबसे अच्छा वक़्त। साथ मिलकर, एक बार, बिना घबराए। अभी कर लेने का मतलब है आठवें महीने में रात 3 बजे यह न करना।	Yeh pregnancy ka sabse shaant daur hai aur numbers ko theek se dekhne ka behtareen samay. Saath mein, ek baar, bina ghabraaye. Abhi karne ka matlab hai aathvein maheene ki raat teen baje na karna.	lib/data/father\journey_week_15.json/father_insight/body
Your voice starts to matter	आपकी आवाज़ मायने रखने लगती है	Aapki awaaz maayne rakhne lagti hai	lib/data/father\journey_week_16.json/father_insight/title
Hearing begins around now. Your voice is lower than hers and carries further into the womb. This is the first thing that is yours to give and nobody else's.	सुनना अब शुरू होता है। आपकी आवाज़ उनकी आवाज़ से गहरी है और गर्भ के भीतर दूर तक जाती है। यह पहली चीज़ है जो सिर्फ़ आप दे सकते हैं, कोई और नहीं।	Sunna ab shuru hota hai. Aapki awaaz uski awaaz se gehri hai aur womb ke andar door tak jaati hai. Yeh pehli cheez hai jo sirf aap de sakte hain, koi aur nahi.	lib/data/father\journey_week_16.json/father_insight/body
Feeling stupid is part of it	बेवक़ूफ़ लगना इसी का हिस्सा है	Bewakoof lagna iska hissa hai	lib/data/father\journey_week_17.json/father_insight/title
Talking to a bump feels ridiculous the first time. Every father who does it felt that. Do it badly for a week and it stops feeling like a performance.	पहली बार पेट से बात करना अजीब लगता है। हर उस पिता को यही लगा है जो यह करता है। एक हफ़्ता ख़राब तरीक़े से कीजिए, फिर यह दिखावा लगना बंद हो जाएगा।	Pehli baar pet se baat karna ajeeb lagta hai. Har pita ko laga hai. Ek hafte kharaab tareeke se kijiye, phir yeh dikhawa lagna band ho jaayega.	lib/data/father\journey_week_17.json/father_insight/body
She is not the pregnancy	वे सिर्फ़ गर्भावस्था नहीं हैं	Woh pregnancy nahi hai	lib/data/father\journey_week_18.json/father_insight/title
Ask her about something that has nothing to do with the baby this week. Her work, an argument she had, a film. She was a whole person before this and still is.	इस हफ़्ते उनसे कुछ ऐसा पूछिए जिसका शिशु से कोई लेना-देना न हो। उनका काम, कोई बहस जो हुई, कोई फ़िल्म। वे इससे पहले भी एक पूरी इंसान थीं और अब भी हैं।	Is hafte usse kuch aisa poochiye jiska baby se koi lena dena na ho. Uska kaam, koi behes, koi film. Woh iske pehle bhi ek poori insaan thi aur ab bhi hai.	lib/data/father\journey_week_18.json/father_insight/body
What kind of father, exactly?	कैसे पिता, ठीक-ठीक?	Kaise pita, theek theek?	lib/data/father\journey_week_19.json/father_insight/title
Not a good one. That is too vague to act on. Patient? Present in the evenings? The one who does bedtime? Pick one and it becomes something you can practise.	अच्छे पिता — यह जवाब नहीं है। यह इतना धुँधला है कि उस पर काम नहीं हो सकता। सब्र वाले? शाम को मौजूद? जो रात को सुलाते हैं? एक चुन लीजिए, और वह अभ्यास करने लायक बन जाता है।	Achhe nahi. Yeh itna dhundhla hai ki us par kaam nahi ho sakta. Sabr wale? Shaam ko maujood? Jo sulaate hain? Ek chuniye, aur woh abhyaas karne layak ban jaata hai.	lib/data/father\journey_week_19.json/father_insight/body
Halfway there, and you are becoming a father too	आधा सफ़र पूरा, और आप भी पिता बन रहे हैं	Aadha safar, aur aap bhi ek pita ban rahe hain	lib/data/father\journey_week_20.json/father_insight/title
She is carrying your baby, but both of you are becoming parents. Halfway is a good moment to ask yourself what kind of father you want to be.	वे आपके शिशु को अपने भीतर लिए चल रही हैं, पर माता-पिता आप दोनों बन रहे हैं। आधे सफ़र पर ख़ुद से यह पूछने का अच्छा पल है कि आप कैसे पिता बनना चाहते हैं।	Woh aapke baby ko carry kar rahi hai, lekin aap dono parent ban rahe hain. Aadhe safar par khud se poochne ka achha pal hai ki aap kaise pita banna chahte hain.	lib/data/father\journey_week_20.json/father_insight/body
The comparison trap	तुलना का जाल	Tulna ka jaal	lib/data/father\journey_week_21.json/father_insight/title
Someone will tell you what their pregnancy was like, what their baby did, what you should buy. Almost none of it applies to you. Nod, and let it go.	कोई आपको बताएगा कि उनकी गर्भावस्था कैसी थी, उनका शिशु क्या करता था, आपको क्या ख़रीदना चाहिए। इसमें से लगभग कुछ भी आप पर लागू नहीं होता। सिर हिलाइए, और जाने दीजिए।	Koi aapko batayega ki unki pregnancy kaisi thi, unka baby kya karta tha, aapko kya khareedna chahiye. Uska lagbhag kuch bhi aap par laagu nahi hota. Sar hilaiye, aur chhod dijiye.	lib/data/father\journey_week_21.json/father_insight/body
Kicks you can feel	ऐसी हलचल जो आप महसूस कर सकते हैं	Aise kicks jo aap mehsoos kar sakte hain	lib/data/father\journey_week_22.json/father_insight/title
You can probably feel movement from the outside now. Put your hand there and wait, more than once. It is the closest you get to meeting them early.	अब शायद आप बाहर से हलचल महसूस कर सकते हैं। हाथ रखिए और रुकिए, एक से ज़्यादा बार। शिशु से जल्दी मिलने के सबसे क़रीब यही है।	Ab shayad aap bahar se movement mehsoos kar sakte hain. Haath rakhiye aur intezaar kijiye, ek se zyada baar. Unse jaldi milne ke sabse kareeb yahi hai.	lib/data/father\journey_week_22.json/father_insight/body
My hearing is developing rapidly. I can pick out her heartbeat, your voice, and noises from outside the womb. My brain is learning from all of it.	मेरी सुनने की शक्ति तेज़ी से बढ़ रही है। माँ के दिल की धड़कन, आपकी आवाज़ और गर्भ के बाहर की आवाज़ें अब मुझे अलग-अलग समझ आने लगी हैं। मेरा दिमाग़ इन सबसे सीख रहा है।	Meri hearing tezi se develop ho rahi hai. Main uske dil ki dhadkan, aapki awaaz, aur womb ke bahar ki aawaazein pehchaan sakta hoon. Mera brain in sab se seekh raha hai.	lib/data/father\journey_week_22.json/connecting_with_baby/title
Babies recognise voices they heard in the womb after they are born. A good reason to be one of them.	जन्म के बाद शिशु उन आवाज़ों को पहचान लेते हैं जो उन्होंने गर्भ में सुनी थीं। उनमें से एक होने की यही अच्छी वजह है।	Babies janm ke baad un awaazon ko pehchaante hain jo unhone womb mein suni thi. Unmein se ek hone ki achhi wajah.	lib/data/father\journey_week_22.json/connecting_with_baby/body
Learn one thing properly	एक चीज़ ठीक से सीख लीजिए	Ek cheez theek se seekhiye	lib/data/father\journey_week_23.json/father_insight/title
Not everything. One. How to swaddle, or what colic actually is, or how a car seat installs. Competence in one small thing beats anxiety about all of it.	सब कुछ नहीं। एक। शिशु को कपड़े में कैसे लपेटते हैं, या colic असल में क्या है, या कार सीट कैसे लगती है। एक छोटी चीज़ में महारत, सब की फ़िक्र से बेहतर है।	Sab kuch nahi. Ek. Swaddle kaise karte hain, ya colic asal mein kya hai, ya car seat kaise lagti hai. Ek chhoti cheez mein maharat, sab ki fikr se behtar hai.	lib/data/father\journey_week_23.json/father_insight/body
Protect her sleep now	अब उनकी नींद बचाइए	Ab uski neend bachaiye	lib/data/father\journey_week_24.json/father_insight/title
Sleep gets harder from here and does not get easier for a long time. Taking the early morning, or the noise, or the dog, is worth more than most gestures.	यहाँ से नींद मुश्किल होती जाती है और लंबे समय तक आसान नहीं होती। सुबह जल्दी वाला वक़्त संभाल लेना, या शोर, या कुत्ता — यह ज़्यादातर बड़ी-बड़ी बातों से क़ीमती है।	Yahan se neend mushkil hoti jaati hai aur lambe samay tak aasaan nahi hoti. Subah jaldi uthna, ya shor sambhalna, ya kutte ko dekhna, yeh zyadatar gestures se zyada keemti hai.	lib/data/father\journey_week_24.json/father_insight/body
They know your voice	शिशु आपकी आवाज़ पहचानता है	Woh aapki awaaz pehchaante hain	lib/data/father\journey_week_25.json/father_insight/title
By now they respond to familiar voices. If you have been reading or talking, they already know yours. That head start is real, and it is the whole reason to keep going.	अब तक शिशु जानी-पहचानी आवाज़ों पर हरकत करने लगता है। अगर आप पढ़ते या बात करते रहे हैं, तो वह आपकी आवाज़ पहले से जानता है। यह शुरुआती बढ़त सच्ची है, और लगे रहने की यही पूरी वजह है।	Ab tak woh jaani pehchaani awaazon par react karte hain. Agar aap padh rahe the ya baat kar rahe the, toh woh aapki awaaz pehchaante hain. Yeh shuruaati badhat asli hai, aur isi liye lage rehna chahiye.	lib/data/father\journey_week_25.json/father_insight/body
Talk about the birth before it is urgent	जन्म की बात कीजिए, ज़रूरत पड़ने से पहले	Birth par baat kijiye, urgency se pehle	lib/data/father\journey_week_26.json/father_insight/title
What she wants, what frightens her, what she wants you to do if a decision has to be made fast. This conversation is calm now and impossible later.	वे क्या चाहती हैं, उन्हें किस बात से डर लगता है, और अगर तेज़ी से फ़ैसला लेना पड़े तो वे आपसे क्या चाहती हैं। यह बातचीत अभी शांत है और बाद में नामुमकिन।	Woh kya chahti hai, use kis se dar lagta hai, aur agar tezi se faisla lena pade toh woh aapse kya chahti hai. Yeh baat abhi shaant hai aur baad mein namumkin.	lib/data/father\journey_week_26.json/father_insight/body
Third trimester, real weight	तीसरी तिमाही, असली भार	Teesra trimester, asli bhaar	lib/data/father\journey_week_27.json/father_insight/title
The last stretch begins. Things you have been meaning to do stop being optional around now. Pick the one you have avoided longest.	आख़िरी दौर शुरू। जो काम आप करने की सोचते आ रहे हैं, अब वे टाले नहीं जा सकते। जिसे सबसे ज़्यादा टाला है, वही चुनिए।	Aakhri daur shuru. Jo kaam aap taal rahe the, ab woh optional nahi rahe. Jise sabse zyada taala hai, wahi chuniye.	lib/data/father\journey_week_27.json/father_insight/body
Ask what she is afraid of	पूछिए उन्हें किस बात का डर है	Poochiye use kis baat ka dar hai	lib/data/father\journey_week_28.json/father_insight/title
Not whether she is. She is. Asking what specifically makes it something the two of you can look at together instead of something she carries alone at night.	यह नहीं कि डर है या नहीं। है। ठीक किस बात का — यह पूछना उसे ऐसी चीज़ बना देता है जिसे आप दोनों साथ देख सकते हैं, बजाय इसके कि वे रात को अकेली उसे उठाती रहें।	Yeh nahi ki dar hai ya nahi. Hai. Yeh poochna ki theek kis baat ka, use aisi cheez bana deta hai jise aap dono saath dekh sakte hain, bajaye iske ki woh raat ko akeli jhele.	lib/data/father\journey_week_28.json/father_insight/body
I can open and close my eyes, blink and respond to light. My brain is developing rapidly and my lungs continue preparing for life outside the womb.	मेरी आँखें अब खुलती और बंद होती हैं, पलकें झपकती हैं और रोशनी पर हरकत करती हैं। मेरा दिमाग़ तेज़ी से बढ़ रहा है और मेरे फेफड़े गर्भ के बाहर की ज़िंदगी की तैयारी कर रहे हैं।	Main apni aankhein khol aur band kar sakta hoon, blink kar sakta hoon aur roshni par react kar sakta hoon. Mera brain tezi se develop ho raha hai aur mere lungs womb ke bahar ki zindagi ke liye taiyaar ho rahe hain.	lib/data/father\journey_week_28.json/connecting_with_baby/title
If a bright light shines on her bump, I may actually turn toward it.	अगर उनके पेट पर तेज़ रोशनी पड़े, तो हो सकता है मैं सच में उसी तरफ़ मुड़ जाऊँ।	Agar uske pet par tej roshni padti hai, to main sach mein uski taraf mud sakta hoon.	lib/data/father\journey_week_28.json/connecting_with_baby/body
Your leave, in writing	आपकी छुट्टी, लिखित में	Aapki chhutti, likhit mein	lib/data/father\journey_week_29.json/father_insight/title
Whatever you can take, arrange it now and get it confirmed. Fathers who leave this late usually end up taking less than they meant to, and regret it for years.	जितनी भी ले सकते हैं, अभी तय कीजिए और लिखवा लीजिए। जो पिता इसे टालते हैं, वे अक्सर सोची हुई से कम छुट्टी ले पाते हैं, और सालों पछताते हैं।	Jitni bhi le sakte hain, abhi tay kijiye aur confirm karwaiye. Jo pita ise taalte hain woh aksar soche se kam chhutti le paate hain, aur saalon pachhtate hain.	lib/data/father\journey_week_29.json/father_insight/body
Ten weeks is not long	दस हफ़्ते लंबे नहीं होते	Das hafte lambe nahi hote	lib/data/father\journey_week_30.json/father_insight/title
It sounds like time. It is not. Whatever you are telling yourself you will sort out later, the room, the paperwork, the conversation, later has almost arrived.	सुनने में लगता है बहुत वक़्त है। है नहीं। जो भी आप ख़ुद से कह रहे हैं कि बाद में कर लेंगे — कमरा, काग़ज़, वह बातचीत — वह बाद अब लगभग आ चुका है।	Sunne mein samay lagta hai. Hai nahi. Jo bhi aap khud se keh rahe hain ki baad mein kar lenge, kamra, kaagaz, woh baatcheet, woh baad ab lagbhag aa chuka hai.	lib/data/father\journey_week_30.json/father_insight/body
Who else will she need?	उन्हें और कौन चाहिए होगा?	Use aur kaun chahiye hoga?	lib/data/father\journey_week_31.json/father_insight/title
You cannot be all of it, and trying is how fathers burn out by month two. Work out now who else is genuinely coming, and what they are actually going to do.	आप अकेले सब कुछ नहीं हो सकते, और यही कोशिश पिता को दूसरे महीने तक थका देती है। अभी तय कीजिए कि और कौन सच में आ रहा है, और वह असल में करेगा क्या।	Aap sab kuch nahi ho sakte, aur koshish karna hi wajah hai ki pita doosre maheene tak thak jaate hain. Abhi tay kijiye ki aur kaun sach mein aayega, aur woh asal mein karega kya.	lib/data/father\journey_week_31.json/father_insight/body
Practice contractions, practice calm	अभ्यास के संकुचन, अभ्यास का सुकून	Abhyaas ke contractions, abhyaas ka sukoon	lib/data/father\journey_week_32.json/father_insight/title
Braxton Hicks can be alarming the first time. Knowing what they are, and what they are not, means one of you stays steady when it happens at 2am.	Braxton Hicks पहली बार डरा सकते हैं। यह जानना कि वे क्या हैं और क्या नहीं, इसका मतलब है कि रात 2 बजे जब ये हों तो आप दोनों में से एक शांत रहेगा।	Braxton Hicks pehli baar dara sakte hain. Yeh jaanna ki woh kya hain aur kya nahi, iska matlab hai raat do baje mein aap dono mein se ek shaant rahega.	lib/data/father\journey_week_32.json/father_insight/body
Say the thing you keep not saying	वह बात कह दीजिए जो आप कहते नहीं	Woh baat kahiye jo aap keh nahi paa rahe	lib/data/father\journey_week_33.json/father_insight/title
