Pregnancy Pillow	गर्भावस्था का तकिया
Wearable after delivery too	प्रसव के बाद भी पहनी जा सकती हैं
Limited colours	रंग कम हैं
May need a size up late on	आगे चलकर एक size बड़ी लेनी पड़ सकती है
Bloom Nursing Dress	Bloom Nursing Dress
Elegant dress with discreet nursing access.	सुंदर dress, जिसमें दूध पिलाने के लिए बिना दिखे खुलने की सुविधा है।
Special days and nursing	ख़ास दिनों और दूध पिलाने के लिए
Premium fabric	Premium कपड़ा
Flattering fit	जँचने वाला fit
Higher price	क़ीमत ज़्यादा
Gentle wash only	सिर्फ़ हल्के हाथ से धुलाई
DailyEase Maternity Kurti	DailyEase Maternity Kurti
Roomy, breathable kurti for everyday wear.	खुली-खुली, साँस लेने वाली कुर्ती रोज़ पहनने के लिए।
Affordable	किफ़ायती
Airy and roomy	हवादार और खुली
Easy to wash	धोने में आसान
Basic styling	साधारण design
Fabric thins over time	कपड़ा समय के साथ पतला हो जाता है
SteadyBump Support Band	SteadyBump Support Band
Adjustable band that eases bump and back strain.	कसा-ढीला होने वाला बैंड जो पेट और पीठ का ज़ोर कम करता है।
Back relief	पीठ को राहत
Breathable panel	साँस लेने वाला panel
Visible under fitted clothes	चुस्त कपड़ों के नीचे दिख जाता है
Needs the right size	सही नाप ज़रूरी है
LiteHold Belly Band	LiteHold Belly Band
Simple, low-cost everyday support.	रोज़ के लिए सरल और कम क़ीमत वाला सहारा।
Light and simple	हल्का और सरल
Easy to wear	पहनने में आसान
Less adjustable	कम कसा-ढीला होता है
Thinner material	कपड़ा पतला
FlexCore Maternity Belt	FlexCore Maternity Belt
Firmer, contoured support for active days.	चलती-फिरती दिनचर्या के लिए ज़्यादा कसा, शरीर के आकार में ढला सहारा।
Active mothers	सक्रिय माँओं के लिए
Firm contoured support	कसा हुआ, शरीर में ढला सहारा
Durable build	मज़बूत बनावट
Good for activity	चलने-फिरने के लिए अच्छा
Warmer to wear	पहनने पर ज़्यादा गर्म लगता है
FreshStep Compression Socks	FreshStep Compression Socks
Graduated compression for swelling and tired legs.	सूजन और थकी टाँगों के लिए ऊपर से नीचे घटता compression।
Daily swelling	रोज़ की सूजन के लिए
Snug to put on	पहनने में कसे लगते हैं
Hand wash is best	हाथ से धोना सबसे अच्छा
DayLite Support Socks	DayLite Support Socks
Light support at an easy price.	हल्का सहारा, आसान क़ीमत में।
Comfortable knit	आरामदेह बुनाई
Good for short days	कम देर पहनने के लिए अच्छे
Milder compression	Compression हल्का
Fewer sizes	नाप के कम विकल्प
AeroFlow Medical Socks	AeroFlow Medical Socks
Medical-grade compression for all-day wear.	पूरे दिन पहनने के लिए medical-grade compression।
Long days on your feet	पूरे दिन पैरों पर रहने वालों के लिए
Strong graduated support	ऊपर से नीचे घटता मज़बूत सहारा
All-day comfort	दिन भर आराम
Durable	टिकाऊ
Firmer to put on	पहनने में ज़्यादा कसे
SoftClip Nursing Bra	SoftClip Nursing Bra
Wireless support with easy one-hand clips.	बिना wire का सहारा, एक हाथ से खुलने वाली clip के साथ।
Size changes after birth	जन्म के बाद नाप बदल जाता है
Plain design	सादा design
DayEase Nursing Bra	DayEase Nursing Bra
Comfortable basics at a friendly price.	वाजिब क़ीमत में आरामदेह बुनियादी चीज़ें।
Affordable multipacks	किफ़ायती multipack
Soft fabric	नरम कपड़ा
Easy care	देखभाल आसान
Lighter support	सहारा हल्का
Bloom Seamless Nursing Bra	Bloom Seamless Nursing Bra
Seamless premium comfort for day and night.	दिन और रात के लिए बिना सिलाई वाला premium आराम।
All-day wear	पूरे दिन पहनने के लिए
Seamless comfort	बिना सिलाई वाला आराम
Great support	बढ़िया सहारा
Soft premium fabric	नरम premium कपड़ा
Hand wash preferred	हाथ से धोना बेहतर
GentleFlow Electric Pump	GentleFlow Electric Pump
Quiet electric pump with a comfortable fit.	शांत electric pump, आरामदेह fit के साथ।
Regular pumping	रोज़ pump करने के लिए
Needs charging	Charge करना पड़ता है
How quiet it is.	यह कितना शांत है।
Comfortable and efficient.	आरामदेह और असरदार।
Remember to keep it charged.	इसे charge रखना याद रखें।
Simran	सिमरन
Working mother	नौकरीपेशा माँ
Week 36 → Postpartum	हफ़्ता 36 → प्रसव के बाद
Quiet enough to pump discreetly at work.	इतना शांत कि दफ़्तर में बिना किसी को पता चले pump कर सकूँ।
Carry the charger with you.	Charger साथ रखें।
EasyHand Manual Pump	EasyHand Manual Pump
Simple manual pump for occasional use.	कभी-कभार इस्तेमाल के लिए सरल manual pump।
Occasional use	कभी-कभार इस्तेमाल के लिए
No power needed	बिजली की ज़रूरत नहीं
Light to carry	साथ ले जाने में हल्का
Manual effort	हाथ से मेहनत करनी पड़ती है
Slower than electric	Electric से धीमा
DualEase Double Pump	DualEase Double Pump
Hospital-grade double pump to save time.	समय बचाने के लिए hospital-grade double pump।
Frequent pumping	बार-बार pump करने के लिए
Double pumping saves time	दोनों तरफ़ से एक साथ pump करने पर समय बचता है
Strong, adjustable suction	मज़बूत खिंचाव, जिसे कम-ज़्यादा किया जा सकता है
Expensive	महँगा
More parts to clean	साफ़ करने के लिए ज़्यादा हिस्से
DreamWrap Muslin Swaddle	DreamWrap Muslin Swaddle
Breathable muslin that keeps newborns snug.	साँस लेने वाला muslin जो नवजात को आराम से लिपटा रखता है।
Newborns	नवजात के लिए
Breathable muslin	साँस लेने वाला muslin
Soft on skin	त्वचा पर नरम
Needs re-wrapping	बार-बार लपेटना पड़ता है
Sold in small packs	छोटे pack में मिलता है
CozyCotton Swaddle Pack	CozyCotton Swaddle Pack
Value pack of soft cotton swaddles.	नरम सूती swaddle का किफ़ायती pack।
Great value pack	बढ़िया किफ़ायती pack
Soft cotton	नरम सूती
Machine washable	Machine में धुल जाता है
Slightly thicker	थोड़ा मोटा
Fewer prints	Print कम
SnugZip Swaddle Sack	SnugZip Swaddle Sack
Zip swaddle for easy, secure wrapping.	आसान और सुरक्षित लपेटन के लिए zip वाला swaddle।
Easy wrapping	आसान लपेटन
Easy zip wrapping	Zip से आसान लपेटन
Secure fit	कसकर टिका रहने वाला fit
Outgrown quickly	जल्दी छोटा पड़ जाता है
