Hinduism	हिन्दू धर्म
A gentle lesson here is to tend what is in your hands and let time do the rest, the way a gardener plants and then waits. You are doing the tending now, day by day; the growing is not yours to rush.	यहाँ एक नरम-सी सीख यह है कि जो आपके हाथ में है उसे सँभालिए और बाक़ी समय पर छोड़ दीजिए — जैसे माली पौधा लगाकर इंतज़ार करता है। सँभालने का काम आप अभी कर रही हैं, एक-एक दिन; बढ़ना आपके जल्दी करने से नहीं होता।
Your effort is enough	आपकी कोशिश काफ़ी है
This teaching values wholehearted effort over a perfect result. On the days you simply eat well, rest, and get through, that is not 'not enough' - that is exactly the work.	यह सीख पूरे मन से की गई कोशिश को सही नतीजे से ऊपर रखती है। जिन दिनों आप बस ठीक से खा लेती हैं, आराम कर लेती हैं और दिन काट लेती हैं — वह 'कम' नहीं है, वही तो असली काम है।
Let the worry pass through	चिंता को गुज़र जाने दीजिए
Thoughts and fears are seen as visitors, not residents; they arrive and, if you let them, they leave. You can notice a worry, breathe, and watch it move on without making it your home.	विचार और डर यहाँ मेहमान माने गए हैं, घर के लोग नहीं — वे आते हैं, और अगर आप जाने दें तो चले भी जाते हैं। आप चिंता को देख सकती हैं, साँस ले सकती हैं, और उसे आगे बढ़ जाने दे सकती हैं, बिना उसे अपना घर बनाए।
Devotion in small acts	छोटे-छोटे कामों में भक्ति
Even ordinary actions can become a kind of devotion when done with love and attention. Pouring that love into the small care you give yourself and your baby turns a quiet day into something tender.	साधारण-से काम भी, प्रेम और ध्यान से किए जाएँ तो एक तरह की भक्ति बन जाते हैं। अपनी और अपने शिशु की छोटी-छोटी देखभाल में वही प्रेम उँडेल दीजिए — एक सादा दिन भी कुछ कोमल-सा बन जाता है।
Being, before doing	करने से पहले, बस होना
Underneath all the doing, this wisdom points to simply being, resting in the calm that does not depend on getting things done. A few still minutes remind you that you are already enough, exactly as you are.	सारे करने-धरने के नीचे यह समझ बस 'होने' की ओर इशारा करती है — उस शांति में टिक जाना जो काम निपटने पर निर्भर नहीं होती। कुछ ठहरे हुए मिनट याद दिला देते हैं कि आप जैसी हैं, वैसी ही पूरी हैं।
Even days, uneven days	बराबर दिन, ऊबड़-खाबड़ दिन
An idea often drawn from the Gita is to meet the good days and the hard days with the same steady heart. Some days you will glow and some you will ache; both are part of the journey, and neither is the whole of it.	गीता से अक्सर यह बात ली जाती है कि अच्छे दिन और भारी दिन, दोनों को एक-से ठहरे मन से मिलिए। कुछ दिन आप खिली-खिली रहेंगी और कुछ दिन दर्द में — दोनों इसी सफ़र का हिस्सा हैं, और कोई अकेला पूरा सफ़र नहीं है।
The quiet witness	चुपचाप देखने वाला
There is a calm part of you that can simply watch your feelings rise and fall, like watching clouds cross the sky. Returning to that watcher, even for a moment, gives the storms less power over you.	आपके भीतर एक शांत हिस्सा है जो आपकी भावनाओं को उठते-गिरते बस देख सकता है, जैसे आसमान में बादलों को गुज़रते देखना। उस देखने वाले के पास लौट आना, पल भर के लिए भी, तूफ़ानों की ताक़त कम कर देता है।
Each day, an offering	हर दिन, एक भेंट
You can think of a day not as a task to finish but as something to offer, given gently and with care. Even a slow, tired day offered with love is complete in itself.	दिन को निपटाने वाला काम मत समझिए — उसे एक भेंट की तरह देखिए, जो प्रेम से और धीरे से दी जाती है। धीमा और थका हुआ दिन भी, प्रेम से भेंट किया जाए तो अपने आप में पूरा है।
Strength that stays gentle	वह ताक़त जो कोमल बनी रहती है
True strength here is not hardness but a soft, unshakeable steadiness. The way you are carrying so much while still being tender is exactly this kind of quiet power.	यहाँ असली ताक़त कठोरता नहीं, एक नरम और अडिग ठहराव है। आप इतना कुछ उठाए हुए भी जिस तरह कोमल बनी हुई हैं — यही तो वह चुपचाप वाली ताक़त है।
You are more than the tiredness	आप इस थकान से कहीं ज़्यादा हैं
This wisdom reminds us that we are more than our passing states, more than any one heavy day. The exhaustion is real, but it is weather, not who you are.	यह समझ याद दिलाती है कि हम अपनी गुज़रती हुई हालतों से कहीं बड़े हैं, किसी एक भारी दिन से बड़े हैं। थकान सच है, पर वह मौसम है — आप नहीं।
Faith, a little bigger than fear	भरोसा, डर से थोड़ा-सा बड़ा
Where fear says 'what if it goes wrong', this teaching gently answers with trust that you are held and that you will meet what comes. You do not have to feel fearless, only to let faith be a little bigger than the fear.	जहाँ डर कहता है 'अगर कुछ ग़लत हो गया तो', वहाँ यह सीख धीरे से जवाब देती है कि आप सँभाली हुई हैं और जो आएगा, उसे आप निभा लेंगी। आपको निडर होने की ज़रूरत नहीं — बस भरोसे को डर से थोड़ा-सा बड़ा रहने दीजिए।
Love that serves	सेवा करने वाला प्रेम
Caring for another without thought of reward is treasured here, and it is exactly what you are already doing. Every unseen sacrifice for your baby is this kind of quiet, selfless love.	बिना बदले की चाह के किसी का ख़याल रखना यहाँ बहुत ऊँचा माना गया है — और यही तो आप पहले से कर रही हैं। अपने शिशु के लिए किया गया हर वह त्याग, जिसे कोई देखता तक नहीं, इसी चुपचाप, निःस्वार्थ प्रेम का रूप है।
Make your mind a friend	मन को अपना दोस्त बना लीजिए
The mind can be a kind companion or a harsh critic, and much of this wisdom is about choosing the friendlier voice. Speak to yourself the way you would speak to someone you love who is growing a baby.	मन एक नरम साथी भी हो सकता है और कठोर आलोचक भी — और इस समझ का बड़ा हिस्सा यही है कि आप दोस्ताना आवाज़ चुनें। अपने आप से वैसे ही बात कीजिए जैसे आप किसी अपने से करतीं, जो एक बच्चे को पाल रही हो।
Hold the reins loosely	लगाम ढीली रखिए
You can do your best and still hold the outcome with open hands, releasing what was never yours to control. There is a deep relief in that letting-go, especially in the parts of pregnancy you cannot steer.	आप अपनी पूरी कोशिश कर सकती हैं और फिर भी नतीजे को खुली हथेली पर रख सकती हैं — जो कभी आपके बस में था ही नहीं, उसे छोड़ते हुए। इस छोड़ने में गहरी राहत है, ख़ासकर गर्भावस्था के उन हिस्सों में जिन्हें आप मोड़ नहीं सकतीं।
A purpose held lightly	हल्के हाथों से थामा हुआ मक़सद
Having a sense of purpose matters, but holding it lightly keeps it from becoming a burden. Your purpose right now is simply, beautifully, to nurture and to wait.	कोई मक़सद होना मायने रखता है, पर उसे हल्के से थामे रहना उसे बोझ बनने से रोकता है। इस समय आपका मक़सद बस इतना-सा और इतना सुंदर है — पालना और इंतज़ार करना।
The light you already carry	वह रोशनी जो आप पहले से लिए चल रही हैं
A recurring image is of an inner light that no worry can put out, steady beneath the surface. On the dim days, it is still there; you are still carrying it, and so is your baby.	बार-बार लौटने वाली एक छवि है — भीतर की एक लौ, जिसे कोई चिंता बुझा नहीं सकती, जो सतह के नीचे बराबर जलती रहती है। धुँधले दिनों में भी वह वहीं है; आप उसे अब भी लिए चल रही हैं, और आपका शिशु भी।
Ramayan stories, simply retold	रामायण की कहानियाँ, सरल शब्दों में
A bond that travels any distance	वह नाता जो हर दूरी पार कर जाता है
One much-loved story tells of unwavering devotion, a loyal heart that will cross any distance for the people it loves. Retold simply, it is a reminder of how fiercely we can love, and how that love carries us through hard stretches. You already know that love.	एक बहुत प्यारी कथा अटूट भक्ति की बात कहती है — एक ऐसा मन जो अपनों के लिए कोई भी दूरी पार कर जाए। सादे शब्दों में कहें तो यह याद दिलाती है कि हम कितनी गहराई से प्रेम कर सकते हैं, और वही प्रेम हमें कठिन रास्तों से पार ले जाता है। यह प्रेम आप पहले से जानती हैं।
Patience through the hard stretch	कठिन दौर में धीरज
Many of these stories dwell on patience through long, difficult seasons, and the quiet strength it takes to keep going. Pregnancy has its own long stretches. The stories whisper that steadiness, in time, is its own reward.	इनमें से कई कथाएँ लंबे, मुश्किल दौर में निभाए गए धीरज पर ठहरती हैं, और उस चुपचाप वाली ताक़त पर जो चलते रहने में लगती है। गर्भावस्था के भी अपने लंबे दौर होते हैं। ये कथाएँ धीरे से कहती हैं कि ठहराव, समय के साथ, ख़ुद अपना इनाम बन जाता है।
The joy of homecoming	घर लौटने की ख़ुशी
These tales often end in a joyful return, lamps lit and a family made whole again. It is a lovely image to hold onto: the day your little one finally arrives, and your own homecoming into motherhood.	ये कथाएँ अक्सर एक ख़ुशी भरी वापसी पर ख़त्म होती हैं — दीये जलते हैं और परिवार फिर से पूरा हो जाता है। यह छवि मन में रखने लायक़ है: वह दिन जब आपका नन्हा आख़िरकार आएगा, और माँ बनने के घर में आपकी अपनी वापसी होगी।
Family as a circle of care	परिवार, यानी देखभाल का एक घेरा
Running through these stories is the idea of family as a circle that protects and uplifts one another. As you prepare to grow your own circle, it is a gentle nudge to lean on the people around you.	इन कथाओं में एक बात लगातार चलती है — परिवार एक ऐसा घेरा है जो एक-दूसरे को बचाता और उठाता है। जैसे-जैसे आप अपना घेरा बड़ा करने की तैयारी कर रही हैं, यह धीरे से कहती है कि अपने आसपास के लोगों का सहारा लीजिए।
A promise kept	निभाया गया वचन
One thread in these tales is the weight of a promise kept, even when it costs dearly, because one's word is treated as sacred. There is quiet dignity in that, and a reminder that the gentle promises you are already making to your baby matter deeply.	इन कथाओं का एक धागा है निभाए गए वचन का भार — तब भी, जब उसकी क़ीमत बहुत भारी हो, क्योंकि दिया हुआ वचन पवित्र माना गया है। इसमें एक चुपचाप गरिमा है, और यह याद भी कि जो कोमल वादे आप अभी से अपने शिशु से कर रही हैं, वे बहुत मायने रखते हैं।
The bridge of small stones	छोटे-छोटे पत्थरों का पुल
A famous episode tells of a great bridge built across the sea, small stone by small stone, by many willing hands. It is a beautiful image for these months: an enormous thing being built slowly, by small daily acts of love.	एक प्रसिद्ध प्रसंग समुद्र पर बने एक विशाल पुल की बात कहता है — छोटे-छोटे पत्थर, और कई जोड़ी मददगार हाथ। इन महीनों के लिए यह बहुत सुंदर छवि है: एक बहुत बड़ी चीज़, जो रोज़ के छोटे-छोटे प्रेम भरे कामों से धीरे-धीरे बन रही है।
Courage in a small frame	छोटी काया में बड़ा साहस
Some of the most loved figures in these stories are humble and small, yet carry astonishing courage and devotion. It is a comfort that strength is not about size, and that your quiet, steady love is a mighty thing.	इन कथाओं के सबसे प्यारे पात्रों में कुछ सीधे-सादे और छोटे हैं, फिर भी उनमें हैरान कर देने वाला साहस और भक्ति है। यह तसल्ली देता है कि ताक़त आकार से नहीं आती, और आपका चुपचाप, बराबर बना रहने वाला प्रेम बहुत बड़ी चीज़ है।
The long road home	घर तक का लंबा रास्ता
Many of these stories are, at heart, about a long separation and a joyful return home. You are on your own long road toward meeting your baby, and the homecoming at the end of it will be worth every mile.	ये कई कथाएँ, मन से देखें तो, एक लंबे बिछोह और एक ख़ुशी भरी वापसी की ही कहानी हैं। आप भी अपने शिशु से मिलने के अपने लंबे रास्ते पर हैं, और उसके आख़िर में जो मिलन है, वह हर क़दम के लायक़ होगा।
Loyalty that does not waver	वह निष्ठा जो डगमगाती नहीं
Unshakeable loyalty, standing by loved ones through every hardship, runs through these tales. It mirrors the fierce, unwavering bond already forming between you and the little one you have not yet met.	हर मुश्किल में अपनों के साथ खड़े रहने वाली अटूट निष्ठा इन कथाओं में हर जगह है। वह उसी गहरे, अडिग नाते जैसी है जो अभी से आपके और उस नन्हे के बीच बन रहा है, जिससे आप अब तक मिली भी नहीं।
Choosing the harder right	मुश्किल सही रास्ता चुनना
Again and again, characters choose the harder right thing over the easier wrong one. As you step into parenthood, those small honest choices, made with love, become the ground your child will stand on.	बार-बार, पात्र आसान ग़लत के बजाय मुश्किल सही को चुनते हैं। जैसे-जैसे आप माता-पिता बनने की ओर बढ़ रही हैं, प्रेम से लिए गए वे छोटे-छोटे सच्चे फ़ैसले ही वह ज़मीन बनते हैं जिस पर आपका बच्चा खड़ा होगा।
Hope in a quiet garden	एक शांत बग़ीचे में बची हुई उम्मीद
In one part of the story, hope is kept alive through a long, lonely wait in a faraway garden. It is a tender reminder that even in slow, hard stretches, hope can be quietly tended and kept warm.	कथा के एक हिस्से में उम्मीद एक दूर के बग़ीचे में, लंबे और अकेले इंतज़ार के बीच ज़िंदा रखी जाती है। यह कोमल-सी याद है कि धीमे और कठिन दौर में भी उम्मीद को चुपचाप सींचा और गरम रखा जा सकता है।
Standing together	साथ खड़े रहना
Bonds between brothers and companions, choosing to share each other's burdens, shine through these stories. As your family grows, it is a gentle nudge to let the people who love you carry some of the weight with you.	भाइयों और साथियों के बीच का नाता, और एक-दूसरे का बोझ बाँट लेने का चुनाव — यह इन कथाओं में चमकता है। जैसे-जैसे आपका परिवार बढ़ रहा है, यह धीरे से कहता है कि जो लोग आपसे प्रेम करते हैं, उन्हें कुछ भार उठाने दीजिए।
Strength offered in service	सेवा में दी गई ताक़त
Some characters find their greatest strength simply in serving the people they love, asking nothing back. The care you are giving now, unseen and tireless, is that same quiet strength.	कुछ पात्रों को अपनी सबसे बड़ी ताक़त बस अपनों की सेवा में मिलती है, बिना कुछ माँगे। जो देखभाल आप अभी दे रही हैं — बिना थके, और बिना किसी के देखे — वही चुपचाप वाली ताक़त है।
Grace in the simple years	सादे बरसों में भी सुंदरता
A long stretch of the story unfolds in the forest, in a plainer, simpler life, and grace is found even there. It is a kind reminder that the slow, quiet seasons of pregnancy can hold their own gentle beauty.	कथा का एक लंबा हिस्सा वन में बीतता है, एक सादे और सीधे जीवन में — और वहाँ भी सुंदरता मिल जाती है। यह नरम-सी याद है कि गर्भावस्था के धीमे, शांत दिनों में भी अपनी एक कोमल सुंदरता होती है।
Held in the heart	दिल में सँभाला हुआ
Devotion in these tales is often shown as simply holding a loved one in your heart, no matter the distance. You are already doing this, carrying your baby not only in your body, but in your heart, all day long.	इन कथाओं में भक्ति अक्सर इतनी-सी है — अपने किसी प्रिय को दिल में सँभाले रखना, दूरी चाहे कितनी भी हो। यह तो आप कर ही रही हैं: अपने शिशु को सिर्फ़ शरीर में नहीं, दिन भर अपने दिल में लिए घूमती हैं।
Going beyond what was asked	जितना कहा गया, उससे कहीं ज़्यादा
In one beloved moment, a devoted helper, asked to bring one small thing, lovingly brings far more than needed. Love does that, it overflows the task, and you will feel it overflow when you meet your child.	एक बहुत प्यारे प्रसंग में एक भक्त सेवक से एक छोटी-सी चीज़ लाने को कहा जाता है, और वह प्रेम में कहीं ज़्यादा ले आता है। प्रेम ऐसा ही करता है — वह काम की सीमा से छलक जाता है, और जब आप अपने बच्चे से मिलेंगी, आप उसे छलकते हुए महसूस करेंगी।
A light that leads the way	राह दिखाती एक रोशनी
Faith in these stories is often a steady light that guides through dark and uncertain paths. On the uncertain nights of pregnancy, you can let your own quiet faith be that small, leading light.	इन कथाओं में भरोसा अक्सर एक स्थिर रोशनी की तरह है, जो अँधेरे और अनजाने रास्तों से पार ले जाती है। गर्भावस्था की अनिश्चित रातों में आप अपने चुपचाप भरोसे को वही छोटी-सी, राह दिखाती लौ बनने दे सकती हैं।
A family made whole	फिर से पूरा हुआ परिवार
The story's heart is a family torn apart and lovingly made whole again. Soon your own family will gain a new member, and a wholeness you have been waiting for will arrive.	कथा का दिल यही है — एक परिवार जो बिखरता है और फिर प्रेम से पूरा हो जाता है। जल्द ही आपके अपने परिवार में एक नया सदस्य जुड़ेगा, और वह पूरापन आएगा जिसका आप इंतज़ार कर रही हैं।
Gentleness is not weakness	कोमलता कमज़ोरी नहीं है
Many of the most admired figures pair great strength with great gentleness. It is a lovely model for motherhood, where tenderness and strength turn out to be the very same thing.	इनमें सबसे सराहे गए कई पात्रों में बड़ी ताक़त और बड़ी कोमलता, दोनों साथ हैं। माँ बनने के लिए यह बहुत सुंदर मिसाल है, जहाँ नरमी और ताक़त आख़िर में एक ही चीज़ निकलती हैं।
Keeping the lamp lit	दीया जलता रखना
Through long, dark passages of these tales, someone always keeps a small lamp of hope burning. Whatever this stretch of your journey feels like, you can keep your own lamp lit, one day at a time.	इन कथाओं के लंबे, अँधेरे हिस्सों में कोई न कोई उम्मीद का एक छोटा दीया जलाए रखता है। आपके सफ़र का यह हिस्सा जैसा भी लगे, आप अपना दीया जलाए रख सकती हैं — एक दिन, फिर एक दिन।
The meaning behind common mantras	जाने-पहचाने मंत्रों के पीछे का भाव
The calm of a single sound	एक अकेली ध्वनि का सुकून
The sound often written as 'Om' is described by many as a gentle hum, a way to settle the mind and breath. You do not need to chant anything; simply breathing slowly and evenly can bring the same quiet that your baby feels too.	जिस ध्वनि को अक्सर 'ओम' लिखा जाता है, उसे बहुत लोग एक कोमल गुंजन की तरह बताते हैं — मन और साँस को थाम लेने का एक तरीक़ा। आपको कुछ जपना ज़रूरी नहीं; धीरे और बराबर साँस लेना भी वही सुकून ले आता है, जिसे आपका शिशु भी महसूस करता है।
A wish for peace	शांति की एक कामना
Many simple chants are, at heart, just a repeated wish for peace, for yourself, your family, and all beings. You can make that wish in your own words, in any language, and it counts all the same.	कई सीधे-सादे जाप, मन से देखें तो, बस शांति की बार-बार दोहराई गई कामना हैं — अपने लिए, अपने परिवार के लिए, और सब के लिए। वही कामना आप अपने शब्दों में, किसी भी भाषा में कर सकती हैं — बात उतनी ही सच्ची रहती है।
Light over darkness	अँधेरे पर रोशनी
A recurring idea is moving from darkness toward light, from worry toward clarity and hope. Lighting a small lamp, or simply turning your thoughts to something hopeful, echoes that gentle intention.	एक बात बार-बार लौटती है — अँधेरे से रोशनी की ओर बढ़ना, चिंता से साफ़ मन और उम्मीद की ओर। एक छोटा दीया जला लेना, या बस अपने विचारों को किसी उम्मीद भरी बात की ओर मोड़ लेना, उसी कोमल भाव को दोहराता है।
Gratitude as a daily note	रोज़ की एक कृतज्ञता
Underneath much of this is gratitude, pausing to be thankful for the ordinary good in a day. A single grateful thought before sleep is a small, real practice anyone can keep.	इस सब के नीचे कृतज्ञता है — दिन की साधारण अच्छाइयों के लिए पल भर रुककर शुक्रिया कहना। सोने से पहले एक अकेला आभार भरा ख़याल भी एक छोटा, सच्चा अभ्यास है जिसे कोई भी निभा सकता है।
Repetition that soothes	दोहराव जो सुकून देता है
Much of the calm in chanting comes simply from gentle repetition, the way a soft, repeated sound settles a restless mind. You can find the same ease in any phrase you love, said slowly a few times over.	जाप का बहुत-सा सुकून बस कोमल दोहराव से आता है — जैसे कोई नरम, बार-बार आती आवाज़ बेचैन मन को बिठा देती है। वही आसानी आपको किसी भी प्यारी पंक्ति में मिल सकती है, जिसे आप धीरे-धीरे कुछ बार दोहरा लें।
An anchor word	एक टिकने वाला शब्द
Many chants give the mind a single word to return to whenever it wanders. Choosing your own quiet word, 'calm', 'safe', 'love', and coming back to it can steady a racing afternoon.	कई जाप मन को एक ही शब्द देते हैं, जिस पर वह भटकने के बाद लौट आए। अपना कोई शांत शब्द चुन लेना — 'शांति', 'सुरक्षित', 'प्रेम' — और बार-बार उसी पर लौट आना, एक भागती हुई दोपहर को थाम सकता है।
Breath as the simplest chant	साँस, सबसे सरल जाप
Before any words, there is the breath, and slow even breathing is itself a kind of wordless mantra. Lengthening your out-breath a little is one of the gentlest ways to share calm with your baby.	शब्दों से पहले साँस है, और धीमी, बराबर साँस अपने आप में एक बिना शब्दों वाला मंत्र है। साँस छोड़ने को थोड़ा लंबा कर देना, अपने शिशु के साथ शांति बाँटने के सबसे कोमल तरीक़ों में से एक है।
A wish for all to be well	सब का भला हो, यही कामना
At their core, many chants are a wide, open wish for peace and wellbeing for everyone. Sending that kind thought out, to your family, your baby, yourself, is a small, warm practice anyone can keep.	गहराई में देखें तो कई जाप एक चौड़ी, खुली कामना हैं — सब के लिए शांति और भलाई की। वह प्यारा ख़याल बाहर भेजना — अपने परिवार को, अपने शिशु को, ख़ुद को — एक छोटा, गरम-सा अभ्यास है जिसे कोई भी निभा सकता है।
Protection, wished gently	रक्षा की कोमल कामना
Some chants carry the feeling of wrapping a loved one in protection and good will. Whatever your beliefs, silently wishing your baby safety and warmth is a tender thing to do.	कुछ जापों में यह भाव होता है, मानो किसी अपने को रक्षा और शुभकामना की चादर में लपेट दिया जाए। आपकी आस्था जो भी हो, चुपचाप अपने शिशु के लिए सुरक्षा और गर्माहट की कामना करना बहुत कोमल बात है।
The heart over the syllables	अक्षरों से ऊपर, मन
It is widely felt that the sincerity behind a chant matters far more than getting the sounds exactly right. So you can let go of doing it 'properly' and simply mean what you say.	यह बात आम तौर पर मानी जाती है कि जाप के पीछे की सच्चाई, ध्वनियों को बिल्कुल ठीक बोलने से कहीं ज़्यादा मायने रखती है। तो 'सही तरीक़े' से करने की चिंता छोड़ दीजिए और बस वही कहिए जो आप सच में महसूस करती हैं।
A wish for healing	आराम की एक कामना
Many gentle chants hold the hope of healing and ease for body and mind. Resting a hand on your bump and quietly wishing comfort for both of you carries that same intention.	कई कोमल जापों में शरीर और मन के लिए आराम और चैन की उम्मीद बसी होती है। पेट पर हाथ रखकर चुपचाप आप दोनों के लिए सुकून की कामना करना, वही भाव लिए हुए है।
Naming your thanks	अपने शुक्रिया को नाम देना
Some find that softly naming what they are grateful for works like a mantra of its own. 'Thank you for this kick, this day, this little life' is a chant the heart understands.	कुछ लोगों को लगता है कि जिन चीज़ों के लिए वे आभारी हैं, उन्हें धीरे से नाम दे देना अपने आप में एक मंत्र जैसा काम करता है। 'इस लात के लिए, इस दिन के लिए, इस नन्ही ज़िंदगी के लिए शुक्रिया' — यह वह जाप है जिसे दिल समझ लेता है।
A hum your baby feels	एक गुंजन, जिसे आपका शिशु महसूस करता है
A low, steady hum can be felt as much as heard, and your baby is close enough to feel the gentle vibration of your voice. Humming a tune you love is a simple, lovely way to be near.	धीमा, बराबर गुनगुनाना सुनाई देने से ज़्यादा महसूस होता है, और आपका शिशु इतने पास है कि आपकी आवाज़ की कोमल थरथराहट को महसूस कर लेता है। कोई पसंदीदा धुन गुनगुनाना, पास होने का बहुत सादा और प्यारा तरीक़ा है।
Steadiness in rhythm	लय में बसा ठहराव
Part of why rhythmic sound calms us is that a steady beat tells the body it is safe to settle. Rocking gently, breathing in time, or repeating a soft phrase all tap into that same steadiness.	लय वाली आवाज़ हमें इसलिए भी शांत करती है क्योंकि एक बराबर ताल शरीर को बता देती है कि अब बैठ जाना सुरक्षित है। धीरे-धीरे झूलना, ताल में साँस लेना, या कोई नरम पंक्ति दोहराना — सब उसी ठहराव को छूते हैं।
A small prayer for safe arrival	सुरक्षित आगमन की एक छोटी प्रार्थना
Many quietly repeat a short wish for a safe and gentle birth. You can shape your own, just a sentence, and return to it whenever worry about the day ahead creeps in.	बहुत लोग चुपचाप एक छोटी-सी कामना दोहराते हैं — सुरक्षित और कोमल जन्म की। आप अपनी कामना ख़ुद गढ़ सकती हैं, बस एक वाक्य, और जब भी आने वाले दिन की चिंता घेरे, उसी पर लौट आइए।
Releasing on the out-breath	साँस छोड़ते हुए छोड़ देना
A simple practice is to let each out-breath carry a little tension away with it. You might silently say 'I let this go' as you exhale, softening your shoulders and your mind.	एक सादा अभ्यास यह है कि हर बार साँस छोड़ते हुए थोड़ा-सा तनाव भी साथ बह जाने दें। साँस छोड़ते हुए आप मन ही मन कह सकती हैं, 'यह मैं छोड़ती हूँ' — और अपने कंधे और अपना मन ढीला होने दीजिए।
Calling on quiet courage	चुपचाप वाली हिम्मत को बुलाना
Some chants are meant to gather courage before something hard. Before a scan or an appointment, a few slow breaths and a steadying word of your own can do the same.	कुछ जाप किसी कठिन काम से पहले हिम्मत जुटाने के लिए होते हैं। किसी स्कैन या डॉक्टर की मुलाक़ात से पहले, कुछ धीमी साँसें और अपना एक थामने वाला शब्द भी वही काम कर देते हैं।
Welcoming ease	आसानी का स्वागत
Other gentle chants are about inviting ease and abundance into one's life. You might simply, sincerely, invite ease into these months, into your body, your home, your heart.	कुछ और कोमल जाप जीवन में आसानी और भरपूरी को बुलाने के बारे में हैं। आप भी सीधे-सादे मन से इन महीनों में आसानी को बुला सकती हैं — अपने शरीर में, अपने घर में, अपने दिल में।
Quiet over volume	ऊँची आवाज़ नहीं, ठहराव
It is the stillness a chant creates, not its loudness, that does the soothing. Even a single word said almost silently, with full attention, can settle you.	सुकून जाप की ऊँची आवाज़ से नहीं, उससे बनने वाले ठहराव से आता है। पूरे ध्यान से कहा गया एक अकेला शब्द, चाहे लगभग चुपचाप ही क्यों न हो, आपको बिठा सकता है।
Your own words always count	आपके अपने शब्द हमेशा गिने जाते हैं
There is no special language required for any of this; a heartfelt wish in your own tongue is just as real. Speak to your baby, or to the quiet, however feels natural to you.	इसके लिए किसी ख़ास भाषा की ज़रूरत नहीं है; अपनी ही ज़ुबान में दिल से निकली कामना उतनी ही सच्ची है। अपने शिशु से बात कीजिए, या उस ख़ामोशी से — जैसे आपको सहज लगे।
Festivals & rituals	त्योहार और रीति-रिवाज
A gathering to bless the mother	माँ को आशीर्वाद देने वाला एक जमावड़ा
Families often hold a warm gathering in later pregnancy to bless and pamper the mother-to-be, with sweets, bangles and good wishes all around. Beyond the ritual, it is a way of saying: you are loved, and you are not doing this alone.	गर्भावस्था के आख़िरी महीनों में परिवार अक्सर एक गरमाहट भरा जमावड़ा करते हैं, जिसमें होने वाली माँ को आशीर्वाद और लाड़ मिलता है — मिठाई, चूड़ियाँ और चारों ओर से शुभकामनाएँ। रीति-रिवाज से परे, यह कहने का एक तरीक़ा है: आप प्यारी हैं, और आप यह सब अकेले नहीं कर रहीं।
Lighting a lamp	एक दीया जलाना
