lib/screens/week_flow_screen.dart	4632	4658		What's happening this week	Is hafte kya ho raha hai
lib/screens/week_flow_screen.dart	18107	18329		As your bump grows, resting on your side - a pillow tucked between your knees helps - keeps blood flowing well to baby. If you wake on your back, don't worry; just settle gently onto your side again.	Bump badhne ke saath, karwat par aaram karna - ghutno ke beech takiya rakhne se aaram milta hai - baby tak khoon achhe se pahunchata hai. Agar peeth ke bal jaag jaayein to ghabraayein nahi; dheere se phir karwat le lein.
lib/screens/week_flow_screen.dart	18657	18838		A short walk or some prenatal stretches can lift your mood, boost your energy and ease swelling. There's no need to push - listen to your body and rest whenever you need to.	Choti si tehel ya prenatal stretches aapka mood, urja badha sakti hain aur soojan kam karti hain. Zor lagane ki zaroorat nahi - apne sharir ki sunein aur jab chahein aaram karein.
lib/screens/week_flow_screen.dart	20796	20867		You've reached the midpoint and may feel the first flutters.	Aap aadhe raaste par hain aur pehli harkatein mehsoos kar sakti hain.
lib/screens/week_flow_screen.dart	22206	22352		The tiny bones in baby's ears are in place, so baby can hear your voice and heartbeat. Talk, hum and sing to your bump - it's wonderful early bonding.	Baby ke kaano ki nanhi haddiyan ban gayi hain, isliye baby aapki awaaz aur dhadkan sun sakta hai. Bump se baat karein, gungunaayein aur gaayein.
lib/screens/week_flow_screen.dart	22760	22883		Baby's taste buds are working and it swallows amniotic fluid daily, getting a hint of what you eat - variety now may shape later tastes.	Baby ki swaad-kaliyan kaam kar rahi hain aur woh roz amniotic fluid nigalta hai - variety aage chal kar swaad banati hai.
lib/screens/week_flow_screen.dart	23226	23333		Baby's face is fully formed and the senses of touch and sight are developing quickly.	Baby ka chehra poori tarah ban gaya hai aur chhoo-ne aur dekhne ki indriyaan tezi se viksit ho rahi hain.
lib/screens/week_flow_screen.dart	24050	24120		A major milestone - baby's lungs start developing surfactant.	Ek bada padaav - baby ke phephde surfactant banana shuru karte hain.
lib/screens/week_flow_screen.dart	25073	25143		Baby's eyes start to open and can blink.	Baby ki aankhein khulna shuru hoti hain aur palak jhapak sakti hain.
lib/screens/week_flow_screen.dart	26311	26431		Welcome to the third trimester. Baby's eyes can open and close, and your appointments will start coming more often.	Teesri trimester mein swaagat hai. Baby ki aankhein khul-band ho sakti hain, aur appointments zyada baar hone lagengi.
lib/screens/week_flow_screen.dart	26787	26884		Baby's muscles and lungs are maturing and movements feel stronger and more defined.	Baby ki maaspeshiyan aur phephde pak rahe hain aur harkatein zyada mazboot aur saaf lagti hain.
lib/screens/week_flow_screen.dart	27056	27103		Baby's brain is developing rapidly now.	Baby ka dimaag ab tezi se viksit ho raha hai.
lib/screens/week_flow_screen.dart	27262	27401		Baby's brain is growing quickly, forming the grooves and folds that support learning, and can regulate temperature a little.	Baby ka dimaag tezi se badh raha hai, seekhne mein madad karne wali silvatein ban-ti hain, aur woh tapmaan thoda niyantrit kar sakta hai.
lib/screens/week_flow_screen.dart	27774	27880		Baby 'practises' breathing by moving the diaphragm, getting the lungs ready for that first breath.	Baby diaphragm hila kar saans ki "practice" karta hai, pehli saans ke liye phephdon ko taiyar karta hai.
lib/screens/week_flow_screen.dart	28497	28552		Baby's pupils react to light now.	Baby ki aankh ki putli ab roshni par react karti hai.
lib/screens/week_flow_screen.dart	28694	28793		Baby's pupils can narrow and widen in response to light, and the immune system is getting a boost from you.	Baby ki putli roshni par chhoti-badi ho sakti hai, aur immune system ko aapse boost mil raha hai.
lib/screens/week_flow_screen.dart	29143	29237		Baby's lungs and nervous system are maturing, and the protective vernix coating thickens.	Baby ke phephde aur nervous system pak rahe hain, aur surakshit vernix parat ghani hoti hai.
lib/screens/week_flow_screen.dart	29620	29718		Baby's main development is largely complete; from now the focus is gaining weight and building fat for warmth.	Baby ka mukhya vikas lagbhag poora; ab focus vazan badhane aur garmi ke liye fat banane par hai.
lib/screens/week_flow_screen.dart	30486	30589		At 37 weeks baby is 'early term' - the lungs and brain are nearly ready for life outside the womb.	37 hafte par baby "early term" hai - phephde aur dimaag bahar ki zindagi ke liye lagbhag taiyar hain.
lib/screens/week_flow_screen.dart	30919	31014		Baby's grasp is strong and the organs are ready to function outside the womb - just final touches now.	Baby ki pakad mazboot hai aur organs bahar kaam karne ko taiyar hain - bas aakhri taiyariyan.
lib/screens/week_flow_screen.dart	31745	31853		It's your due date! Remember, only about 1 in 20 babies arrive exactly on it - baby will come when ready.	Aapki due date! Yaad rakhein, sirf 20 mein se 1 baby theek isi din aata hai - baby taiyar hone par aayega.
lib/screens/week_flow_screen.dart	32320	32403		A lovely time to start thinking about your birth plan and hospital bag - no rush.	Birth plan aur hospital bag ke baare mein sochne ka achha samay - koi jaldi nahi.
lib/screens/week_flow_screen.dart	33258	33433		After the ups and downs of the first trimester, your hormones settle into a steadier rhythm. Many women feel a welcome lift in energy and mood - the 'pregnancy glow' often shows up around now.	Pehli trimester ke utaar-chadhaav ke baad hormones sthir ho jaate hain. Kai mahilaon ko urja aur mood mein sudhaar mehsoos hota hai - "pregnancy glow" aksar abhi dikhta hai.
lib/screens/week_flow_screen.dart	34713	34923		Those first movements - called 'quickening' - often arrive around week 20. They can feel like bubbles, a light tap or butterflies, and will be irregular at first. Over the coming weeks they grow stronger and more regular. First-time mums sometimes feel them a little later - perfectly normal.	Pehli harkatein - "quickening" - aksar hafta 20 ke aas-paas aati hain. Yeh bulbule, halki thaap ya titli jaisi lag sakti hain, aur pehle anyamit hoti hain. Aage chal kar yeh mazboot aur niyamit ho jaati hain.
lib/screens/week_flow_screen.dart	36984	37231		You may feel occasional sharp twinges low on the sides of your bump - round-ligament pain - as the ligaments supporting your growing uterus stretch. It's usually brief and harmless; moving slowly helps. Mention anything severe or persistent to your doctor.	Bump ke nichle hisson mein kabhi-kabhi tez khinchaav mehsoos ho sakta hai - round-ligament pain - jab badhte uterus ko sambhalne wale ligaments khinchte hain. Yeh aksar thodi der ka aur harmless hota hai; dheere position badalna madad karta hai.
lib/screens/week_flow_screen.dart	38974	39114		Your baby is about the size of a banana now, can hear your voice, and is starting to move. Here's what's happening this week.	Aapka baby ab lagbhag ek kele jitna hai, aapki awaaz sun sakta hai, aur hilna shuru kar raha hai. Is hafte kya ho raha hai, yahan dekhein.
lib/screens/week_flow_screen.dart	39198	39213		How she's doing	Woh kaisi hai
lib/screens/week_flow_screen.dart	39419	39566		She's in the gentlest stretch of pregnancy - steadier energy, a visible bump, big feelings. Here's how to show up for her this week.	Woh pregnancy ke sabse aaramdeh daur mein hai - sthir energy, dikhta hua bump, gehre jazbaat. Is hafte uske liye kaise saath dein, yahan dekhein.
lib/screens/week_flow_screen.dart	39715	39795		See the scans and check-ups coming up for her - and how to be there for each.	Uske aane wale scans aur check-ups dekhein - aur har ek mein kaise saath dein.
lib/screens/week_flow_screen.dart	40608	40786		Your baby's brain, spinal cord and nervous system are just starting to form, and the cells are multiplying fast. It's all invisible for now, but every day is a big step.	Aapke baby ke brain, spinal cord aur nervous system ki neenv abhi banna shuru hui hai, aur cells tezi se badh rahe hain. Abhi sab chhupa hua hai, par har din ek bada kadam hai.
lib/screens/week_flow_screen.dart	41000	41179		Your baby's heart is beginning to beat this week, while the brain, spinal cord and major organs keep developing fast. Tiny as they are, they're working hard every day.	Is hafte aapke baby ka dil dhadakna shuru ho raha hai, aur brain, spinal cord aur major organs tezi se ban rahe hain. Itne chhote hone par bhi, woh har din mehnat kar rahe hain.
lib/screens/week_flow_screen.dart	41404	41588		Your baby's heart is now beating regularly, the brain is developing fast, and the first hints of eyes, ears and limbs are forming. So many systems are already under construction.	Aapke baby ka dil ab regularly dhadak raha hai, brain tezi se ban raha hai, aur aankhein, kaan aur haath-pair ki pehli jhalak ban rahi hai. Itne saare systems pehle se ban rahe hain.
lib/screens/week_flow_screen.dart	41809	42000		Your baby's brain is growing rapidly, tiny arm and leg buds are appearing, and the eyes, ears and nose are becoming more defined. That little heart is still beating strongly.	Aapke baby ka brain tezi se badh raha hai, chhote haath aur pair ke buds ban rahe hain, aur aankhein, kaan aur naak saaf hoti ja rahi hain. Woh nanha dil ab bhi mazbooti se dhadak raha hai.
lib/screens/week_flow_screen.dart	42239	42426		Your baby's fingers and toes are starting to form, the little face is becoming more recognisable, and all the major organs have begun developing. The groundwork for the next stage is in place.	Aapke baby ke haath-pair ki ungliyaan banna shuru ho rahi hain, nanha chehra zyada saaf dikhne laga hai, aur saare major organs develop hone lage hain. Agle stage ki neev ab taiyar hai.
lib/screens/week_flow_screen.dart	42644	42831		Your baby's arms and legs are getting longer, the joints are forming, and the first small movements are beginning. The heart now has all four chambers and is working hard.	Aapke baby ke haath-pair lambe ho rahe hain, joints ban rahe hain, aur pehli chhoti harkatein shuru ho rahi hain. Dil ab chaaron chambers ke saath ban chuka hai aur mehnat kar raha hai.
lib/screens/week_flow_screen.dart	43081	43292		Your baby's fingers and toes are separating, the jaw and face are taking shape, and the brain is building millions of new connections. There are tiny movements now - still far too small for her to feel.	Aapke baby ki ungliyaan aur pair alag ho rahe hain, jaw aur chehra ban raha hai, aur brain laakhon nayi connections bana raha hai. Ab nanhi harkatein bhi hoti hain - abhi itni chhoti ki use mehsoos nahi hotin.
lib/screens/week_flow_screen.dart	43536	43753		Your baby's fingers and toes are fully separated now, the bones are starting to harden, and there's stretching, kicking and moving inside that tiny world. The little face grows clearer by the day.	Aapke baby ki ungliyaan ab poori tarah alag ho gayi hain, haddiyan mazboot honi shuru ho rahi hain, aur woh apni chhoti duniya mein stretch, kick aur move kar raha hai. Nanha chehra din-ba-din saaf hota ja raha hai.
lib/screens/week_flow_screen.dart	43970	44154		Most of your baby's major organs have formed and are starting to work. There's arm and leg movement, tiny fingers opening and closing, and reflexes developing every day.	Aapke baby ke zyadatar major organs ban chuke hain aur kaam karne lage hain. Haath-pair hilte hain, nanhi ungliyaan khulti-bandh hoti hain, aur reflexes har din develop ho rahe hain.
lib/screens/week_flow_screen.dart	44373	44550		Your baby's vocal cords are forming, fingerprints are starting to develop, and the bones keep getting stronger. There's plenty of free movement inside that tiny world now.	Aapke baby ke vocal cords ban rahe hain, fingerprints develop hone lage hain, aur haddiyan aur mazboot ho rahi hain. Ab us chhoti duniya mein khoob aazaadi se harkat hoti hai.
lib/screens/week_flow_screen.dart	44763	44945		Your baby's facial muscles are developing enough for tiny expressions, the neck is getting stronger, and for the first time the body is growing faster than the head.	Aapke baby ki chehre ki muscles itni develop ho gayi hain ki nanhe expressions ban-ne lage hain, gardan mazboot ho rahi hai, aur pehli baar body sar se zyada tezi se badh raha hai.
lib/screens/week_flow_screen.dart	45179	45388		Your baby's muscles and bones are getting stronger, with smoother movements of the arms, legs and joints. The ears are developing too, getting ready to hear the world in the weeks ahead.	Aapke baby ki muscles aur haddiyan mazboot ho rahi hain, aur haath, pair aur joints ki harkatein zyada smooth ho gayi hain. Kaan bhi develop ho rahe hain, aane wale hafton mein duniya sunne ki taiyaari mein.
lib/screens/week_flow_screen.dart	45608	45784		Your baby's bones are hardening, the muscles are getting stronger, and the ears are developing fast - soon there'll be the first responses to sounds from the outside world.	Aapke baby ki haddiyan mazboot ho rahi hain, muscles strong ho rahe hain, aur kaan tezi se develop ho rahe hain - jald hi bahar ki duniya ki aawaazon par pehli react dikhegi.
lib/screens/week_flow_screen.dart	46008	46199		Your baby's skeleton is turning from soft cartilage into stronger bone, the muscles are growing more powerful, and there's lots of practising of the movements that help growth.	Aapke baby ka skeleton naram cartilage se mazboot haddi mein badal raha hai, muscles aur powerful ho rahi hain, aur woh aisi movements practice kar raha hai jo growth mein madad karti hain.
lib/screens/week_flow_screen.dart	46437	46630		Your baby's ears are developing fast and the brain is making millions of new connections. Arm and leg movements are more controlled now, and the nervous system is getting more sophisticated.	Aapke baby ke kaan tezi se develop ho rahe hain aur brain laakhon naye connections bana raha hai. Haath-pair ab zyada control ke saath hilte hain, aur nervous system aur advanced ho raha hai.
lib/screens/week_flow_screen.dart	46877	47077		Your baby's brain keeps developing fast, the senses are sharpening, and a protective coating called vernix is forming on the skin. The arms and legs are stronger, and there's more activity than ever.	Aapke baby ka brain tezi se develop ho raha hai, senses aur sharp ho rahe hain, aur skin par vernix naam ki protective coating ban rahi hai. Haath-pair mazboot hain, aur pehle se zyada activity hai.
lib/screens/week_flow_screen.dart	47337	47535		Your baby's taste buds are developing, more amniotic fluid is being swallowed, and the movements are getting stronger and better coordinated. The brain keeps making millions of new connections.	Aapke baby ke taste buds develop ho rahe hain, woh zyada amniotic fluid nigal raha hai, aur harkatein mazboot aur zyada coordinated ho rahi hain. Brain laakhon naye connections banata ja raha hai.
lib/screens/week_flow_screen.dart	47768	47964		Your baby's hearing is developing fast - picking up her heartbeat, voices (yours included) and even some sounds from outside the womb. That little brain is busy learning from all of it.	Aapke baby ki hearing tezi se develop ho rahi hai - uski dil ki dhadkan, awaazein (aapki bhi) aur womb ke bahar ki kuch aawaazein bhi sun raha hai. Woh nanha brain in sab se seekhta ja raha hai.
lib/screens/week_flow_screen.dart	48233	48483		Your baby's brain is developing at an incredible pace - new connections forming every second, laying the groundwork for learning, memory and movement. The hearing keeps improving, and familiar sounds are being recognised.	Aapke baby ka brain zabardast raftaar se develop ho raha hai - har second naye connections ban rahe hain, jo seekhne, yaad rakhne aur movement ki neenv banate hain. Hearing behtar ho rahi hai, aur jaani-pehchaani aawazein pehchaani jaane lagi hain.
lib/screens/week_flow_screen.dart	48731	48933		Your baby's hearing is getting sharper, the brain keeps building new pathways, and regular periods of sleep and activity are starting to form. The lungs are continuing their important development too.	Aapke baby ki hearing aur sharp ho rahi hai, brain naye rastey banata ja raha hai, aur sone-jaagne ke regular periods ban-ne lage hain. Lungs bhi apna important development safar jaari rakhe hue hain.
lib/screens/week_flow_screen.dart	49162	49348		Your baby's hearing is getting more refined and there are responses to the sounds around now. The brain keeps developing fast, and the movements are stronger and better coordinated.	Aapke baby ki hearing aur refined ho rahi hai aur ab aas-paas ki aawaazon par react hota hai. Brain tezi se develop ho raha hai, aur harkatein aur mazboot aur coordinated ho rahi hain.
lib/screens/week_flow_screen.dart	49577	49759		Your baby's eyes are starting to open, the hearing keeps improving, and the brain is developing rapidly. There are responses now to sounds, movement and changes in the surroundings.	Aapke baby ki aankhein khulna shuru ho rahi hain, hearing behtar ho rahi hai, aur brain tezi se develop ho raha hai. Ab aawazon, movement aur maahaul ke badlaav par react hota hai.
lib/screens/week_flow_screen.dart	49977	50172		Your baby's brain, lungs and nervous system keep maturing fast. There's practising of breathing movements, eyes opening and closing, and a little more strength every day.	Aapke baby ka brain, lungs aur nervous system tezi se mature ho rahe hain. Breathing movements ki practice ho rahi hai, aankhein khulti-bandh hoti hain, aur har din thodi aur mazbooti aati hai.
lib/screens/week_flow_screen.dart	50378	50586		Your baby can open and close those eyes now, blink and respond to light. The brain is developing fast, and the lungs keep preparing for life outside the womb.	Aapka baby ab aankhein khol-band kar sakta hai, blink kar sakta hai aur roshni par react karta hai. Brain tezi se develop ho raha hai, aur lungs womb ke bahar ki zindagi ke liye taiyaari karte ja rahe hain.
lib/screens/week_flow_screen.dart	50803	50984		Your baby is building fat under the skin, strengthening those muscles, and maturing the lungs and brain. The movements are getting more powerful with every passing week.	Aapka baby skin ke neeche fat bana raha hai, muscles mazboot kar raha hai, aur lungs aur brain ko mature kar raha hai. Har hafte ke saath harkatein aur powerful hoti ja rahi hain.
lib/screens/week_flow_screen.dart	51188	51374		Your baby's brain is developing new folds and connections, the lungs keep maturing, and body fat is building up - the kind that helps keep warm after birth.	Aapke baby ke brain mein naye folds aur connections ban rahe hain, lungs mature hote ja rahe hain, aur body fat badh raha hai - wahi jo birth ke baad garam rakhne mein madad karta hai.
lib/screens/week_flow_screen.dart	51595	51785		Your baby is gaining body fat, building muscle, and maturing the lungs and brain. The movements are stronger than ever, even as space inside starts to feel a little tighter.	Aapka baby body fat badha raha hai, muscles bana raha hai, aur lungs aur brain ko mature kar raha hai. Andar jagah thodi tang hone lagi hai, phir bhi harkatein pehle se zyada mazboot hain.
lib/screens/week_flow_screen.dart	52017	52241		Your baby is practising breathing movements, sleeping in cycles, and maturing the lungs and nervous system. The body is storing up the nutrients and energy needed for life after birth.	Aapka baby saans lene ki movements practice kar raha hai, cycles mein so raha hai, aur lungs aur nervous system ko mature kar raha hai. Body janam ke baad ki zindagi ke liye zaroori nutrients aur energy store kar raha hai.
lib/screens/week_flow_screen.dart	52470	52677		Your baby's brain and lungs keep maturing, and antibodies are passing across from her - protection that will help after birth. There's more fat and a little more strength every day.	Aapke baby ke brain aur lungs mature hote ja rahe hain, aur uss se antibodies baby tak pahunch rahi hain - jo birth ke baad raksha mein madad karengi. Har din thoda aur fat aur thodi aur mazbooti aati hai.
lib/screens/week_flow_screen.dart	52919	53151		Your baby's lungs keep maturing, the brain is developing fast, and body fat is building to help with temperature after birth. Most of the systems are now getting ready for life outside the womb.	Aapke baby ke lungs mature hote ja rahe hain, brain tezi se develop ho raha hai, aur body fat badh raha hai jo birth ke baad temperature mein madad karega. Zyadatar systems ab womb ke bahar ki zindagi ke liye taiyaar ho rahe hain.
lib/screens/week_flow_screen.dart	53399	53634		Your baby's lungs are nearly mature, the brain keeps developing fast, and body fat is building every day. Around this stage many babies begin settling into a head-down position, ready for the way out.	Aapke baby ke lungs lagbhag mature ho chuke hain, brain tezi se develop hota ja raha hai, aur har din body fat badh raha hai. Is stage ke aas-paas kai babies head-down position mein settle hone lagte hain, bahar aane ke liye taiyaar.
lib/screens/week_flow_screen.dart	53864	54078		Your baby's lungs are almost fully mature, the brain keeps developing fast, and the reflexes for after birth - sucking, grasping - are being practised. Nearly ready to meet you both.	Aapke baby ke lungs lagbhag poori tarah mature ho chuke hain, brain tezi se develop hota ja raha hai, aur birth ke baad ke reflexes - chusna, pakadna - practice ho rahe hain. Aap dono se milne ke lagbhag taiyaar.
lib/screens/week_flow_screen.dart	54351	54591		Your baby's lungs are ready for life outside the womb, the brain keeps developing, and the reflexes for after birth are being practised. Most of the growth now is about gaining strength and storing energy - full-term is here.	Aapke baby ke lungs womb ke bahar ki zindagi ke liye taiyaar hain, brain develop hota rehta hai, aur birth ke baad ke reflexes practice ho rahe hain. Ab zyadatar growth taakat banane aur energy store karne par hai - full-term aa gaya hai.
lib/screens/week_flow_screen.dart	54829	55034		Your baby's lungs are ready, the brain is still developing fast, and strength and energy reserves keep building. Most of the work now is simply getting ready for birth and the world outside.	Aapke baby ke lungs taiyaar hain, brain abhi bhi tezi se develop ho raha hai, aur taakat aur energy reserves banti ja rahi hain. Ab zyadatar kaam bas janam aur bahar ki duniya ke liye taiyaari karna hai.
lib/screens/week_flow_screen.dart	55272	55478		Your baby's lungs are ready for that first breath, the reflexes are developed, and small reserves of fat and energy keep building. Most of the work now is simply waiting for labour to begin.	Aapke baby ke lungs pehli saans ke liye taiyaar hain, reflexes develop ho chuke hain, aur fat aur energy ke chote reserves banti ja rahi hain. Ab zyadatar kaam bas labour shuru hone ka intezaar karna hai.
lib/screens/week_flow_screen.dart	55747	55989		Your baby's lungs are ready for that first breath, and the heart, brain and body are all prepared for life outside the womb. Right now, your baby is just waiting for the perfect moment to begin the journey into your arms.	Aapke baby ke lungs pehli saans ke liye taiyaar hain, aur dil, brain aur body sab womb ke bahar ki zindagi ke liye taiyaar hain. Abhi, aapka baby bas us perfect pal ka intezaar kar raha hai jab woh aapki baahon mein apna safar shuru karega.
lib/screens/week_flow_screen.dart	56239	56396		Excitement, disbelief and a little anxiety are probably arriving all at once as she takes in the news. A calm, steady you helps more than you'd think.	News ko samajhte hue excitement, yakeen na hona aur thodi anxiety shayad ek saath aa rahe hain. Aapka shaant aur sthir hona socha se zyada madad karta hai.
lib/screens/week_flow_screen.dart	56585	56748		She may swing between excitement, joy, disbelief and worry through the day. None of it needs fixing - just let her know you're in it together.	Din bhar woh excitement, khushi, yakeen na hona aur fikr ke beech jhool sakti hai. Inhe theek karne ki zaroorat nahi - bas use ehsaas dilayein ki aap saath hain.
lib/screens/week_flow_screen.dart	56942	57095		She might feel excited one moment and wiped out the next - the ups and downs are normal this week. Picking up a few chores quietly goes a long way.	Kabhi woh excited feel karegi, agle hi pal thaki hui - is hafte yeh utaar-chadhaav normal hai. Chupchaap kuch kaam sambhaal lena bahut madad karta hai.
lib/screens/week_flow_screen.dart	57311	57477		She may feel excited one moment and worried the next - those swings are a normal part of early pregnancy. Patience and a listening ear are the best things you can offer.	Kabhi woh excited, to agle pal pareshaan - early pregnancy mein yeh utaar-chadhaav normal hai. Sabra aur dhyaan se sunna sabse achhi cheez hai jo aap de sakte hain.
lib/screens/week_flow_screen.dart	57669	57833		With her first big scan coming up, she's probably feeling a mix of excitement and uncertainty. Offer to go with her - it helps to have you there.	Pehla bada scan paas aate hue, woh shayad excitement aur uncertainty dono mehsoos kar rahi hai. Saath jaane ki peshkash karein - aapka wahan hona madad karta hai.
lib/screens/week_flow_screen.dart	58025	58191		She may feel more connected to the pregnancy now, even while wondering what's ahead. Small check-ins - 'how are you feeling today?' - mean a lot.	Ab woh pregnancy se zyada juda mehsoos kar sakti hai, bhale hi aage kya hoga yeh soch rahi ho. Chhote sawaal - 'aaj kaisa lag raha hai?' - bahut maayne rakhte hain.
lib/screens/week_flow_screen.dart	58404	58589		She may feel closer to the pregnancy while still carrying some uncertainty about the future. Just being someone she can talk it through with helps settle the nerves.	Woh pregnancy se zyada juda mehsoos kar sakti hai, par future ko le kar thodi uncertainty bhi reh sakti hai. Bas aisa koi hona jisse woh baat kar sake, ghabraahat ko shaant karta hai.
lib/screens/week_flow_screen.dart	58798	58985		She may feel more confident than a few weeks ago, though the odd worry is still completely normal. Keep reassuring her - and keep showing up at the appointments.	Kuch hafte pehle ke mukable woh zyada confident mehsoos kar sakti hai, par kabhi-kabhi fikr hona bilkul normal hai. Use bharosa dilaate rahein - aur appointments mein saath aate rahein.
lib/screens/week_flow_screen.dart	59213	59417		Reaching the end of the first trimester, she may feel relief, gratitude and fresh confidence. A lovely moment to celebrate together - you've come through the hardest early stretch.	Pehle trimester ke ant tak pahunchte hue, woh rahat, kritagyata aur naya confidence mehsoos kar sakti hai. Yeh saath jashn manane ka pyaara pal hai - aap sabse mushkil shuruaati daur paar kar aaye hain.
