Christianity	ईसाई धर्म
Grace, unearned kindness, is a thread here, meeting you exactly where you are. On the days you feel you fell short, grace says you are still enough.	कृपा — बिना कमाए मिली करुणा — यहाँ एक धागे की तरह चलती है, और आपसे वहीं आकर मिलती है जहाँ आप हैं। जिन दिनों लगे कि आप कम पड़ गईं, कृपा कहती है कि आप फिर भी पूरी हैं।
Gratitude after good news	अच्छी ख़बर के बाद की कृतज्ञता
A reassuring scan or appointment is a natural moment to pause and give thanks. Letting relief become gratitude makes the joy land fully.	तसल्ली देने वाला कोई scan या डॉक्टर से मुलाक़ात — रुककर धन्यवाद कहने का सहज पल है। राहत को कृतज्ञता बन जाने दीजिए, ख़ुशी तब पूरी तरह उतरती है।
A quiet trust	एक चुपचाप भरोसा
Underneath the planning, many rest in a quiet trust that they are cared for. That trust can soften even the unknown parts of birth.	सारी तैयारी के नीचे बहुत से लोग एक चुपचाप भरोसे पर टिके रहते हैं — कि उनका ध्यान रखा जा रहा है। यही भरोसा जन्म के अनजाने हिस्सों को भी नरम कर देता है।
A prayer at day's end	दिन ढलते वक़्त की प्रार्थना
Closing the day with a few honest words settles the heart for sleep. Name one good thing, hand over the rest, and rest.	दिन को कुछ सच्चे शब्दों के साथ बंद कीजिए — मन नींद के लिए बैठ जाता है। एक अच्छी बात का नाम लीजिए, बाक़ी सौंप दीजिए, और सो जाइए।
Bring it all, just as it is	जो है, जैसा है, वैसा ही ले आइए
Whatever is on your heart, joy, fear, or a long list of worries, can be brought to prayer exactly as it is. You do not have to tidy yourself up first.	मन पर जो भी है — ख़ुशी, डर, या चिंताओं की लंबी सूची — प्रार्थना में वैसे ही लाया जा सकता है, जैसा है। पहले ख़ुद को सँवारकर आने की कोई ज़रूरत नहीं।
Parables, simply retold	दृष्टांत, सरल शब्दों में
Sought and cherished	ढूँढ़ा गया, और सहेजा गया
One much-loved story tells of a shepherd who searches tirelessly for a single lost lamb, a picture of how deeply each one matters. Retold simply, it is a reminder that your little one is treasured beyond counting.	एक बहुत प्यारी कहानी है — एक गड़रिया, जो एक खोए हुए मेमने को बिना थके ढूँढ़ता रहता है; यह दिखाने के लिए कि हर एक कितना मायने रखता है। सीधे शब्दों में कहें तो यह याद दिलाती है कि आपका नन्हा गिनती से परे क़ीमती है।
Small beginnings, great growth	छोटी शुरुआत, बड़ा बढ़ना
Another favourite likens faith to a tiny seed that grows into something far larger than itself. It is a lovely image for the small cluster of cells now becoming your child.	एक और प्यारा दृष्टांत आस्था को एक नन्हे बीज जैसा बताता है, जो अपने से कहीं बड़ा कुछ बन जाता है। कोशिकाओं का वह नन्हा-सा गुच्छा, जो अभी आपका बच्चा बन रहा है, उसके लिए यह कितनी सुंदर तस्वीर है।
Kindness to a stranger	किसी अनजान पर की गई दया
A well-known story praises the one who stops to help a stranger in need, simply out of compassion. Its quiet lesson, that kindness asks no questions, is a gentle one to raise a child by.	एक जानी-पहचानी कहानी उसकी सराहना करती है जो सिर्फ़ करुणा से रुककर एक अनजान ज़रूरतमंद की मदद करता है। इसकी चुपचाप सीख — कि दया सवाल नहीं पूछती — बच्चे को पालने के लिए बहुत कोमल सीख है।
A joyful welcome home	घर लौटने पर ख़ुशी भरा स्वागत
One story tells of a parent who runs to welcome a child home with open arms and no conditions. That picture of unconditional welcome is the very love you are already growing.	एक कहानी है — एक पिता, जो अपने बच्चे को घर लौटता देख दौड़कर बाँहें फैला देते हैं, बिना किसी शर्त के। बिना शर्त स्वागत की यह तस्वीर वही प्यार है जो आपके भीतर पहले से पल रहा है।
Building on something steady	मज़बूत नींव पर बनाना
A short tale contrasts a house built on rock with one built on sand, the value of steady foundations. Calm habits and good support are the rock you are building your family on.	एक छोटी कहानी चट्टान पर बने घर और रेत पर बने घर की तुलना करती है — मज़बूत नींव की क़ीमत बताने के लिए। शांत आदतें और अच्छा साथ ही वह चट्टान है जिस पर आप अपना परिवार बना रही हैं।
The one that mattered	वह एक, जो मायने रखता था
A loved story tells of a shepherd searching tirelessly for a single lost lamb. Retold simply, it is a reminder that your little one is treasured beyond counting.	एक प्यारी कहानी है — एक गड़रिया, जो एक खोए हुए मेमने को बिना थके ढूँढ़ता रहता है। सीधे शब्दों में, यह याद दिलाती है कि आपका नन्हा गिनती से परे क़ीमती है।
A tiny seed	एक नन्हा बीज
Another likens growth to a tiny seed becoming something far larger than itself. It is a lovely image for the small beginning now becoming your child.	एक और दृष्टांत बढ़ने को एक नन्हे बीज जैसा बताता है, जो अपने से कहीं बड़ा कुछ बन जाता है। जो छोटी-सी शुरुआत अभी आपका बच्चा बन रही है, उसके लिए यह कितनी सुंदर तस्वीर है।
Help for a stranger	एक अनजान की मदद
A well-known tale praises the one who stops to help a stranger out of pure compassion. Its lesson, that kindness asks no questions, is a gentle one to raise a child by.	एक जानी-पहचानी कहानी उसकी सराहना करती है जो सिर्फ़ करुणा से रुककर एक अनजान की मदद करता है। इसकी सीख — कि दया सवाल नहीं पूछती — बच्चे को पालने के लिए बहुत कोमल सीख है।
Run to welcome	दौड़कर गले लगाना
One story shows a parent running to welcome a child home with open arms and no conditions. That picture of unconditional welcome is the love you are already growing.	एक कहानी में एक पिता अपने बच्चे को घर लौटता देख दौड़ पड़ते हैं, बाँहें फैलाए, बिना किसी शर्त के। बिना शर्त स्वागत की यह तस्वीर वही प्यार है जो आपके भीतर पहले से पल रहा है।
Built on rock	चट्टान पर बना
A short tale weighs a house on rock against one on sand, the worth of steady foundations. Calm habits and good support are the rock under your new family.	एक छोटी कहानी चट्टान पर बने घर को रेत पर बने घर के सामने रखती है — मज़बूत नींव की क़ीमत बताने के लिए। शांत आदतें और अच्छा साथ ही आपके नए परिवार के नीचे की चट्टान हैं।
A lamp set high	ऊँचाई पर रखा दीया
One image speaks of a lamp not hidden but set where it gives light to all. The warmth and goodness you carry is meant to be shared, not tucked away.	एक तस्वीर ऐसे दीये की बात करती है जिसे छिपाया नहीं जाता, बल्कि वहाँ रखा जाता है जहाँ से सबको रोशनी मिले। जो गर्माहट और भलाई आपके भीतर है, वह बाँटने के लिए है, छिपाकर रखने के लिए नहीं।
Good soil	अच्छी मिट्टी
A story of a sower notes how the same seed flourishes in cared-for soil. Tending your own peace and health prepares good ground for your baby.	बीज बोने वाले की एक कहानी बताती है कि वही बीज सँभाली हुई मिट्टी में लहलहा उठता है। अपनी शांति और सेहत का ध्यान रखना आपके शिशु के लिए अच्छी ज़मीन तैयार करना है।
Treasure worth everything	वह ख़ज़ाना, जिसके आगे सब कम है
A brief tale tells of treasure so precious one gives all to keep it. Your child is exactly that kind of treasure to you.	एक छोटी कहानी ऐसे ख़ज़ाने की है जो इतना क़ीमती है कि उसे पाने के लिए इंसान सब कुछ दे देता है। आपका बच्चा आपके लिए ठीक वैसा ही ख़ज़ाना है।
A coin found	खोया सिक्का मिल जाना
One story tells of a woman searching her whole house for a single lost coin, then rejoicing when it is found. It is a picture of how one small life can be worth a wholehearted search and a great gladness.	एक कहानी में एक औरत अपना पूरा घर छान मारती है, एक खोए हुए सिक्के के लिए — और मिल जाने पर ख़ुशी से भर उठती है। यह तस्वीर बताती है कि एक छोटी-सी जान भी पूरे मन की खोज और बड़ी ख़ुशी के क़ाबिल होती है।
Two builders	दो कारीगर
The tale of the wise and foolish builders gently asks what we build upon. Building on patience and love steadies whatever weather comes.	समझदार और नादान कारीगरों की कहानी धीरे से पूछती है — हम किस चीज़ पर बना रहे हैं? धीरज और प्यार पर बनाया गया घर हर मौसम में टिका रहता है।
Gifts meant to be used	जो मिला है, वह काम आने के लिए है
A story encourages using whatever gifts you are given rather than burying them. The love and care you have to give, you are already putting to beautiful use.	एक कहानी कहती है कि जो भी क़ाबिलियत आपको मिली है, उसे गाड़कर मत रखिए, काम में लाइए। जो प्यार और देखभाल आपके पास देने को है, उसे तो आप पहले से ही बहुत सुंदर तरीक़े से काम में ला रही हैं।
Faith like a child	बच्चे जैसा भरोसा
A tender theme honours the simple, trusting heart of a child. Your baby will teach you that kind of open trust all over again.	एक कोमल भाव बच्चे के सीधे, भरोसा करने वाले मन को सराहता है। आपका शिशु आपको वैसा खुला भरोसा फिर से सिखाएगा।
Branches and vine	बेल और उसकी शाखाएँ
One image pictures branches drawing life from the vine they are joined to. Staying close to what nourishes you keeps you steady and growing.	एक तस्वीर ऐसी शाखाओं की है जो अपनी बेल से जुड़ी रहकर जीवन खींचती हैं। जो चीज़ें आपको पोसती हैं, उनके पास बने रहिए — आप टिकी भी रहेंगी और बढ़ती भी।
A little light	एक नन्ही रोशनी
A recurring picture is of a small light shining in a dark place. On uncertain nights, your quiet hope can be that small, steady light.	बार-बार लौटकर आने वाली एक तस्वीर है — अँधेरी जगह में जलती एक छोटी-सी रोशनी। जिन रातों में आगे का कुछ साफ़ न दिखे, आपकी चुपचाप उम्मीद ही वह छोटी, टिकी हुई रोशनी है।
Welcomed like a child	बच्चों-सा स्वागत
One gentle moment shows children being welcomed warmly and held close. Your child is arriving into exactly that kind of welcome.	एक कोमल पल में बच्चों को गर्मजोशी से बुलाया जाता है और गोद में ले लिया जाता है। आपका बच्चा ठीक वैसे ही स्वागत में आ रहा है।
Figures of faith	आस्था की मिसालें
A mother's quiet yes	एक माँ की चुपचाप हामी
A figure often reflected on is a young mother who said yes to an unknown, life-changing journey with quiet courage. Every mother's yes to this path carries that same brave tenderness.	जिन पर लोग अक्सर मनन करते हैं, उनमें एक युवा माँ हैं — जिन्होंने चुपचाप हिम्मत के साथ एक अनजान, ज़िंदगी बदल देने वाले सफ़र को हाँ कही। इस राह पर हर माँ की हाँ में वही बहादुर कोमलता होती है।
Treasuring small moments	छोटे-छोटे पलों को सहेजना
Stories tell of a mother who quietly treasured and pondered the small moments of her child's life. It is a sweet invitation to savour the little wonders, the first flutter, the first scan.	कहानियाँ एक ऐसी माँ की बात करती हैं जो अपने बच्चे के जीवन के छोटे-छोटे पलों को चुपचाप सहेजती और उन पर सोचती रहीं। यह एक मीठा न्योता है — नन्हे करिश्मों को जी भरकर महसूस करने का: पहली हलचल, पहला scan।
Faithful through waiting	इंतज़ार में भी टिका भरोसा
Many honoured figures are remembered for their patience through long waiting. Pregnancy has its own waiting, and steadiness through it is its own kind of faith.	बहुत से आदरणीय लोग लंबे इंतज़ार में अपने धीरज के लिए याद किए जाते हैं। गर्भावस्था का अपना इंतज़ार है, और उसमें टिके रहना अपने आप में एक तरह की आस्था है।
Caring hands	सँभालने वाले हाथ
Tradition is full of people remembered for their gentle, practical care of others. The hands that help you now, and the hands you will offer your child, carry that same goodness.	इस परंपरा में ऐसे लोग भरे पड़े हैं जो दूसरों की कोमल, काम आने वाली देखभाल के लिए याद किए जाते हैं। जो हाथ आज आपकी मदद कर रहे हैं, और जो हाथ आप अपने बच्चे को देंगी — दोनों में वही भलाई है।
Welcoming children	बच्चों का स्वागत
A tender theme is the special welcome given to children, the sense that they belong close and matter immensely. Your child is arriving into exactly that kind of welcome.	एक कोमल भाव है — बच्चों को दिया जाने वाला ख़ास स्वागत, यह एहसास कि उनकी जगह बिलकुल पास है और वे बेहद मायने रखते हैं। आपका बच्चा ठीक वैसे ही स्वागत में आ रहा है।
A brave yes	एक बहादुर हाँ
A figure often reflected on is a young mother who said yes to an unknown, life-changing path with quiet courage. Every mother's yes carries that same brave tenderness.	जिन पर लोग अक्सर मनन करते हैं, उनमें एक युवा माँ हैं — जिन्होंने चुपचाप हिम्मत के साथ एक अनजान, ज़िंदगी बदल देने वाली राह को हाँ कही। हर माँ की हाँ में वही बहादुर कोमलता होती है।
Treasuring small wonders	नन्हे करिश्मों को सहेजना
Stories tell of a mother who quietly pondered and treasured the small moments of her child's life. It is a sweet invitation to savour the little wonders you are noticing now.	कहानियाँ एक ऐसी माँ की बात करती हैं जो अपने बच्चे के जीवन के छोटे-छोटे पलों पर चुपचाप सोचती और उन्हें सहेजती रहीं। यह एक मीठा न्योता है — आज आप जो नन्हे करिश्मे देख रही हैं, उन्हें जी भरकर महसूस करने का।
Steady through the wait	इंतज़ार में टिके रहना
Many honoured figures are remembered for patience through long waiting. Steadiness through pregnancy's wait is its own quiet faith.	बहुत से आदरणीय लोग लंबे इंतज़ार के धीरज के लिए याद किए जाते हैं। गर्भावस्था के इंतज़ार में टिके रहना अपने आप में एक चुपचाप आस्था है।
Gentle, practical care	कोमल, काम आने वाली देखभाल
Tradition is full of people remembered for their humble, hands-on care of others. The hands that help you now carry that same goodness.	इस परंपरा में ऐसे लोग भरे पड़े हैं जो बिना दिखावे के, हाथ बँटाकर दूसरों की देखभाल करने के लिए याद किए जाते हैं। जो हाथ आज आपकी मदद कर रहे हैं, उनमें वही भलाई है।
Children welcomed close	बच्चे, पास बुलाए गए
A tender theme is the warm welcome given to children, the sense that they belong near and matter immensely. Your child is arriving into that welcome.	एक कोमल भाव है — बच्चों को दिया जाने वाला गर्मजोशी भरा स्वागत, यह एहसास कि उनकी जगह पास ही है और वे बेहद मायने रखते हैं। आपका बच्चा उसी स्वागत में आ रहा है।
Two expectant mothers	दो होने वाली माएँ
One warm story tells of two expectant mothers meeting and rejoicing together. It is a lovely picture of how shared joy lightens the wait.	एक गर्मजोशी भरी कहानी है — दो होने वाली माएँ मिलती हैं और साथ मिलकर ख़ुश होती हैं। यह कितनी सुंदर तस्वीर है कि बाँटी हुई ख़ुशी इंतज़ार को हल्का कर देती है।
A quiet, steady father	एक चुपचाप, टिका हुआ पिता
Some figures are remembered not for words but for steady, protective care. The calm, dependable love around you now is its own kind of faith.	कुछ लोग शब्दों के लिए नहीं, अपनी टिकी हुई, सँभालने वाली देखभाल के लिए याद किए जाते हैं। आज आपके आसपास जो शांत, भरोसे वाला प्यार है, वह अपने आप में एक तरह की आस्था है।
Courage in the unknown	अनजाने रास्ते पर हिम्मत
Many remembered figures stepped into uncertain futures with trust rather than certainty. You are doing the same brave thing, day by day.	याद किए जाने वाले बहुत से लोग अनिश्चित भविष्य में भरोसे के साथ उतरे, पक्के यक़ीन के साथ नहीं। आप भी वही बहादुरी कर रही हैं — एक-एक दिन करके।
Perseverance	डटे रहना
Stories honour those who kept going through long, hard seasons. Your perseverance through these months is quietly heroic too.	कहानियाँ उन्हें सराहती हैं जो लंबे, कठिन दौर में भी चलते रहे। इन महीनों में आपका डटे रहना भी चुपचाप एक बहादुरी है।
Hospitality remembered	जिनकी मेहमाननवाज़ी याद रह गई
Some are remembered simply for opening their homes and hearts. The welcome you are preparing for your baby is that same warmth.	कुछ लोग बस इसलिए याद रहते हैं कि उन्होंने अपने घर और दिल खोल दिए। जो स्वागत आप अपने शिशु के लिए तैयार कर रही हैं, उसमें वही गर्माहट है।
Gentleness as greatness	कोमलता ही बड़प्पन
Many honoured figures paired strength with great gentleness. It is a lovely model for motherhood, where tenderness and strength are the same thing.	बहुत से आदरणीय लोगों में ताक़त और गहरी कोमलता साथ-साथ रहीं। माँ बनने के लिए यह कितनी सुंदर मिसाल है, जहाँ नरमी और ताक़त एक ही चीज़ हैं।
Joy at a birth	जन्म की ख़ुशी
Stories often surround a birth with wonder and rejoicing. The joy gathering around your own coming arrival is part of that ancient gladness.	कहानियाँ अक्सर किसी जन्म को अचरज और उत्सव से घेर देती हैं। आपके आने वाले नन्हे के चारों ओर जो ख़ुशी जुट रही है, वह उसी पुरानी ख़ुशी का हिस्सा है।
Trusting the unseen	जो दिखता नहीं, उस पर भरोसा
Faithful figures are remembered for trusting what they could not yet see. On the days the future feels foggy, that kind of trust can steady you.	आस्था वाले लोग इसलिए याद रहते हैं कि उन्होंने उस पर भरोसा किया जो अभी दिख नहीं रहा था। जिन दिनों आगे का रास्ता धुँधला लगे, वैसा भरोसा आपको थाम लेता है।
Caring for the vulnerable	कमज़ोर की देखभाल
A recurring honour goes to those who cared for the small and the weak. In welcoming a tiny, dependent baby, you join that gentle tradition.	बार-बार उन्हीं को आदर मिलता है जिन्होंने छोटों और कमज़ोरों का ध्यान रखा। एक नन्हे, आप पर निर्भर शिशु का स्वागत करके आप उसी कोमल परंपरा में शामिल हो रही हैं।
Ordinary people, quiet faith	आम लोग, चुपचाप आस्था
Many remembered figures were ordinary people living with quiet faith. Your own ordinary, faithful days are part of the same story.	याद किए जाने वाले बहुत से लोग आम लोग ही थे, जो चुपचाप अपनी आस्था के साथ जीते रहे। आपके अपने आम, भरोसे से भरे दिन भी उसी कहानी का हिस्सा हैं।
Blessings for mother & baby	माँ और शिशु के लिए आशीर्वाद
A blessing over you	आप पर बरसता आशीर्वाद
Families often speak blessings over an expectant mother, simple wishes for safety, peace and joy. To be wished well, sincerely, is a quiet comfort worth receiving.	परिवार अक्सर होने वाली माँ पर आशीर्वाद कहते हैं — सुरक्षा, शांति और ख़ुशी की सीधी-सी दुआएँ। कोई सच्चे मन से आपका भला चाहे — यह एक चुपचाप तसल्ली है, इसे लेने में मत हिचकिए।
Welcomed with love	प्यार से किया गया स्वागत
Many later welcome a baby with a blessing or christening, a celebration of the child joining the family in love. The heart of it is belonging.	बहुत से लोग बाद में शिशु का स्वागत किसी आशीर्वाद या बपतिस्मा की रस्म से करते हैं — इस बात का उत्सव कि बच्चा प्यार के साथ परिवार में शामिल हुआ। इस सबका दिल एक ही बात है: अपनापन।
Held by community	समुदाय की गोद में
Church and community often surround new parents with practical help and encouragement. Letting yourself be carried a little is part of the gift.	चर्च और आसपास के लोग अक्सर नए माता-पिता को असली मदद और हौसले से घेर लेते हैं। थोड़ा-सा सहारा ले लेना भी इसी उपहार का हिस्सा है।
A new light	एक नई रोशनी
A new child is often spoken of as a light coming into the family. You are, gently, carrying a new light toward the world.	नए बच्चे को अक्सर परिवार में आती एक रोशनी कहा जाता है। आप धीरे-धीरे एक नई रोशनी दुनिया की ओर लिए चल रही हैं।
Gratitude and belonging	कृतज्ञता और अपनापन
The thread through all of it is gratitude and belonging: this child is wanted, loved and home. That truth is worth resting in.	इस सबसे होकर एक ही धागा गुज़रता है — कृतज्ञता और अपनापन: यह बच्चा चाहा गया है, प्यारा है, और अपने घर आ रहा है। इस सच पर टिककर बैठा जा सकता है।
Wished well	भला चाहा गया
Families often speak simple blessings over an expectant mother, wishes for safety, peace and joy. To be sincerely wished well is a quiet comfort worth receiving.	परिवार अक्सर होने वाली माँ पर सीधे-सादे आशीर्वाद कहते हैं — सुरक्षा, शांति और ख़ुशी की दुआएँ। कोई सच्चे मन से आपका भला चाहे — यह एक चुपचाप तसल्ली है, इसे ले लीजिए।
Welcomed in love	प्यार में स्वागत
Many later welcome a baby with a blessing or christening, celebrating the child joining the family. The heart of it is belonging.	बहुत से लोग बाद में शिशु का स्वागत किसी आशीर्वाद या बपतिस्मा की रस्म से करते हैं, इस बात का उत्सव करते हुए कि बच्चा परिवार में शामिल हुआ। इस सबका दिल एक ही बात है: अपनापन।
Surrounded by help	मदद से घिरा हुआ
Community often surrounds new parents with practical help and encouragement. Letting yourself be carried a little is part of the gift.	आसपास के लोग अक्सर नए माता-पिता को असली मदद और हौसले से घेर लेते हैं। थोड़ा-सा सहारा ले लेना भी इसी उपहार का हिस्सा है।
A light arriving	आती हुई एक रोशनी
A new child is often spoken of as a light coming into the family. You are gently carrying a new light toward the world.	नए बच्चे को अक्सर परिवार में आती एक रोशनी कहा जाता है। आप धीरे से एक नई रोशनी दुनिया की ओर लिए चल रही हैं।
Wanted and home	चाहा गया, और अपने घर
A recurring comfort is that this child is wanted, loved and already at home in your heart. That belonging begins long before the birth.	बार-बार लौटने वाली एक तसल्ली यह है कि यह बच्चा चाहा गया है, प्यारा है, और आपके दिल में पहले से ही अपने घर है। यह अपनापन जन्म से बहुत पहले शुरू हो जाता है।
Chosen guardians	चुने हुए रखवाले
Naming godparents or special guardians weaves more love around a child. Your baby will have many hearts looking out for them.	गॉडपैरेंट्स या कोई ख़ास रखवाले चुनना बच्चे के चारों ओर और प्यार बुन देता है। आपके शिशु का ध्यान रखने वाले कई दिल होंगे।
A name blessed	नाम पर आशीर्वाद
A child's name is often spoken with a blessing, a hope sent with it. Every time it is said, a good wish goes along.	बच्चे का नाम अक्सर एक आशीर्वाद के साथ लिया जाता है, उसके साथ एक उम्मीद भेजी जाती है। जब-जब वह नाम पुकारा जाता है, एक दुआ साथ चली जाती है।
Praying for a safe arrival	सुरक्षित आगमन की प्रार्थना
Loved ones often pray simply for a safe, gentle birth. Their quiet hopes are gathering around you and your baby.	अपने लोग अक्सर बस इतनी-सी प्रार्थना करते हैं — जन्म सुरक्षित हो, कोमल हो। उनकी चुपचाप दुआएँ आपके और आपके शिशु के चारों ओर जुट रही हैं।
A candle lit	एक जलती मोमबत्ती
Lighting a small candle is a tender way to hold someone in mind with hope. You might light one as you think of your baby.	एक छोटी मोमबत्ती जलाना किसी को उम्मीद के साथ मन में रखने का बहुत कोमल तरीक़ा है। आप भी अपने शिशु को सोचते हुए एक जला सकती हैं।
Gratitude for the gift	उपहार के लिए कृतज्ञता
New life is met with thankfulness for the gift it is. Letting gratitude rise makes the joy fuller.	नए जीवन का स्वागत इस कृतज्ञता से होता है कि वह एक उपहार है। कृतज्ञता को उठने दीजिए — ख़ुशी और भर जाती है।
It takes a village	एक बच्चे को पूरा मोहल्ला पालता है
There is deep wisdom in the idea that a child is raised by a whole community. Letting your village form around you blesses your baby too.	इस बात में गहरी समझ है कि एक बच्चे को पूरा समाज मिलकर पालता है। अपने आसपास वह घेरा बनने दीजिए — उसका आशीर्वाद आपके शिशु तक भी पहुँचता है।
Hopes for the child	बच्चे के लिए उम्मीदें
Blessings often carry hopes for the child's character, kindness, courage, joy. The hopes you hold now are the first of many.	आशीर्वादों में अक्सर बच्चे के स्वभाव की उम्मीदें बँधी होती हैं — दया, हिम्मत, ख़ुशी। आज आपके मन में जो उम्मीदें हैं, वे कई में से पहली हैं।
Peace wished over the home	घर पर शांति की दुआ
Blessings frequently wish peace over the whole household. A calm home is a gift your baby will be born into.	आशीर्वाद अक्सर पूरे घर पर शांति की दुआ देते हैं। एक शांत घर वह उपहार है जिसमें आपका शिशु जन्म लेगा।
Blessed in the waiting	इंतज़ार भी आशीर्वाद में
The waiting itself is sometimes blessed, honoured as sacred rather than just endured. Your patient months are part of the gift.	कभी-कभी इंतज़ार को भी आशीर्वाद दिया जाता है — उसे बस काटने की चीज़ नहीं, पवित्र माना जाता है। आपके ये धीरज भरे महीने भी उसी उपहार का हिस्सा हैं।
Held and not alone	सँभाली हुई, अकेली नहीं
