week4.garbhSanskar.spokenLine	माँ, अब मैं यहाँ हूँ।	Maa, I have arrived.	माँ, मैं आ गया हूँ।
week17.babyDevelopment.whatImDoing	मेरा ढाँचा नरम उपास्थि से बदलकर मज़बूत हड्डी बन रहा है। मेरी मांसपेशियाँ ताक़तवर हो रही हैं और ऐसी हरकतों का अभ्यास चलता रहता है जो मुझे बढ़ने में मदद करेंगी।	My skeleton is changing from soft cartilage into stronger bone. My muscles are becoming more powerful and I am practicing movements that will help me grow and develop.	मेरा ढाँचा नरम उपास्थि से बदलकर मज़बूत हड्डी बन रहा है। मेरी मांसपेशियाँ ताक़तवर हो रही हैं और मैं ऐसी हरकतों का अभ्यास कर रहा हूँ जो मुझे बढ़ने में मदद करेंगी।
week17.garbhSanskar.spokenLine	माँ, हर दिन मुझमें ताक़त आ रही है।	Maa, I am becoming stronger every day.	माँ, मैं हर दिन मज़बूत हो रहा हूँ।
week18.babySnapshot.reveal	माँ, आपकी आवाज़ सुनने और अपने आस-पास की दुनिया से सीखने की तैयारी मेरे भीतर चल रही है।	Maa, I am preparing to hear your voice and learn from the world around me.	माँ, मैं आपकी आवाज़ सुनने और अपने आस-पास की दुनिया से सीखने की तैयारी कर रहा हूँ।
week18.babyDevelopment.whatImDoing	मेरे कान तेज़ी से बन रहे हैं और मेरा दिमाग़ लाखों नए तंत्रिका-जोड़ बना रहा है। अब मेरे हाथ-पैर ज़्यादा क़ाबू से हिलते हैं और मेरा नर्वस सिस्टम और परिपक्व होता जा रहा है।	My ears are developing rapidly and my brain is creating millions of new neural connections. I can move my arms and legs with greater control and my nervous system is becoming more sophisticated.	मेरे कान तेज़ी से बन रहे हैं और मेरा दिमाग़ लाखों नए तंत्रिका-जोड़ बना रहा है। अब मैं अपने हाथ-पैर ज़्यादा क़ाबू से हिला पाता हूँ और मेरा नर्वस सिस्टम और परिपक्व होता जा रहा है।
week18.garbhSanskar.spokenLine	माँ, आपकी आवाज़ सुनने की तैयारी मेरे भीतर चल रही है।	Maa, I am preparing to hear your voice.	माँ, मैं आपकी आवाज़ सुनने की तैयारी कर रहा हूँ।
week19.babySnapshot.reveal	माँ, हर दिन मुझमें ताक़त आ रही है और बाहर की दुनिया के लिए मेरी तैयारी पूरी होती जा रही है।	Maa, I am growing stronger every day and becoming more ready for the world outside.	माँ, मैं हर दिन मज़बूत हो रहा हूँ और बाहर की दुनिया के लिए और तैयार होता जा रहा हूँ।
week19.babyDevelopment.whatImDoing	मेरा दिमाग़ तेज़ी से बनता जा रहा है, मेरी इंद्रियाँ और पैनी हो रही हैं, और मेरी त्वचा पर vernix नाम की एक रक्षा करने वाली परत बनने लगी है। मेरे हाथ-पैर मज़बूत हैं और मेरी हलचल और बढ़ती जा रही है।	My brain is continuing to develop rapidly, my senses are becoming more sophisticated, and a protective coating called vernix is beginning to form on my skin. My arms and legs are stronger, and I am becoming more active.	मेरा दिमाग़ तेज़ी से बनता जा रहा है, मेरी इंद्रियाँ और पैनी हो रही हैं, और मेरी त्वचा पर vernix नाम की एक रक्षा करने वाली परत बनने लगी है। मेरे हाथ-पैर मज़बूत हैं और मैं और सक्रिय होता जा रहा हूँ।
week19.garbhSanskar.spokenLine	माँ, मैं यहाँ सुरक्षित हूँ, और मेरी बढ़त जारी है।	Maa, I am safe and growing.	माँ, मैं सुरक्षित हूँ और बढ़ रहा हूँ।
week20.babyDevelopment.whatImDoing	अब मुझे आवाज़ें सुनाई देती हैं, और मेरे हाथ-पैर सोच-समझकर हिलते हैं। Anomaly scan में डॉक्टर ध्यान से देखेंगे कि मेरी बढ़त और विकास कैसा चल रहा है।	I can hear sounds now, swallow amniotic fluid and move my arms and legs with purpose. During the anomaly scan, doctors will carefully assess how I am growing and developing.	अब मैं आवाज़ें सुन सकता हूँ, और अपने हाथ-पैर सोच-समझकर हिला सकता हूँ। Anomaly scan में डॉक्टर ध्यान से देखेंगे कि मैं कैसे बढ़ रहा हूँ।
week21.babySnapshot.reveal	माँ, हर दिन मुझे नए-नए एहसास हो रहे हैं, और अपने आस-पास की दुनिया मुझे और समझ आ रही है।	Maa, I am discovering new sensations every day and learning more about the world around me.	माँ, मैं हर दिन नए एहसास खोज रहा हूँ और अपने आस-पास की दुनिया को और जान रहा हूँ।
week22.babySnapshot.milestone	मुझे आपकी आवाज़ सुनाई देती है	I Can Hear You	मैं आपको सुन सकता हूँ
week22.babySnapshot.reveal	माँ, अब आप मुझे सुनाई देती हैं। आपकी आवाज़ मेरी सबसे पसंदीदा आवाज़ों में से एक बनती जा रही है।	Maa, I can hear you now. Your voice is becoming one of my favorite sounds.	माँ, अब मैं आपको सुन सकता हूँ। आपकी आवाज़ मेरी सबसे पसंदीदा आवाज़ों में से एक बनती जा रही है।
week22.babyDevelopment.whatImDoing	मेरी सुनने की शक्ति तेज़ी से बन रही है और अब आपकी धड़कन, आपकी आवाज़, और गर्भ के बाहर की कुछ आवाज़ें भी मुझे पहचान में आने लगी हैं। मेरा दिमाग़ इन अनुभवों से लगातार सीख रहा है।	My hearing is developing rapidly and I can now detect sounds such as your heartbeat, your voice and even some noises from outside the womb. My brain is continuing to process and learn from these experiences.	मेरी सुनने की शक्ति तेज़ी से बन रही है और अब मैं आपकी धड़कन, आपकी आवाज़, और गर्भ के बाहर की कुछ आवाज़ें भी पहचान सकता हूँ। मेरा दिमाग़ इन अनुभवों से लगातार सीख रहा है।
week22.garbhSanskar.spokenLine	माँ, अब मुझे आपकी आवाज़ सुनाई देती है।	Maa, I can hear your voice now.	माँ, अब मैं आपकी आवाज़ सुन सकता हूँ।
week23.babyDevelopment.whatImDoing	मेरा दिमाग़ हैरान कर देने वाली रफ़्तार से बन रहा है। हर पल नए तंत्रिका-जोड़ बन रहे हैं, जो सीखने, याद रखने और हिलने-डुलने की नींव तैयार करते हैं। मेरी सुनने की शक्ति बेहतर होती जा रही है और जानी-पहचानी आवाज़ें अब मुझे पहचान में आ जाती हैं।	My brain is developing at an incredible pace. New neural connections are forming every second, helping build the foundation for learning, memory and movement. My hearing continues improving and I can recognize familiar sounds.	मेरा दिमाग़ हैरान कर देने वाली रफ़्तार से बन रहा है। हर पल नए तंत्रिका-जोड़ बन रहे हैं, जो सीखने, याद रखने और हिलने-डुलने की नींव तैयार करते हैं। मेरी सुनने की शक्ति बेहतर होती जा रही है और मैं जानी-पहचानी आवाज़ें पहचान सकता हूँ।
week24.babySnapshot.reveal	माँ, हर दिन मुझमें ताक़त, सजगता और जवाब देने की समझ बढ़ती जा रही है।	Maa, I am becoming stronger, more aware and more responsive every day.	माँ, मैं हर दिन और मज़बूत, और सजग और ज़्यादा प्रतिक्रिया देने वाला होता जा रहा हूँ।
week24.garbhSanskar.spokenLine	माँ, हर दिन मेरी तैयारी और पूरी होती जा रही है।	Maa, every day I am becoming more ready.	माँ, मैं हर दिन और तैयार होता जा रहा हूँ।
week26.babyDevelopment.whatImDoing	मेरी आँखें खुलने लगी हैं, मेरी सुनने की शक्ति बेहतर होती जा रही है और मेरा दिमाग़ तेज़ी से बन रहा है। अब आवाज़ों, हलचल और माहौल के बदलावों पर मेरी प्रतिक्रिया होने लगी है।	My eyes are starting to open, my hearing continues improving and my brain is developing rapidly. I can respond to sounds, movement and changes in my environment.	मेरी आँखें खुलने लगी हैं, मेरी सुनने की शक्ति बेहतर होती जा रही है और मेरा दिमाग़ तेज़ी से बन रहा है। मैं आवाज़ों, हलचल और माहौल के बदलावों पर प्रतिक्रिया दे सकता हूँ।
week27.babyDevelopment.whatImDoing	मेरा दिमाग़, फेफड़े और नर्वस सिस्टम तेज़ी से परिपक्व हो रहे हैं। मेरे भीतर साँस लेने की हरकतों का अभ्यास चल रहा है, मेरी आँखें खुलती-बंद होती रहती हैं, और हर दिन मुझमें ताक़त आ रही है।	My brain, lungs and nervous system continue maturing rapidly. I am practicing breathing movements, opening and closing my eyes, and becoming stronger every day.	मेरा दिमाग़, फेफड़े और नर्वस सिस्टम तेज़ी से परिपक्व हो रहे हैं। मैं साँस लेने की हरकतों का अभ्यास कर रहा हूँ, आँखें खोलता-बंद करता हूँ, और हर दिन मज़बूत हो रहा हूँ।
week28.babyDevelopment.whatImDoing	अब मेरी आँखें खुलती-बंद होती हैं, पलकें झपकती हैं, और रोशनी पर मेरी प्रतिक्रिया भी होती है। मेरा दिमाग़ तेज़ी से बन रहा है और मेरे फेफड़े बाहर की ज़िंदगी की तैयारी करते जा रहे हैं।	I can open and close my eyes, blink and respond to light. My brain is developing rapidly and my lungs continue preparing for life outside the womb.	मैं अपनी आँखें खोल-बंद कर सकता हूँ, पलक झपका सकता हूँ और रोशनी पर प्रतिक्रिया दे सकता हूँ। मेरा दिमाग़ तेज़ी से बन रहा है और मेरे फेफड़े बाहर की ज़िंदगी की तैयारी करते जा रहे हैं।
week29.babySnapshot.reveal	माँ, हर दिन मुझमें ताक़त आ रही है, मेरा शरीर गोल-मटोल हो रहा है, और दुनिया के लिए मेरी तैयारी पूरी होती जा रही है।	Maa, I am growing stronger, rounder and more ready for the world every day.	माँ, मैं हर दिन और मज़बूत, और गोल-मटोल और दुनिया के लिए और तैयार होता जा रहा हूँ।
week29.babyDevelopment.whatImDoing	मेरी त्वचा के नीचे चर्बी जमा हो रही है, मेरी मांसपेशियाँ मज़बूत हो रही हैं, और मेरे फेफड़े और दिमाग़ लगातार परिपक्व हो रहे हैं। बढ़त के साथ मेरी हरकतें और ताक़तवर होती जा रही हैं।	I am building fat under my skin, strengthening my muscles and continuing to mature my lungs and brain. My movements are becoming more powerful as I grow.	मैं अपनी त्वचा के नीचे चर्बी बना रहा हूँ, मांसपेशियाँ मज़बूत कर रहा हूँ, और मेरे फेफड़े और दिमाग़ लगातार परिपक्व हो रहे हैं। बढ़ने के साथ मेरी हरकतें और ताक़तवर होती जा रही हैं।
week29.garbhSanskar.spokenLine	माँ, आपकी दुनिया मुझे अपने ही तरीक़े से महसूस होती है।	Maa, I am experiencing your world in my own way.	माँ, मैं आपकी दुनिया को अपने तरीक़े से महसूस कर रहा हूँ।
week30.babyDevelopment.whatImDoing	मेरे दिमाग़ में नए मोड़ और जोड़ बन रहे हैं, मेरे फेफड़े परिपक्व होते जा रहे हैं, और मेरे शरीर पर वह चर्बी चढ़ रही है जो जन्म के बाद तापमान सँभालने में मदद करेगी।	My brain is developing new folds and connections, my lungs continue maturing and I am gaining body fat that helps regulate temperature after birth.	मेरे दिमाग़ में नए मोड़ और जोड़ बन रहे हैं, मेरे फेफड़े परिपक्व होते जा रहे हैं, और मैं शरीर पर वह चर्बी बना रहा हूँ जो जन्म के बाद तापमान सँभालने में मदद करेगी।
week31.babySnapshot.reveal	माँ, हर दिन मुझमें ताक़त आ रही है, मेरा शरीर गोल-मटोल हो रहा है, और आपसे मिलने की मेरी तैयारी पूरी होती जा रही है।	Maa, I am becoming stronger, rounder and more ready to meet you every day.	माँ, मैं हर दिन और मज़बूत, और गोल-मटोल और आपसे मिलने के लिए और तैयार होता जा रहा हूँ।
week31.babyDevelopment.funFact	अब बहुत से शिशुओं में सोने-जागने का नियमित चक्र बन जाता है — शायद इसीलिए दिन के कुछ ख़ास समय मेरी हलचल ज़्यादा लगती है।	Many babies now have regular sleep and wake cycles, which may explain why I seem active at certain times of the day.	अब बहुत से शिशुओं में सोने-जागने का नियमित चक्र बन जाता है — शायद इसीलिए मैं दिन के कुछ ख़ास समय ज़्यादा सक्रिय लगता हूँ।
week31.garbhSanskar.spokenLine	माँ, मुझमें ताक़त आ रही है और मेरा शरीर गोल-मटोल होता जा रहा है।	Maa, I am becoming stronger and rounder.	माँ, मैं मज़बूत और गोल-मटोल होता जा रहा हूँ।
week32.babySnapshot.reveal	माँ, मेरे भीतर उन हुनरों का अभ्यास चल रहा है जिनकी ज़रूरत हमारे मिलने पर होगी।	Maa, I am practicing the skills I will need when we finally meet.	माँ, मैं उन हुनरों का अभ्यास कर रहा हूँ जिनकी ज़रूरत हमारे मिलने पर होगी।
week32.babyDevelopment.whatImDoing	साँस लेने की हरकतों का मेरा अभ्यास चल रहा है, मेरी नींद अब चक्रों में आती है, और मेरे फेफड़े और नर्वस सिस्टम परिपक्व होते जा रहे हैं। मेरा शरीर जन्म के बाद के लिए ज़रूरी पोषक तत्व और ऊर्जा जमा कर रहा है।	I am practicing breathing movements, sleeping in cycles and continuing to mature my lungs and nervous system. My body is storing important nutrients and energy for life after birth.	मैं साँस लेने की हरकतों का अभ्यास कर रहा हूँ, चक्रों में सो रहा हूँ, और मेरे फेफड़े और नर्वस सिस्टम परिपक्व होते जा रहे हैं। मेरा शरीर जन्म के बाद के लिए ज़रूरी पोषक तत्व और ऊर्जा जमा कर रहा है।
week32.babyDevelopment.funFact	भले ही अभी मेरी साँस हवा में नहीं चलती, फिर भी Amniotic Fluid से साँस लेने की हरकतों का नियमित अभ्यास चलता रहता है।	Although I am not breathing air yet, I regularly practice breathing movements using amniotic fluid.	भले ही मैं अभी हवा में साँस नहीं लेता, फिर भी Amniotic Fluid से साँस लेने की हरकतों का नियमित अभ्यास करता हूँ।
week32.garbhSanskar.spokenLine	माँ, मेरा साँस लेने का अभ्यास चल रहा है।	Maa, I am practicing breathing.	माँ, मैं साँस लेने का अभ्यास कर रहा हूँ।
week33.babyDevelopment.whatImDoing	मेरा दिमाग़ और फेफड़े परिपक्व होते जा रहे हैं, और मुझे आपसे ऐसी एंटीबॉडीज़ मिल रही हैं जो जन्म के बाद मेरी रक्षा करेंगी। मुझ पर चर्बी चढ़ रही है और हर दिन मुझमें ताक़त आ रही है।	My brain and lungs continue maturing, and I am receiving antibodies from you that will help protect me after birth. I am gaining fat and becoming stronger every day.	मेरा दिमाग़ और फेफड़े परिपक्व होते जा रहे हैं, और मुझे आपसे ऐसी एंटीबॉडीज़ मिल रही हैं जो जन्म के बाद मेरी रक्षा करेंगी। मुझ पर चर्बी चढ़ रही है और मैं हर दिन मज़बूत हो रहा हूँ।
week35.babySnapshot.reveal	माँ, उस बड़े दिन के लिए मेरी सबसे सही मुद्रा की तलाश चल रही है। अब हम बहुत क़रीब हैं।	Maa, I'm finding my best position for the big day. We're getting very close now.	माँ, मैं उस बड़े दिन के लिए अपनी सबसे सही मुद्रा ढूँढ रहा हूँ। अब हम बहुत क़रीब हैं।
week35.garbhSanskar.spokenLine	माँ, आपसे मिलने की तैयारी मेरे भीतर चल रही है।	Maa, I am preparing to meet you.	माँ, मैं आपसे मिलने की तैयारी कर रहा हूँ।
week36.babySnapshot.reveal	माँ, मेरी तैयारी चल रही है। जल्द ही हमें एक-दूसरे से मिलने के लिए कल्पना की ज़रूरत नहीं पड़ेगी।	Maa, I am getting ready. Soon we won't need imagination to meet each other.	माँ, मैं तैयार हो रहा हूँ। जल्द ही हमें एक-दूसरे से मिलने के लिए कल्पना की ज़रूरत नहीं पड़ेगी।
week36.babyDevelopment.whatImDoing	मेरे फेफड़े लगभग पूरी तरह परिपक्व हो चुके हैं, मेरा दिमाग़ तेज़ी से बनता जा रहा है, और उन सजगताओं का मेरा अभ्यास चल रहा है जो जन्म के बाद काम आएँगी — जैसे चूसना और पकड़ना।	My lungs are almost fully mature, my brain continues developing rapidly and I am practicing the reflexes I will use after birth, including sucking and grasping.	मेरे फेफड़े लगभग पूरी तरह परिपक्व हो चुके हैं, मेरा दिमाग़ तेज़ी से बनता जा रहा है, और मैं उन सजगताओं का अभ्यास कर रहा हूँ जो जन्म के बाद काम आएँगी — जैसे चूसना और पकड़ना।
week37.babySnapshot.reveal	माँ, अब आधिकारिक रूप से मेरा पूरा समय हो चुका है। जब सही वक़्त आएगा, मैं आपसे मिलने को तैयार हूँ।	Maa, I am officially full term now. Whenever the time is right, I'll be ready to meet you.	माँ, अब मैं आधिकारिक रूप से पूरे समय का हो गया हूँ। जब सही वक़्त आएगा, मैं आपसे मिलने को तैयार हूँ।
week37.babyDevelopment.whatImDoing	मेरे फेफड़े गर्भ के बाहर की ज़िंदगी के लिए तैयार हैं, मेरा दिमाग़ लगातार बन रहा है, और जन्म के बाद काम आने वाली सजगताओं का मेरा अभ्यास चल रहा है। अब मेरा ज़्यादातर विकास ताक़त बढ़ाने और ऊर्जा जमा करने पर है।	My lungs are ready for life outside the womb, my brain continues developing and I am practicing the reflexes I will need after birth. Most of my growth now focuses on gaining strength and storing energy.	मेरे फेफड़े गर्भ के बाहर की ज़िंदगी के लिए तैयार हैं, मेरा दिमाग़ लगातार बन रहा है, और मैं जन्म के बाद काम आने वाली सजगताओं का अभ्यास कर रहा हूँ। अब मेरा ज़्यादातर विकास ताक़त बढ़ाने और ऊर्जा जमा करने पर है।
week38.babyDevelopment.whatImDoing	मेरे फेफड़े तैयार हैं, मेरा दिमाग़ अब भी तेज़ी से बन रहा है, और मुझमें ताक़त व ऊर्जा जमा होती जा रही है। अब मेरा ज़्यादातर काम जन्म और गर्भ के बाहर की ज़िंदगी की तैयारी है।	My lungs are ready, my brain is still developing rapidly and I continue building strength and energy reserves. Most of my work now is preparing for birth and life outside the womb.	मेरे फेफड़े तैयार हैं, मेरा दिमाग़ अब भी तेज़ी से बन रहा है, और मैं ताक़त व ऊर्जा जमा करता जा रहा हूँ। अब मेरा ज़्यादातर काम जन्म और गर्भ के बाहर की ज़िंदगी की तैयारी है।
week39.babyDevelopment.whatImDoing	मेरे फेफड़े पहली साँस के लिए तैयार हैं, मेरी सजगताएँ बन चुकी हैं, और मुझ पर थोड़ी और चर्बी व ऊर्जा जमा हो रही है। अब मेरा ज़्यादातर काम बस प्रसव की शुरुआत का इंतज़ार करना है।	My lungs are ready for my first breath, my reflexes are developed and I continue building small reserves of fat and energy. Most of my work now is waiting for labor to begin.	मेरे फेफड़े पहली साँस के लिए तैयार हैं, मेरी सजगताएँ बन चुकी हैं, और मैं थोड़ी और चर्बी व ऊर्जा जमा कर रहा हूँ। अब मेरा ज़्यादातर काम बस प्रसव की शुरुआत का इंतज़ार करना है।
week40.babyDevelopment.whatImDoing	मेरे फेफड़े पहली साँस के लिए तैयार हैं। मेरा दिल, दिमाग़ और शरीर गर्भ के बाहर की ज़िंदगी के लिए तैयार हैं। अभी मुझे बस उस सही पल का इंतज़ार है, जब आपकी गोद तक का सफ़र शुरू करूँ।	My lungs are ready for my first breath. My heart, brain and body are prepared for life outside the womb. Right now, I am waiting for the perfect moment to begin my journey into your arms.	मेरे फेफड़े पहली साँस के लिए तैयार हैं। मेरा दिल, दिमाग़ और शरीर गर्भ के बाहर की ज़िंदगी के लिए तैयार हैं। अभी मैं बस उस सही पल का इंतज़ार कर रहा हूँ जब आपकी गोद तक का सफ़र शुरू करूँ।
week40.garbhSanskar.spokenLine	माँ, अब आपकी गोद में आने का वक़्त आ गया है।	Maa, now I am coming into your arms.	माँ, अब मैं आपकी गोद में आ रहा हूँ।
