Pineapple	अनानास
Pregnancy lowers your resistance to food-borne infections. Hot, freshly-cooked food from a busy, clean stall is far safer than anything sitting out, raw, or rinsed in tap water.	गर्भावस्था खाने से होने वाले संक्रमणों के प्रति आपकी प्रतिरोधक क्षमता कम कर देती है। किसी व्यस्त, साफ़ ठेले से गरम, ताज़ा बना खाना उस चीज़ से कहीं ज़्यादा सुरक्षित है जो खुली रखी हो, कच्ची हो, या नल के पानी में धुली हो।
The usual culprits are golgappa/pani-puri water, cut fruit, and chutneys made with unfiltered water. Piping-hot tikki or dosa, freshly made, is lower risk.	आम तौर पर गड़बड़ गोलगप्पे/पानी-पूरी के पानी, कटे फल, और बिना छने पानी की चटनी से होती है। एकदम गरम, ताज़ा बनी टिक्की या डोसा में ख़तरा कम है।
pani puri	पानी पूरी
outside food	बाहर का खाना
Honey	शहद
Honey is fine for you during pregnancy.	गर्भावस्था में आपके लिए शहद ठीक है।
The well-known honey caution is for babies under one year, not for mothers. As an adult, your gut handles it normally. (Still mind the sugar.)	शहद को लेकर जो जानी-मानी चेतावनी है वह एक साल से छोटे शिशुओं के लिए है, माँओं के लिए नहीं। एक वयस्क के तौर पर आपका पेट इसे सामान्य रूप से पचाता है। (फिर भी चीनी का ध्यान रखिए।)
Ginger	अदरक
Ginger in food and tea amounts is fine and can ease nausea.	खाने और चाय जितनी मात्रा में अदरक ठीक है और मतली कम कर सकता है।
Ginger is one of the better-studied natural remedies for morning sickness. Cooking-and-tea quantities are considered safe; very large supplement doses are not needed.	सुबह की मतली के लिए अदरक उन क़ुदरती उपायों में है जिन पर सबसे ज़्यादा अध्ययन हुआ है। खाने और चाय की मात्रा सुरक्षित मानी जाती है; सप्लीमेंट की बहुत बड़ी ख़ुराक की ज़रूरत नहीं।
Adrak in chai or a little ginger-honey water is a gentle, traditional way to settle queasiness.	चाय में अदरक या थोड़ा अदरक-शहद का पानी जी मिचलाना शांत करने का एक सौम्य, पारंपरिक तरीक़ा है।
Up to about one cup a day (under ~200mg caffeine) is generally considered okay.	दिन में लगभग एक कप तक (~200mg caffeine से कम) आम तौर पर ठीक माना जाता है।
The usual guidance is to keep total caffeine under roughly 200mg a day. Remember it adds up across coffee, tea, cola and chocolate - not coffee alone.	आम सलाह है कि कुल caffeine दिन में लगभग 200mg से कम रखें। याद रखिए यह कॉफ़ी, चाय, कोला और चॉकलेट सब मिलाकर जुड़ता है — सिर्फ़ कॉफ़ी नहीं।
Many mothers naturally go off coffee in the first trimester - listen to that.	कई माँओं का पहली तिमाही में अपने आप कॉफ़ी से मन हट जाता है — उसे सुनिए।
A strong South-Indian filter coffee can be higher in caffeine than you think - one a day is a reasonable ceiling.	एक तेज़ दक्षिण-भारतीय फ़िल्टर कॉफ़ी में आपकी सोच से ज़्यादा caffeine हो सकता है — दिन में एक ठीक हद है।
filter coffee	फ़िल्टर कॉफ़ी
Tea / Chai	चाय
Regular tea in moderation is fine - just mind the caffeine total.	सामान्य चाय सीमित मात्रा में ठीक है — बस कुल caffeine का ध्यान रखिए।
Tea has less caffeine than coffee but still counts towards your ~200mg daily limit. Two to three cups of normal chai is generally considered reasonable.	चाय में कॉफ़ी से कम caffeine होता है पर यह भी आपकी ~200mg की रोज़ की सीमा में गिना जाता है। दो से तीन कप सामान्य चाय आम तौर पर ठीक मानी जाती है।
Doodh-wali chai counts too. Some herbal teas are not recommended in pregnancy, so check before switching to a new one.	दूध वाली चाय भी गिनी जाती है। कुछ herbal चाय गर्भावस्था में सुझाई नहीं जातीं, इसलिए कोई नई चाय शुरू करने से पहले जाँच लीजिए।
doodh tea	दूध वाली चाय
Green Tea	ग्रीन टी
One to two cups a day is usually fine; just do not overdo it.	दिन में एक-दो कप आम तौर पर ठीक है; बस ज़्यादा मत कीजिए।
Green tea has caffeine and, in large amounts, can interfere with how your body uses folate (important early in pregnancy). A cup or two is fine; gallons are not.	ग्रीन टी में caffeine होता है और बड़ी मात्रा में यह इस बात में दख़ल दे सकती है कि आपका शरीर Folate कैसे इस्तेमाल करता है (जो शुरुआती गर्भावस्था में ज़रूरी है)। एक-दो कप ठीक हैं; बहुत ज़्यादा नहीं।
herbal tea	हर्बल चाय
Coconut Water	नारियल पानी
Coconut water is a great, hydrating choice.	नारियल पानी एक बढ़िया विकल्प है जो शरीर में पानी बनाए रखता है।
It is mostly water with natural electrolytes, so it helps with hydration and can be soothing if you feel queasy. Fresh is best.	यह ज़्यादातर पानी है जिसमें क़ुदरती Electrolytes होते हैं, इसलिए यह शरीर में पानी बनाए रखने में मदद करता है और जी मिचलाने पर सुकून दे सकता है। ताज़ा सबसे अच्छा है।
Nariyal paani is widely recommended - drink it fresh from a tender coconut rather than a sugary packaged version.	नारियल पानी की सलाह हर जगह दी जाती है — इसे ताज़े कच्चे नारियल से पीजिए, मीठे पैकेट वाले के बजाय।
nariyal pani	नारियल पानी
tender coconut	कच्चा नारियल
Buttermilk	छाछ
Buttermilk is safe, cooling and good for digestion.	छाछ सुरक्षित है, ठंडक देती है और पाचन के लिए अच्छी है।
Made from curd, it offers calcium and probiotics, helps with acidity, and keeps you hydrated. A light, gut-friendly option.	दही से बनी, यह Calcium और probiotics देती है, अम्लता में मदद करती है, और शरीर में पानी बनाए रखती है। एक हल्का, पेट के अनुकूल विकल्प।
Chaas with a little jeera and pudina is a great everyday drink, especially in summer.	थोड़े जीरे और पुदीने वाली छाछ रोज़ का एक बढ़िया पेय है, ख़ासकर गर्मियों में।
Alcohol	शराब
No amount of alcohol is considered safe during pregnancy.	गर्भावस्था में शराब की कोई भी मात्रा सुरक्षित नहीं मानी जाती।
Alcohol crosses the placenta to your baby, and no safe level or safe time has been established. The clear, simple advice is to avoid it completely.	शराब placenta पार करके आपके शिशु तक पहुँचती है, और कोई सुरक्षित मात्रा या सुरक्षित समय तय नहीं हुआ है। साफ़, सरल सलाह है कि इससे पूरी तरह बचिए।
Soft Drinks / Soda	कोल्ड ड्रिंक / सोडा
An occasional one is okay, but they are high in sugar and caffeine.	कभी-कभार एक ठीक है, पर इनमें चीनी और caffeine ज़्यादा होते हैं।
Colas add caffeine to your daily total and most soft drinks are very sugary with little benefit. Fine as a once-in-a-while treat, not an everyday drink.	कोला आपके रोज़ के caffeine में जुड़ता है और ज़्यादातर कोल्ड ड्रिंक बहुत मीठे होते हैं और उनसे फ़ायदा कम। कभी-कभार की ख़ुशी के तौर पर ठीक, रोज़ के पेय के तौर पर नहीं।
cold drink	कोल्ड ड्रिंक
Water (how much)	पानी (कितना)
Drink plenty - staying well hydrated is one of the simplest good habits.	ख़ूब पीजिए — शरीर में पानी बनाए रखना सबसे आसान अच्छी आदतों में से एक है।
Aim for roughly 8–10 glasses a day (more in heat or if active). Good hydration helps with constipation, swelling and those common Braxton-Hicks tightenings.	दिन में लगभग 8–10 गिलास का लक्ष्य रखिए (गर्मी में या ज़्यादा सक्रिय हों तो और)। अच्छी मात्रा में पानी क़ब्ज़, सूजन और आम Braxton Hicks कसाव में मदद करता है।
Paracetamol (Crocin / Dolo)	Paracetamol (Crocin / Dolo)
Paracetamol is generally considered the preferred choice for fever or pain - lowest dose that helps, for the shortest time.	बुख़ार या दर्द के लिए Paracetamol आम तौर पर पसंदीदा विकल्प माना जाता है — जो काम करे वह सबसे कम ख़ुराक, सबसे कम समय के लिए।
It is the most widely used pain/fever medicine in pregnancy and is usually preferred over alternatives. Still, use it only when needed and let your doctor know if you are taking it often.	गर्भावस्था में यह सबसे ज़्यादा इस्तेमाल होने वाली दर्द/बुख़ार की दवा है और आम तौर पर दूसरों से बेहतर मानी जाती है। फिर भी, इसे सिर्फ़ ज़रूरत पर लीजिए और अगर आप इसे बार-बार ले रही हैं तो डॉक्टर को बताइए।
dolo 650	Dolo 650
Ibuprofen	Ibuprofen
Generally avoided in pregnancy - especially in the third trimester. Ask your doctor first.	गर्भावस्था में आम तौर पर इससे बचा जाता है — ख़ासकर तीसरी तिमाही में। पहले अपने डॉक्टर से पूछिए।
Ibuprofen is an anti-inflammatory (NSAID) that is usually not recommended in pregnancy, particularly later on. Paracetamol is normally suggested instead.	Ibuprofen एक anti-inflammatory (NSAID) है जो गर्भावस्था में आम तौर पर नहीं सुझाई जाती, ख़ासकर बाद के दौर में। इसकी जगह आम तौर पर Paracetamol सुझाया जाता है।
In the third trimester it is best avoided altogether - it can affect the baby. Do not take it without your doctor.	तीसरी तिमाही में इससे पूरी तरह बचना बेहतर है — यह शिशु पर असर डाल सकती है। अपने डॉक्टर के बिना इसे मत लीजिए।
Combiflam	Combiflam
Best not taken on your own - it contains ibuprofen. Check with your doctor.	अपने आप न लेना बेहतर है — इसमें Ibuprofen है। अपने डॉक्टर से पूछिए।
Combiflam combines paracetamol with ibuprofen, and the ibuprofen part is the one usually avoided in pregnancy. For fever or pain, plain paracetamol is the safer default.	Combiflam में Paracetamol के साथ Ibuprofen मिला होता है, और Ibuprofen वाला हिस्सा ही वह है जिससे गर्भावस्था में आम तौर पर बचा जाता है। बुख़ार या दर्द के लिए सादा Paracetamol ज़्यादा सुरक्षित विकल्प है।
ibuprofen paracetamol	Ibuprofen Paracetamol
Antibiotics	Antibiotics
Some are safe in pregnancy and some are not - only take antibiotics your doctor prescribes.	कुछ गर्भावस्था में सुरक्षित हैं और कुछ नहीं — सिर्फ़ वही antibiotics लीजिए जो आपके डॉक्टर लिखें।
It depends entirely on which antibiotic. Several are used safely in pregnancy; a few are avoided. This is one to never self-prescribe or reuse from an old strip.	यह पूरी तरह इस पर निर्भर करता है कि कौन सा antibiotic है। कई गर्भावस्था में सुरक्षित रूप से इस्तेमाल होते हैं; कुछ से बचा जाता है। यह वह चीज़ है जिसे कभी ख़ुद से न लें और न पुरानी पत्ती से दोबारा इस्तेमाल करें।
Folic Acid	Folic Acid
Folic acid is recommended in pregnancy - take it as your doctor advises.	गर्भावस्था में Folic acid सुझाया जाता है — इसे अपने डॉक्टर की सलाह के मुताबिक़ लीजिए।
It supports your baby's early brain and spine development, which is why it is advised from before conception through early pregnancy. It is one of the few things actively encouraged.	यह आपके शिशु के शुरुआती दिमाग़ और रीढ़ के विकास में मदद करता है, इसीलिए इसे गर्भधारण से पहले से शुरुआती गर्भावस्था तक लेने की सलाह दी जाती है। यह उन कुछ चीज़ों में है जिन्हें सक्रिय रूप से प्रोत्साहित किया जाता है।
Most important in the first trimester (and ideally before) - do not skip it.	पहली तिमाही में (और आदर्श रूप से उससे भी पहले) सबसे ज़रूरी — इसे मत छोड़िए।
vitamin b9	Vitamin B9
Iron Supplements	Iron सप्लीमेंट
Iron is commonly recommended - take the dose your doctor prescribes.	Iron आम तौर पर सुझाया जाता है — वही ख़ुराक लीजिए जो आपके डॉक्टर लिखें।
Your blood volume rises in pregnancy, so iron needs go up and many mothers are advised supplements. It can cause constipation - fluids and fibre help.	गर्भावस्था में आपका blood volume बढ़ता है, इसलिए Iron की ज़रूरत बढ़ जाती है और कई माँओं को सप्लीमेंट की सलाह दी जाती है। इससे क़ब्ज़ हो सकती है — पानी और fibre मदद करते हैं।
iron tablet	आयरन की गोली
Calcium Supplements	Calcium सप्लीमेंट
Calcium is commonly recommended in pregnancy; follow your doctor's advice.	गर्भावस्था में Calcium आम तौर पर सुझाया जाता है; अपने डॉक्टर की सलाह मानिए।
It supports your baby's bones and teeth and protects your own stores. It is usually taken at a different time of day from iron, since they compete for absorption.	यह आपके शिशु की हड्डियों और दाँतों को सहारा देता है और आपके अपने भंडार की रक्षा करता है। इसे आम तौर पर Iron से अलग समय पर लिया जाता है, क्योंकि दोनों सोखे जाने के लिए आपस में होड़ करते हैं।
calcium tablet	कैल्शियम की गोली
Vitamin D	Vitamin D
Vitamin D is commonly recommended; take the dose your doctor sets.	Vitamin D आम तौर पर सुझाया जाता है; वही ख़ुराक लीजिए जो आपके डॉक्टर तय करें।
It helps your body absorb calcium and supports bone health for you and your baby. Many people are mildly deficient, so it is often prescribed.	यह आपके शरीर को Calcium सोखने में मदद करता है और आपकी व शिशु की हड्डियों की सेहत सँभालता है। बहुत से लोगों में इसकी हल्की कमी होती है, इसलिए यह अक्सर लिखा जाता है।
vitamin d3	Vitamin D3
Flight Travel	हवाई यात्रा
Air travel is generally fine in an uncomplicated pregnancy - usually most comfortable in the second trimester.	बिना किसी उलझन वाली गर्भावस्था में हवाई यात्रा आम तौर पर ठीक है — आम तौर पर दूसरी तिमाही में सबसे आरामदेह।
Flying does not harm a low-risk pregnancy. On long flights, walk and stretch, keep hydrated, and wear your seatbelt low under the bump. Always clear travel with your doctor first.	उड़ान कम जोखिम वाली गर्भावस्था को नुक़सान नहीं पहुँचाती। लंबी उड़ानों में चलिए और शरीर खोलिए, पानी पीती रहिए, और सीट-बेल्ट बंप के नीचे नीची बाँधिए। यात्रा की मंज़ूरी हमेशा पहले अपने डॉक्टर से ले लीजिए।
Usually the easiest window to travel - nausea has eased and the bump is still manageable.	आम तौर पर यात्रा के लिए सबसे आसान दौर — मतली कम हो चुकी होती है और बंप अभी सँभालने लायक़ होता है।
Many airlines restrict travel after about 36 weeks and may ask for a doctor's note - check before booking.	कई एयरलाइंस लगभग 36 हफ़्ते के बाद यात्रा पर रोक लगाती हैं और डॉक्टर का पत्र माँग सकती हैं — बुकिंग से पहले जाँच लीजिए।
air travel	हवाई यात्रा
Long Road / Train Travel	लंबी सड़क / रेल यात्रा
Usually fine - break the journey often to move, stretch and use the toilet.	आम तौर पर ठीक — सफ़र बीच-बीच में तोड़िए ताकि चल सकें, शरीर खोल सकें और शौचालय जा सकें।
Sitting for hours can make legs swell and feel stiff. Stop every couple of hours, walk a little, stay hydrated, and keep the seatbelt below the bump. Avoid very bumpy roads late in pregnancy.	घंटों बैठे रहने से पैरों में सूजन और अकड़न आ सकती है। हर दो घंटे में रुकिए, थोड़ा चलिए, पानी पीती रहिए, और सीट-बेल्ट बंप के नीचे रखिए। गर्भावस्था के बाद के दौर में बहुत ऊबड़-खाबड़ रास्तों से बचिए।
car travel	कार से यात्रा
road trip	सड़क यात्रा
Yoga	योग
Gentle prenatal yoga is wonderful; avoid intense poses, deep twists and lying flat on your back later on.	सौम्य prenatal योग बहुत अच्छा है; तेज़ आसन, गहरे मरोड़ और बाद के दौर में पीठ के बल सीधा लेटने से बचिए।
Yoga helps with flexibility, breathing and calm, and can ease back pain. Choose a prenatal class or teacher, skip strong abdominal and twisting poses, and never push into discomfort.	योग लचीलेपन, साँस और शांति में मदद करता है, और कमर दर्द कम कर सकता है। कोई prenatal क्लास या शिक्षक चुनिए, पेट पर ज़ोर डालने वाले और मरोड़ वाले आसन छोड़िए, और कभी तकलीफ़ की हद तक मत जाइए।
prenatal yoga	गर्भावस्था का योग
Swimming	तैराकी
Swimming is one of the best pregnancy exercises.	तैराकी गर्भावस्था के सबसे अच्छे व्यायामों में से एक है।
The water takes the weight off your joints and back while giving a gentle full-body workout. Avoid diving, very hot pools, and slippery edges.	पानी आपके जोड़ों और कमर से वज़न हटा देता है और साथ ही पूरे शरीर की सौम्य कसरत देता है। गोता लगाने, बहुत गरम पूल और फिसलन भरे किनारों से बचिए।
Walking	चलना
Walking is safe and encouraged throughout pregnancy.	चलना पूरी गर्भावस्था में सुरक्षित है और इसे प्रोत्साहित किया जाता है।
It is gentle cardio that helps your mood, sleep, digestion and stamina for labour - with almost no downside. Comfortable shoes and a steady pace are all you need.	यह एक सौम्य cardio है जो आपके मन, नींद, पाचन और प्रसव के लिए दमख़म में मदद करता है — और इसका लगभग कोई नुक़सान नहीं। बस आरामदायक जूते और एक स्थिर रफ़्तार चाहिए।
morning walk	सुबह की सैर
Hair Colour / Dye	बालों का रंग / डाई
Generally considered low-risk, especially from the second trimester. Many prefer ammonia-free dyes or highlights.	आम तौर पर कम जोखिम वाला माना जाता है, ख़ासकर दूसरी तिमाही से। कई लोग ammonia-रहित डाई या highlights पसंद करते हैं।
Very little dye is absorbed through the scalp, so the risk is considered small. To be extra cautious, some wait past the first trimester, choose gentler formulas, and keep the room ventilated.	सिर की त्वचा से बहुत कम डाई सोखी जाती है, इसलिए जोखिम कम माना जाता है। ज़्यादा एहतियात के लिए कुछ लोग पहली तिमाही बीतने का इंतज़ार करते हैं, हल्के फ़ॉर्मूले चुनते हैं, और कमरे में हवा आने-जाने का इंतज़ाम रखते हैं।
Many mothers choose to wait until after the first trimester, just for peace of mind.	कई माँएँ सिर्फ़ मन की शांति के लिए पहली तिमाही बीतने तक इंतज़ार करना चुनती हैं।
Natural henna (mehndi) is a popular, gentler alternative for colour - patch-test first, and avoid "black henna" which can contain harsh chemicals.	क़ुदरती मेहंदी रंग के लिए एक लोकप्रिय, हल्का विकल्प है — पहले थोड़ी सी लगाकर देख लीजिए, और "काली मेहंदी" से बचिए जिसमें कड़े रसायन हो सकते हैं।
hair dye	बालों की डाई
Waxing	वैक्सिंग
Waxing is generally fine - your skin may just be more sensitive now.	वैक्सिंग आम तौर पर ठीक है — बस अभी आपकी त्वचा ज़्यादा नाज़ुक हो सकती है।
There is no harm to the baby. Hormones can make skin more sensitive and prone to redness, so patch-test new products and tell your salon you are pregnant.	शिशु को कोई नुक़सान नहीं। हार्मोन त्वचा को ज़्यादा नाज़ुक और लाल पड़ने वाला बना सकते हैं, इसलिए नए उत्पाद पहले थोड़े से आज़माइए और सैलून को बता दीजिए कि आप गर्भवती हैं।
hair removal	बाल हटाना
Nail Polish	नेल पॉलिश
Occasional use is fine; just paint your nails in a ventilated room.	कभी-कभार इस्तेमाल ठीक है; बस नाख़ून हवादार कमरे में रँगिए।
The exposure from painting your nails is tiny. Keep the window open or a fan on so you are not breathing fumes, and you are good to go.	नाख़ून रँगने से मिलने वाला असर बहुत कम है। खिड़की खुली रखिए या पंखा चला लीजिए ताकि आप धुआँ न लें, बस इतना काफ़ी है।
nail paint	नेल पेंट
Sex During Pregnancy	गर्भावस्था में संबंध
Sex is safe in a normal, uncomplicated pregnancy.	सामान्य, बिना उलझन वाली गर्भावस्था में संबंध सुरक्षित हैं।
Your baby is well protected by the womb and fluid, so intimacy will not harm them. Comfort changes as the bump grows - adjust as needed.	आपका शिशु बच्चेदानी और तरल से अच्छी तरह सुरक्षित है, इसलिए नज़दीकी उसे नुक़सान नहीं पहुँचाएगी। बंप बढ़ने के साथ आराम बदलता है — ज़रूरत के मुताबिक़ बदलाव कर लीजिए।
It is a common worry but a normal, healthy part of pregnancy. Your doctor may advise against it only in specific situations (such as bleeding or placenta previa).	यह एक आम चिंता है पर गर्भावस्था का सामान्य, स्वस्थ हिस्सा है। आपके डॉक्टर सिर्फ़ ख़ास स्थितियों में मना कर सकते हैं (जैसे ब्लीडिंग या placenta previa)।
sex during pregnancy	गर्भावस्था में संबंध
Sleeping On Your Back	पीठ के बल सोना
Fine early on. From the second and third trimester, side-sleeping (preferably left) is usually advised.	शुरू में ठीक है। दूसरी और तीसरी तिमाही से करवट (बेहतर हो बाईं) लेकर सोने की सलाह दी जाती है।
As the womb grows heavier, lying flat on your back can press on a large vein and make you feel dizzy. Sleeping on your side keeps blood flowing comfortably to you and the baby.	जैसे-जैसे बच्चेदानी भारी होती है, पीठ के बल सीधा लेटना एक बड़ी नस पर दबाव डाल सकता है और चक्कर जैसा लग सकता है। करवट लेकर सोने से आप तक और शिशु तक ख़ून आराम से बहता रहता है।
A good time to get used to side-sleeping - tuck a pillow behind your back and between your knees.	करवट लेकर सोने की आदत डालने का अच्छा समय — पीठ के पीछे और घुटनों के बीच तकिया लगा लीजिए।
Prefer the left side. If you wake up on your back, just turn over - no need to panic.	बाईं करवट बेहतर है। अगर पीठ के बल जाग जाएँ, तो बस पलट जाइए — घबराने की ज़रूरत नहीं।
sleep position	सोने का तरीक़ा
sleeping side	करवट लेकर सोना
back sleeping	पीठ के बल सोना
Mosquito Repellent	मच्छर भगाने वाली चीज़ें
Use them - mosquito-borne illness is the bigger risk - but prefer gentler options and good ventilation.	इनका इस्तेमाल कीजिए — मच्छर से होने वाली बीमारी बड़ा ख़तरा है — पर हल्के विकल्प और अच्छी हवा को प्राथमिकता दीजिए।
Dengue, malaria and chikungunya are genuinely risky in pregnancy, so protection matters. Creams and roll-ons used as directed are considered fine; air out the room if you use liquid vaporisers or coils.	डेंगू, मलेरिया और चिकनगुनिया गर्भावस्था में सचमुच जोखिम भरे हैं, इसलिए बचाव ज़रूरी है। क्रीम और roll-on निर्देश के मुताबिक़ इस्तेमाल करना ठीक माना जाता है; अगर आप liquid vaporiser या coil इस्तेमाल करती हैं तो कमरे में हवा आने-जाने दीजिए।
Especially important in the monsoon. Prefer creams/patches and nets over breathing in coil or All-Out fumes in a closed room.	बारिश के मौसम में ख़ासकर ज़रूरी। बंद कमरे में coil या All-Out का धुआँ लेने के बजाय क्रीम/पैच और मच्छरदानी बेहतर हैं।
all out	All Out
mosquito coil	मच्छर भगाने की कॉइल
Dental Treatment	दाँतों का इलाज
Routine dental care is safe and important - just tell your dentist you are pregnant.	दाँतों की सामान्य देखभाल सुरक्षित और ज़रूरी है — बस अपने dentist को बता दीजिए कि आप गर्भवती हैं।
Gums often become tender and bleed in pregnancy, so cleanings and necessary treatment matter. Most procedures are fine; dental X-rays use a shield and a tiny, focused dose.	गर्भावस्था में मसूड़े अक्सर नाज़ुक हो जाते हैं और ख़ून आता है, इसलिए सफ़ाई और ज़रूरी इलाज मायने रखते हैं। ज़्यादातर प्रक्रियाएँ ठीक हैं; dental X-ray में ढाल इस्तेमाल होती है और ख़ुराक बहुत कम व एक जगह केंद्रित होती है।
The most comfortable window for any planned dental work.	किसी भी तय दंत-चिकित्सा के लिए सबसे आरामदेह दौर।
root canal	रूट कैनाल
X-Ray	X-Ray
Avoid routine X-rays. If one is medically needed, your doctor will shield you and keep it minimal.	सामान्य X-ray से बचिए। अगर मेडिकल रूप से ज़रूरी हो, तो आपके डॉक्टर ढाल लगाएँगे और इसे कम से कम रखेंगे।
Elective imaging is usually postponed during pregnancy. When an X-ray is genuinely needed (say after an injury), the dose is small and your abdomen is shielded - always tell the team you are pregnant.	गर्भावस्था में मर्ज़ी से करवाई जाने वाली इमेजिंग आम तौर पर टाल दी जाती है। जब X-ray सचमुच ज़रूरी हो (जैसे चोट के बाद), तो ख़ुराक कम होती है और आपके पेट पर ढाल लगाई जाती है — टीम को हमेशा बता दीजिए कि आप गर्भवती हैं।
ct scan	CT scan
Sauna / Hot Tub	Sauna / गरम पानी का टब
Best avoided - getting overheated is not recommended in pregnancy.	बचना बेहतर है — गर्भावस्था में शरीर का ज़्यादा गरम होना ठीक नहीं माना जाता।
