Morning Calm Raga	प्रभात शांति राग
A warm cup in your hands. A moment of stillness. The flutter of a tiny movement reminding you that you are not alone in your own body.\n\n	हाथों में एक गरम प्याला। ठहराव का एक पल। कोई नन्ही-सी हलचल, जो याद दिला जाए कि अपने ही शरीर में आप अकेली नहीं हैं।\n\n
When we practise noticing these things, our minds slowly learn to look for them. The same day can feel heavier or lighter depending on where our attention rests.\n\n	जब हम इन्हें देखने की आदत डालते हैं, तो मन धीरे-धीरे इन्हें ढूँढ़ना सीख जाता है। वही दिन भारी भी लग सकता है और हल्का भी — यह इस पर है कि ध्यान कहाँ ठहरता है।\n\n
Tonight, you might name just one small thing that went gently. That is enough.	आज रात बस एक छोटी-सी बात चुन लीजिए जो नरमी से बीती। इतना काफ़ी है।
A small boat once worried it was too little for such a wide sea. The waves looked enormous, the horizon far away.\n\n	एक नन्ही नाव को लगता था कि इतने बड़े समंदर के लिए वह बहुत छोटी है। लहरें बहुत ऊँची लगती थीं, किनारा बहुत दूर।\n\n
But the boat discovered something: it did not need to conquer the whole ocean at once. It only needed to ride the next wave, and then the next.\n\n	पर नाव को एक बात समझ आई — उसे पूरा समंदर एक साथ नहीं जीतना था। बस अगली लहर पार करनी थी, और फिर उसके बाद वाली।\n\n
Courage is rarely a single brave leap. More often it is the quiet decision to keep going, one small step at a time, even when we feel unsure.\n\n	साहस कभी-कभार ही कोई एक बड़ी छलाँग होता है। ज़्यादातर वह चुपचाप लिया गया यह फ़ैसला होता है कि चलते रहना है — एक छोटा क़दम, फिर एक और, भले ही मन डाँवाडोल हो।\n\n
You are doing something extraordinary, one ordinary day at a time. That is courage too.	आप कुछ असाधारण कर रही हैं, एक-एक साधारण दिन जोड़कर। यह भी साहस है।
Children look at the night sky and gasp. Adults, often, forget to look up at all.\n\n	बच्चे रात के आसमान को देखकर ठिठक जाते हैं। बड़े अक्सर ऊपर देखना ही भूल जाते हैं।\n\n
Wonder is the ability to be amazed by ordinary things - a leaf, a raindrop, a sky full of distant light. It is not childish; it is one of the great quiet joys of being alive.\n\n	विस्मय यानी मामूली चीज़ों पर चकित हो जाना — एक पत्ता, एक बूँद, दूर की रोशनियों से भरा आसमान। यह बचपना नहीं है; यह ज़िंदा होने की सबसे शांत ख़ुशियों में से एक है।\n\n
Your baby will arrive seeing everything for the very first time. In their company, you may rediscover wonder too - the world made new through their eyes.\n\n	आपका शिशु हर चीज़ को पहली बार देखता हुआ आएगा। उसके साथ शायद आप भी विस्मय फिर से पा लेंगी — उसकी आँखों से दुनिया एकदम नई लगेगी।\n\n
For a moment now, let yourself simply marvel that a whole new person is forming, quietly, within you.	अभी एक पल के लिए बस इस बात पर ठहर जाइए कि एक पूरा नया इंसान, चुपचाप, आपके भीतर बन रहा है।
A flock once paused its long journey because one bird could fly no further that day. Rather than leaving it behind, the others rested too, until it was ready.\n\n	एक झुंड ने अपनी लंबी उड़ान बीच में रोक दी, क्योंकि उस दिन एक चिड़िया आगे उड़ नहीं पा रही थी। उसे पीछे छोड़ने के बजाय बाक़ी भी ठहर गए, जब तक वह तैयार न हो गई।\n\n
Compassion is simply this: noticing when someone needs gentleness, and offering it without keeping score.\n\n	करुणा बस इतनी-सी है — यह देख लेना कि किसे इस वक़्त नरमी चाहिए, और बिना हिसाब रखे वह नरमी दे देना।\n\n
It applies to ourselves as well. On the days you feel tired, slow, or not enough, you deserve the same softness you would offer a dear friend.\n\n	यह अपने ऊपर भी उतना ही लागू होता है। जिन दिनों आप थकी, सुस्त या कम पड़ती हुई महसूस करें, आप उसी नरमी की हक़दार हैं जो आप किसी प्यारी सहेली को देतीं।\n\n
A mother who is kind to herself teaches her child that they, too, are worthy of kindness.	जो माँ अपने साथ नरम रहती है, वह अपने बच्चे को सिखाती है कि वह भी नरमी का हक़दार है।
A river never argues with the rock in its path. It simply finds a way around, or over, or slowly, over time, straight through.\n\n	नदी अपने रास्ते के पत्थर से कभी बहस नहीं करती। वह बस बग़ल से निकल जाती है, या ऊपर से, या धीरे-धीरे, समय लेकर, उसके आर-पार।\n\n
Resilience is not about being hard. It is about being able to bend, adapt, and keep moving toward what matters.\n\n	लचीलापन कठोर होना नहीं है। यह झुक पाना है, ढल पाना है, और जो ज़रूरी है उसकी ओर बहते रहना है।\n\n
There will be easier days and harder ones ahead. You will not need to be unbreakable - only to keep flowing, gently, in your own direction.\n\n	आगे आसान दिन भी आएँगे और मुश्किल भी। आपको अटूट होने की ज़रूरत नहीं — बस अपनी दिशा में, नरमी से, बहते रहने की।\n\n
You have already come further than you sometimes give yourself credit for.	आप जितनी दूर आ चुकी हैं, उसका श्रेय आप ख़ुद को अक्सर देती ही नहीं।
