November 2026 Moms	नवंबर 2026 की माँएँ
The most common thing I correct in clinic: an AMH result is a planning number, not a fertility score. It estimates how many eggs remain, says very little about their quality, and on its own predicts natural conception poorly. Ask what it changes about your plan. If the answer is nothing, it changes nothing.	clinic में सबसे ज़्यादा जो बात मुझे ठीक करनी पड़ती है: AMH की रिपोर्ट planning का एक आँकड़ा है, fertility का score नहीं। यह अंदाज़ा देती है कि अंडे कितने बचे हैं, उनकी गुणवत्ता के बारे में बहुत कम कहती है, और अकेले में क़ुदरती गर्भधारण का अंदाज़ा ठीक से नहीं लगा पाती। पूछिए कि इससे आपकी योजना में क्या बदलेगा। अगर जवाब "कुछ नहीं" है, तो सच में कुछ नहीं बदलता।
Took me eight months to book a semen analysis. It cost ₹600 and took twenty minutes. Meanwhile my wife had already had four blood tests and a scan. If you are reading this and have not done yours - go first. It is the easiest thing either of you will do.	semen analysis बुक करने में मुझे आठ महीने लग गए। ₹600 लगे और बीस मिनट। तब तक मेरी पत्नी के चार blood test और एक scan हो चुके थे। अगर आप यह पढ़ रहे हैं और अपना अब तक नहीं करवाया — पहले आप जाइए। दोनों में से सबसे आसान काम यही है।
Ovulation strips have been positive on and off all month with PCOS. Is anyone else finding them more confusing than useful? What did your doctor suggest instead?	PCOS के साथ इस पूरे महीने ovulation strips कभी positive, कभी नहीं। किसी और को भी ये मदद से ज़्यादा उलझन लगती हैं? आपके डॉक्टर ने इनकी जगह क्या बताया?
Six weeks since the miscarriage. Nobody at work knows, and the ones at home who do keep telling me it was for the best. It was not for the best. Thank you to this room for being the one place I do not have to explain that.	Miscarriage को छह हफ़्ते हो गए। काम पर किसी को पता नहीं, और घर में जिन्हें पता है वे बार-बार कहते हैं कि जो हुआ अच्छे के लिए हुआ। वह अच्छे के लिए नहीं था। इस कमरे का शुक्रिया — यही एक जगह है जहाँ मुझे यह समझाना नहीं पड़ता।
Things I wish someone had itemised before our first IVF cycle: the medications are a separate bill from the procedure, the freezing is a separate bill again, and the annual storage renews quietly. Ask for the whole number in writing before you start.	काश हमारे पहले IVF cycle से पहले किसी ने यह एक-एक करके बताया होता: दवाइयों का बिल procedure से अलग होता है, freezing का बिल फिर अलग, और सालाना storage चुपचाप renew होता रहता है। शुरू करने से पहले पूरा हिसाब लिखवाकर माँगिए।
Nobody asks the husband how he is doing. They ask how she is doing, through you. I am not saying that is wrong - it is her body. I am saying this room is the only place anyone has asked me directly, and it turns out I had things to say.	पति से कोई नहीं पूछता कि वह कैसा है। सब पूछते हैं कि वह कैसी है — आपसे होकर। मैं यह नहीं कह रहा कि यह ग़लत है, शरीर उसी का है। मैं यह कह रहा हूँ कि यही एक जगह है जहाँ किसी ने सीधे मुझसे पूछा, और पता चला कि मेरे पास भी कहने को बहुत कुछ था।
What is the line you use at family functions when the question comes?	घर के फंक्शन में जब वही सवाल आता है, तो आप क्या कहकर टालती हैं?
We will tell you first when there is news	खुशख़बरी होगी तो सबसे पहले आपको ही बताएँगे
Change the subject entirely	बात ही बदल देती हूँ
Answer honestly	सच-सच बता देती हूँ
I still have not found one	अब तक कोई जवाब मिला ही नहीं
There is no fertility superfood, and anything sold as one is selling hope. What the evidence supports is a pattern: whole grains instead of refined, dal and plant protein, plenty of vegetables, and less ultra-processed food. A normal thali is already most of the way there.	Fertility बढ़ाने वाला कोई superfood नहीं होता, और जो चीज़ ऐसे बेची जाती है वह असल में उम्मीद बेच रही है। सबूत जिस बात का साथ देते हैं वह एक तरीक़ा है: refined की जगह साबुत अनाज, दाल और पौधों से मिलने वाला protein, ख़ूब सारी सब्ज़ियाँ, और ultra-processed खाना कम। एक आम थाली पहले ही इसका ज़्यादातर हिस्सा है।
First month of properly trying. How long did everyone wait before seeing someone? I keep reading a year but I am 36 and that feels like a long time to wait and see.	ठीक से कोशिश शुरू किए पहला महीना है। आप सबने डॉक्टर को दिखाने से पहले कितना इंतज़ार किया? हर जगह एक साल पढ़ने को मिलता है, पर मैं 36 की हूँ और इतना इंतज़ार बहुत लंबा लगता है।
0–1 Year	0–1 साल
The whole first year - feeding, sleep, milestones and the fourth-trimester fog, together.	पूरा पहला साल — दूध-खाना, नींद, milestones और चौथी तिमाही की धुंध, सब साथ में।
Boy Moms	बेटों की माँएँ
Raising boys - the mess, the cuddles and everything in between.	बेटों की परवरिश — बिखरा घर, गले लगना, और बीच का सब कुछ।
Delhi Parents	Delhi के माता-पिता
Local parents in Delhi NCR - paediatricians, daycares, classes and meetups.	Delhi NCR के माता-पिता — बच्चों के डॉक्टर, daycare, classes और मिलना-जुलना।
1 Year Olds	1 साल के बच्चे
First steps, first words, first birthday - life with a one-year-old.	पहला क़दम, पहला शब्द, पहला जन्मदिन — एक साल के बच्चे के साथ ज़िंदगी।
2 Year Olds	2 साल के बच्चे
Big feelings, big words and the famous twos - you are not alone.	बड़ी भावनाएँ, बड़े शब्द और वही मशहूर दो साल — आप अकेली नहीं हैं।
3 Year Olds	3 साल के बच्चे
Preschool, endless “why?”, and a little person with big opinions.	Preschool, बार-बार का “क्यों?”, और एक छोटा सा इंसान जिसकी अपनी बड़ी राय है।
Toddler Life	छोटे बच्चों की दुनिया
The 1–3 whirlwind - tantrums, milestones and tiny triumphs.	1–3 साल का तूफ़ान — ज़िद, milestones और छोटी-छोटी जीतें।
Starting Solids	ऊपरी आहार की शुरुआत
First foods, weaning and fussy eating - recipes and reassurance.	पहला खाना, दूध छुड़ाना और खाने के नखरे — recipes भी, तसल्ली भी।
Baby Sleep	शिशु की नींद
Regressions, naps and nights - gentle, no-judgement sleep support.	Regression, दिन की झपकी और रातें — नरम, बिना किसी टोका-टाकी के नींद का साथ।
Milestones & Development	पड़ाव और विकास
Rolling, sitting, crawling, talking - celebrate and compare notes.	करवट, बैठना, रेंगना, बोलना — जश्न भी मनाइए, अनुभव भी बाँटिए।
Working Parents	नौकरी करने वाले माता-पिता
Daycare, nannies, pumping and the juggle of going back to work.	Daycare, आया, pumping और काम पर लौटने की भागदौड़।
Potty Training	Potty Training
When to start, what worked, and surviving the accidents.	कब शुरू करें, किसे क्या काम आया, और बीच के हादसों से कैसे निपटें।
Girl Moms	बेटियों की माँएँ
Raising girls - the giggles, the grit and everything in between.	बेटियों की परवरिश — खिलखिलाहट, हिम्मत, और बीच का सब कुछ।
Mumbai Parents	Mumbai के माता-पिता
Local parents in Mumbai - paediatricians, daycares, classes and meetups.	Mumbai के माता-पिता — बच्चों के डॉक्टर, daycare, classes और मिलना-जुलना।
Feeding	दूध और खाना
Milestones	विकास के पड़ाव
Behaviour	व्यवहार
Health	सेहत
Development	विकास
Paediatrics	बच्चों की चिकित्सा
Infant Nutrition	शिशु का पोषण
Motor Development	शरीर की हरकत का विकास
Infant Sleep	शिशु की नींद
Newborn Care	नवजात की देखभाल
Teething	दाँत निकलना
Night 6 of the 4-month sleep regression. What finally helped us: an earlier bedtime and a darker, more boring room. If you are in it right now - hang in there, it does pass.	4 महीने वाले sleep regression की छठी रात। हमें आख़िर में जो काम आया: सोने का समय थोड़ा पहले, और कमरा ज़्यादा अंधेरा और बिलकुल सादा। अगर आप अभी इसी दौर में हैं — हिम्मत रखिए, यह गुज़र जाता है।
My baby is 4 months and not rolling over yet. Everyone else’s seems to be. Should I be worried, or is this still normal?	मेरा शिशु 4 महीने का है और अब तक करवट नहीं ले रहा। बाक़ी सबके बच्चे तो लेने लगे हैं। चिंता की बात है, या यह अब भी normal है?
When did you actually start solids?	सच बताइए, ऊपरी आहार आपने कब शुरू किया?
Around 4 months	4 महीने के आसपास
At 6 months	6 महीने पर
After 6 months	6 महीने के बाद
A reminder from clinic: milestones are a range, not a deadline. Most babies roll between 4 and 6 months, and some skip it entirely and go straight to sitting. Watch the overall trend, not the calendar - and always ask us if something feels off.	clinic से एक याद दिला दूँ: milestones एक दायरा हैं, कोई तय तारीख़ नहीं। ज़्यादातर बच्चे 4 से 6 महीने के बीच करवट लेते हैं, और कुछ इसे छोड़कर सीधे बैठना शुरू कर देते हैं। कैलेंडर नहीं, कुल मिलाकर बढ़त देखिए — और कुछ भी अटपटा लगे तो हमसे ज़रूर पूछिए।
The tantrums at 2 nearly broke me this week. What helped a little: naming the feeling out loud ("you’re so frustrated") and staying calm-ish myself. Solidarity, anyone?	2 साल की ज़िद ने इस हफ़्ते मुझे तोड़ ही दिया था। थोड़ी मदद इससे मिली: उसकी भावना को बोलकर नाम देना ("तुम्हें बहुत गुस्सा आ रहा है") और खुद थोड़ा शांत बने रहना। कोई और भी इसी हाल में?
Which paediatrician do you love in South Delhi for the 6-month vaccines? Looking for someone gentle and not rushed.	South Delhi में 6 महीने वाले टीकों के लिए आप किस बच्चों के डॉक्टर के पास जाती हैं? कोई ऐसा चाहिए जो नरमी से देखे और जल्दबाज़ी न करे।
A new phase is around the corner. Here’s what changes next - and why a fussy stretch beforehand is usually a good sign.	एक नया दौर बस आने ही वाला है। आगे क्या बदलेगा — और उससे पहले की चिड़चिड़ाहट अक्सर अच्छी निशानी क्यों होती है।
First steps today at 13 months! I cried a little (okay, a lot). All those months of cruising the furniture finally paid off.	आज 13 महीने पर पहला क़दम! मैं थोड़ा रो पड़ी (चलिए, बहुत रोई)। महीनों फ़र्नीचर पकड़-पकड़कर चलने की मेहनत आख़िर रंग लाई।
Back to work next month and dreading the daycare drop-off. How did you make the transition easier - for the baby and for yourself?	अगले महीने काम पर लौट रही हूँ और daycare छोड़ने के ख़याल से ही डर लगता है। आपने यह बदलाव कैसे आसान किया — शिशु के लिए भी, और अपने लिए भी?
Baby-led weaning vs purées - what did you actually end up doing, and would you do it the same way again?	Baby-led weaning या purées — आपने आख़िर में किया क्या, और क्या दोबारा वैसा ही करतीं?
Nobody warned me how physical raising a boy would be. He climbs everything. Tips for baby-proofing a climber very welcome.	किसी ने नहीं बताया था कि बेटे की परवरिश इतनी भागदौड़ वाली होगी। वह हर चीज़ पर चढ़ जाता है। चढ़ने वाले बच्चे के लिए घर को सुरक्षित बनाने के सुझाव बहुत चाहिए।
My daughter just started saying "no" to everything with the biggest grin. Toddler girl energy is unmatched. Anyone else living this?	मेरी बेटी ने सबसे बड़ी मुस्कान के साथ हर बात पर "ना" कहना शुरू कर दिया है। छोटी बच्चियों की energy का कोई जवाब नहीं। कोई और भी यही जी रहा है?
Mealtimes with my 18-month-old have become a battlefield. She used to eat everything and now refuses. Is this a phase?	मेरी 18 महीने की बेटी के साथ खाने का समय जंग बन गया है। पहले सब कुछ खा लेती थी, अब मना कर देती है। क्या यह बस एक दौर है?
Started preschool this week. She cried at drop-off but the teacher sent a photo of her laughing 20 minutes later. My heart.	इस हफ़्ते preschool शुरू हुआ। छोड़ते वक़्त वह रोई, पर बीस मिनट बाद teacher ने उसकी हँसती हुई photo भेज दी। दिल भर आया।
When did you actually start potty training?	सच बताइए, potty training आपने कब शुरू की?
Before 2	2 साल से पहले
Around 2.5	ढाई साल के आसपास
After 3	3 साल के बाद
New to Andheri with a 7-month-old. Which paediatrician do you trust nearby, and are there any good baby swim or play classes?	Andheri में नई आई हूँ, 7 महीने का शिशु है। यहाँ आसपास आप किस बच्चों के डॉक्टर पर भरोसा करती हैं, और कोई अच्छी baby swim या play class है?
A gentle reminder on the 4-month regression: it is a permanent change in how your baby sleeps, not a phase that "breaks". Anchor a calm bedtime routine and consistent wake time, and it settles. You are not doing anything wrong.	4 महीने वाले regression पर एक नरम याद: यह इस बात का पक्का बदलाव है कि आपका शिशु कैसे सोता है, कोई दौर नहीं जो "टूट" जाए। रात की एक शांत routine और उठने का एक ही समय टिका दीजिए, धीरे-धीरे सब सँभल जाता है। आप कुछ भी ग़लत नहीं कर रही हैं।
My 3-month-old fusses at the breast every evening and I am not sure if my supply is dipping. Would love a lactation expert to weigh in.	मेरा 3 महीने का शिशु हर शाम दूध पीते वक़्त चिड़चिड़ाता है और समझ नहीं आ रहा कि मेरी supply कम हो रही है क्या। कोई lactation expert बता दे तो बहुत अच्छा हो।
She sat up unsupported for a full minute today. Six months of tummy time and here we are. Celebrating the tiny wins.	आज वह पूरे एक मिनट बिना सहारे बैठी रही। छह महीने के tummy time के बाद यह दिन आया। छोटी-छोटी जीतों का जश्न।
To every parent up at 3am reading this: you are doing so much better than you think. This stage is hard and it is temporary. Rest when you can.	रात 3 बजे यह पढ़ रहे हर माता-पिता से: आप जितना सोचते हैं, उससे कहीं बेहतर कर रहे हैं। यह दौर भारी है, और यह गुज़र जाएगा। जब मौका मिले, आराम कर लीजिए।
Iron matters a lot from 6 months. Pair iron-rich first foods - ragi, dal, well-cooked egg yolk, pureed meat - with a little vitamin C (a few drops of orange or amla) to boost absorption. Keep milk feeds out of mealtimes.	Iron 6 महीने से बहुत मायने रखता है। Iron वाले पहले खाने — रागी, दाल, अच्छी तरह पका अंडे का पीला भाग, मसला हुआ मीट — के साथ थोड़ा vitamin C दीजिए (संतरे या आँवले की कुछ बूँदें), शरीर उसे कहीं बेहतर सोखता है। दूध की feeds खाने के समय से अलग रखिए।
How is everyone handling separation anxiety around 8-9 months? The moment I leave the room the crying starts. Is there anything that actually helps?	8-9 महीने के आसपास की separation anxiety सब कैसे संभाल रहे हैं? कमरे से निकलते ही रोना शुरू। कुछ है जो सच में काम करता हो?
Thank you for this. Night 4 here and I needed to read it.	इसके लिए शुक्रिया। यहाँ चौथी रात चल रही है और मुझे यही पढ़ने की ज़रूरत थी।
The darker room made the biggest difference for us too. Blackout curtains were worth every rupee.	अंधेरे कमरे ने हमारे लिए भी सबसे बड़ा फ़र्क़ किया। Blackout curtains का एक-एक रुपया वसूल हुआ।
Totally normal range. If he has good head control and is reaching for things, he is on track - mention it at the 6-month visit and we can check together.	यह बिलकुल normal दायरे में है। अगर वह गर्दन अच्छी तरह सँभाल लेता है और चीज़ों की तरफ़ हाथ बढ़ाता है, तो सब ठीक चल रहा है — 6 महीने वाली visit पर बता दीजिए, हम साथ में देख लेंगे।
Mine rolled at nearly 6 months and is a happy, busy toddler now. Try not to compare!	मेरे बच्चे ने लगभग 6 महीने पर करवट ली थी और आज वह खुश और शरारती है। तुलना मत कीजिए!
Needed this today. I was spiralling over the 5-month check comparing to the neighbour baby.	आज इसी की ज़रूरत थी। 5 महीने वाली जाँच के बाद पड़ोस के बच्चे से तुलना करके मन बहुत उलझ गया था।
Saved. Thank you for the calm, doctor.	Save कर लिया। इस तसल्ली के लिए शुक्रिया, डॉक्टर।
We did a mix - purees at home, finger foods when out. Zero regrets, way less pressure.	हमने दोनों मिलाकर किया — घर पर purees, बाहर finger foods। कोई पछतावा नहीं, और दबाव भी कम।
This is reassuring, thank you. Was feeling like I had to pick a camp.	इससे तसल्ली मिली, शुक्रिया। लग रहा था कि किसी एक तरफ़ होना ही पड़ेगा।
Very common at this age - appetites naturally dip as growth slows. Keep offering, do not force, and let her decide how much. It passes.	इस उम्र में यह बहुत आम है — बढ़त धीमी होते ही भूख अपने आप कम हो जाती है। खाना सामने रखती रहिए, ज़ोर मत डालिए, और कितना खाना है यह उसे तय करने दीजिए। यह दौर निकल जाता है।
Thank you doctor, that takes the panic away.	शुक्रिया डॉक्टर, घबराहट दूर हो गई।
We waited till closer to 3 and it took just a weekend. Waiting for readiness was everything for us.	हमने 3 साल के क़रीब तक इंतज़ार किया और फिर बस एक weekend में हो गया। तैयार होने का इंतज़ार करना ही सबसे बड़ी बात थी।
Pelvic Health	Pelvic Health
Anonymous	गुमनाम
Anjali	अंजलि
Sneha	स्नेहा
Dr. Meera	Dr. Meera
IBCLC	IBCLC
Ritu	ऋतु
Pooja	पूजा
Neha	नेहा
Divya	दिव्या
Kavya	काव्या
ParentVeda	ParentVeda
Aishwarya	ऐश्वर्या
Shruti	श्रुति
Simran	सिमरन
Fatima	फ़ातिमा
Aisha	आयशा
Tanvi	तन्वी
Dr. Aarti Desai	Dr. Aarti Desai
Meghna	मेघना
Dr. Meera Nair	Dr. Meera Nair
Dr. Priya Sharma	Dr. Priya Sharma
Dr. Ananya Rao	Dr. Ananya Rao
OB-GYN	OB-GYN
Dr. Kavita Menon	Dr. Kavita Menon
Dr. Sneha Iyer	Dr. Sneha Iyer
DNB	DNB
Dr. Riya Kapoor	Dr. Riya Kapoor
Dr. Neha Bansal	Dr. Neha Bansal
Dr. Pooja Reddy	Dr. Pooja Reddy
Dr. Shalini Verma	Dr. Shalini Verma
Dr. Ritu Agarwal	Dr. Ritu Agarwal
Dr. Divya Pillai	Dr. Divya Pillai
Dr. Sana Khan	Dr. Sana Khan
Dr. Tara Joshi	Dr. Tara Joshi
PsyD	PsyD
Dr. Ishita Gupta	Dr. Ishita Gupta
DCH	DCH
Dr. Lakshmi Subramanian	Dr. Lakshmi Subramanian
